CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
AR-508,246,206,182,0.7398,222,24,0,20,40,206,0,15,0,182,158,0.7117,0,15,20,40,182,0,0,0,24,24,1.0,0,0,24,0,15,0,0,0,,0,0,0,0,0,0,11,11,11,1.0,0,0,11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
AZ-500,951,726,656,0.6898,716,220,15,96,290,657,4,125,4,578,536,0.7486,0,0,64,193,519,4,27,4,133,105,0.4773,32,97,123,0,83,0,15,15,1.0,0,0,15,0,15,0,480,438,438,0.9125,77,253,227,0,104,0,1082,1082,1070,0.9889,89,326,756,0,413,0,532,3,3,3,1.0,1,3,0,0,3,0
AZ-501,973,919,919,0.9445,640,311,22,123,339,630,4,166,53,606,606,0.9469,68,29,80,227,409,4,24,12,291,291,0.9357,43,112,199,0,133,41,22,22,1.0,0,0,22,0,9,0,820,817,817,0.9963,167,551,269,0,13,97,1535,1535,810,0.5277,125,395,1140,0,725,69,469,279,279,0,0.0,77,154,125,0,0,0
AZ-502,4238,3822,3514,0.8292,2916,1277,45,588,1935,2247,56,253,128,2580,2450,0.8402,0,103,363,1319,1541,56,2,81,1197,1019,0.798,225,616,661,0,206,47,45,45,1.0,0,0,45,0,45,0,1313,1288,1288,0.981,278,705,608,0,265,5,6362,6362,6362,1.0,439,1771,4591,0,1086,17,1618,416,416,416,1.0,70,325,91,0,20,3
CA-500,2331,2228,2228,0.9558,1837,474,20,380,702,1579,50,224,171,1754,1754,0.9548,203,499,343,629,1158,50,87,60,454,454,0.9578,37,73,401,0,117,111,20,20,1.0,0,0,20,0,20,0,1393,1393,1393,1.0,356,1134,259,0,113,145,4407,4340,4340,0.9848,604,1406,3001,0,1457,46,2397,0,0,0,,0,0,0,0,0,0
CA-501,2606,2388,2190,0.8404,2051,555,0,375,896,1691,19,136,263,1974,1838,0.8961,129,1587,231,651,1381,19,65,104,414,352,0.6342,144,245,310,0,71,159,0,0,,0,0,0,0,0,0,1919,1904,1884,0.9818,1479,1568,351,0,58,201,5815,5815,4518,0.777,353,885,4930,0,1690,59,2677,6621,6621,6459,0.9755,435,1300,5321,0,41,190
CA-502,3979,3700,3243,0.815,3164,762,53,550,972,2961,46,138,241,2911,2510,0.7933,113,0,409,741,2377,46,2,104,736,680,0.8924,141,231,531,0,83,137,53,53,1.0,0,0,53,0,53,0,1550,1550,1539,0.9929,122,421,1129,0,95,18,4169,4148,3065,0.7352,468,1308,2861,0,986,70,952,0,0,0,,0,0,0,0,0,0
CA-503,2561,2479,2213,0.8641,1862,699,0,340,987,1569,5,159,242,1802,1684,0.9044,55,675,209,645,1212,5,20,95,677,529,0.7568,131,342,357,0,139,147,0,0,,0,0,0,0,0,0,764,728,726,0.9503,90,294,470,0,88,43,3466,3466,2839,0.8191,410,1302,2164,0,733,57,2873,246,246,246,1.0,10,30,216,0,31,0
CA-504,1121,1089,977,0.8715,750,371,0,65,173,942,6,47,36,718,688,0.9173,45,66,59,161,583,6,25,30,371,289,0.779,6,12,359,0,22,6,0,0,,0,0,0,0,0,0,402,393,338,0.8408,74,189,213,0,6,16,1016,1016,328,0.3228,16,47,969,0,444,41,552,178,178,143,0.8034,13,38,140,0,0,34
CA-505,952,917,754,0.792,707,245,0,87,239,709,4,33,45,699,699,0.9887,39,34,72,189,514,4,16,19,218,55,0.2245,15,50,195,0,17,26,0,0,,0,0,0,0,0,0,165,146,146,0.8848,35,114,51,0,26,21,1275,1275,868,0.6808,259,713,562,0,423,10,679,215,215,215,1.0,4,9,206,0,0,0
CA-506,1069,973,847,0.7923,659,410,0,150,635,434,0,126,14,563,449,0.6813,29,0,65,345,314,0,62,8,410,398,0.9707,85,290,120,0,64,6,0,0,,0,0,0,0,0,0,112,112,112,1.0,26,83,29,0,0,0,579,579,307,0.5302,59,223,356,0,284,12,260,0,0,0,,0,0,0,0,0,0
CA-507,313,255,255,0.8147,180,133,0,46,121,192,0,12,2,172,172,0.9556,0,26,9,26,154,0,0,0,83,83,0.6241,37,95,38,0,12,2,0,0,,0,0,0,0,0,0,130,130,126,0.9692,21,52,78,0,6,15,581,581,581,1.0,43,136,445,0,72,0,403,296,296,230,0.777,47,131,165,0,0,0
CA-508,586,565,470,0.802,466,120,0,64,257,329,0,14,0,445,350,0.7511,0,144,49,177,289,0,14,0,120,120,1.0,15,80,40,0,0,0,0,0,,0,0,0,0,0,0,442,435,435,0.9842,104,321,121,0,15,38,627,627,170,0.2711,79,218,409,0,444,10,596,665,665,0,0.0,126,397,268,0,0,0
CA-509,242,206,167,0.6901,164,78,0,32,108,134,0,5,32,155,143,0.872,0,68,22,64,100,0,5,5,51,24,0.3077,10,44,34,0,0,27,0,0,,0,0,0,0,0,0,113,113,112,0.9912,27,78,35,0,1,0,344,344,344,1.0,22,62,282,0,140,0,344,184,184,174,0.9457,31,97,87,0,0,0
CA-510,1138,1101,1052,0.9244,892,246,0,100,305,794,39,25,66,877,828,0.9283,122,28,62,195,658,39,10,51,224,224,0.9106,38,110,136,0,15,15,0,0,,0,0,0,0,0,0,45,45,41,0.9111,12,35,10,0,4,0,640,640,350,0.5469,68,247,393,0,276,0,585,60,60,20,0.3333,7,24,36,0,0,20
CA-511,1478,1443,1443,0.9763,1161,317,0,197,723,747,8,28,60,1126,1126,0.9699,0,0,163,577,576,8,28,52,317,317,1.0,34,146,171,0,0,8,0,0,,0,0,0,0,0,0,290,290,290,1.0,69,235,55,0,38,26,722,722,722,1.0,91,272,450,0,326,31,271,22,22,22,1.0,0,0,22,0,0,0
CA-512,820,807,789,0.9622,655,165,0,107,387,433,0,55,11,642,624,0.9527,3,93,68,237,418,0,55,1,165,165,1.0,39,150,15,0,0,10,0,0,,0,0,0,0,0,0,482,453,453,0.9398,109,382,100,0,1,7,1057,1057,914,0.8647,42,125,932,0,437,16,461,649,623,544,0.8382,100,332,317,0,0,0
CA-513,466,372,360,0.7725,294,172,0,28,161,305,0,0,20,240,240,0.8163,0,148,16,117,177,0,0,0,132,120,0.6977,12,44,128,0,0,20,0,0,,0,0,0,0,0,0,188,188,188,1.0,35,131,57,0,10,0,266,266,254,0.9549,17,59,207,0,57,0,209,214,214,214,1.0,10,38,176,0,0,0
CA-514,2153,1960,1308,0.6075,1795,358,0,305,797,1352,4,101,40,1651,999,0.5565,0,98,169,506,1285,4,41,20,309,309,0.8631,136,291,67,0,60,20,0,0,,0,0,0,0,0,0,389,330,330,0.8483,69,206,183,0,26,0,1612,1612,739,0.4584,177,578,1034,0,939,0,992,900,900,44,0.0489,225,765,135,0,44,0
CA-515,392,297,294,0.75,285,107,0,37,172,220,0,0,0,246,246,0.8632,8,0,19,120,165,0,0,0,51,48,0.4486,18,52,55,0,0,0,0,0,,0,0,0,0,0,0,89,42,42,0.4719,25,73,16,0,2,0,200,200,200,1.0,7,17,183,0,0,0,92,62,62,62,1.0,21,62,0,0,0,0
CA-516,1019,960,388,0.3808,689,330,0,206,420,599,0,12,15,631,256,0.3716,0,0,96,236,453,0,0,0,329,132,0.4,110,184,146,0,12,15,0,0,,0,0,0,0,0,0,198,195,188,0.9495,70,116,81,1,24,4,208,208,171,0.8221,131,161,47,0,86,18,87,148,148,148,1.0,148,148,0,0,4,6
CA-517,162,162,130,0.8025,123,39,0,25,56,106,0,0,7,123,107,0.8699,55,22,22,42,81,0,0,0,39,23,0.5897,3,14,25,0,0,7,0,0,,0,0,0,0,0,0,139,139,93,0.6691,45,93,46,0,0,1,51,51,51,1.0,1,3,48,0,0,0,44,0,0,0,,0,0,0,0,0,0
CA-518,399,399,281,0.7043,236,163,0,30,65,326,8,12,51,236,125,0.5297,0,0,22,42,186,8,0,16,163,156,0.9571,8,23,140,0,12,35,0,0,,0,0,0,0,0,0,212,212,212,1.0,26,82,130,0,37,0,291,291,244,0.8385,8,13,278,0,176,0,291,0,0,0,,0,0,0,0,0,0
CA-519,617,575,505,0.8185,339,278,0,86,249,364,4,0,23,307,269,0.7935,56,40,28,55,280,4,0,4,268,236,0.8489,58,194,84,0,0,19,0,0,,0,0,0,0,0,0,236,222,28,0.1186,68,188,48,0,2,7,360,360,317,0.8806,39,138,222,0,139,24,32,190,190,190,1.0,13,40,150,0,0,0
CA-520,555,541,485,0.8739,427,128,0,57,232,323,0,8,0,413,393,0.9204,0,3,56,224,203,0,8,0,128,92,0.7188,1,8,120,0,0,0,0,0,,0,0,0,0,0,0,46,46,46,1.0,0,0,46,0,0,0,152,152,67,0.4408,27,75,77,0,85,4,8,0,0,0,,0,0,0,0,0,0
CA-521,363,328,300,0.8264,316,47,0,109,202,161,0,0,21,281,272,0.8608,10,47,105,189,127,0,0,0,47,28,0.5957,4,13,34,0,0,21,0,0,,0,0,0,0,0,0,329,313,313,0.9514,79,235,94,0,5,16,341,341,220,0.6452,21,54,287,0,64,0,174,0,0,0,,0,0,0,0,0,0
CA-522,448,448,260,0.5804,358,90,0,73,159,274,15,51,15,358,170,0.4749,0,10,66,115,238,5,15,5,90,90,1.0,7,44,36,10,36,10,0,0,,0,0,0,0,0,0,297,297,297,1.0,143,246,51,0,48,0,252,252,160,0.6349,97,131,121,0,92,0,61,0,0,0,,0,0,0,0,0,0
CA-523,170,156,156,0.9176,151,19,0,43,134,36,0,0,0,137,137,0.9073,0,0,40,128,23,0,0,0,19,19,1.0,3,6,13,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
CA-524,451,427,407,0.9024,409,42,0,67,208,243,0,0,0,385,365,0.8924,15,49,61,172,237,0,0,0,42,42,1.0,6,36,6,0,0,0,0,0,,0,0,0,0,0,0,343,343,343,1.0,71,224,119,0,3,0,113,113,113,1.0,0,0,113,0,0,0,0,10,10,0,0.0,0,0,10,0,0,0
CA-525,90,82,57,0.6333,39,51,0,25,40,47,3,0,9,35,29,0.7436,20,0,12,14,22,3,0,7,47,28,0.549,13,26,25,0,0,2,0,0,,0,0,0,0,0,0,28,28,28,1.0,8,16,12,0,1,5,18,18,0,0.0,10,10,8,0,7,0,0,36,36,36,1.0,0,0,35,1,0,1
CA-526,234,150,150,0.641,176,58,0,41,143,91,0,10,0,120,120,0.6818,0,33,28,102,74,0,0,0,30,30,0.5172,13,41,17,0,10,0,0,0,,0,0,0,0,0,0,41,41,41,1.0,6,17,24,0,6,0,82,82,18,0.2195,13,35,47,0,64,0,46,0,0,0,,0,0,0,0,0,0
CA-527,92,52,52,0.5652,44,48,0,15,65,27,0,0,0,20,20,0.4545,0,0,8,41,3,0,0,0,32,32,0.6667,7,24,24,0,0,0,0,0,,0,0,0,0,0,0,274,116,116,0.4234,76,252,22,0,11,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
CA-529,107,76,68,0.6355,77,30,0,0,0,107,0,0,0,46,38,0.4935,0,0,0,0,77,0,0,0,30,30,1.0,0,0,30,0,0,0,0,0,,0,0,0,0,0,0,111,111,111,1.0,0,0,111,0,12,0,239,239,0,0.0,0,0,239,0,15,0,0,26,26,16,0.6154,0,0,26,0,0,0
CA-530,47,30,30,0.6383,15,30,2,7,21,26,0,0,0,15,15,1.0,0,0,1,4,11,0,0,0,15,15,0.5,6,17,13,0,0,0,0,0,0.0,0,0,2,0,0,0,6,6,6,1.0,2,4,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
CA-531,251,226,226,0.9004,203,48,0,41,96,155,0,0,0,187,187,0.9212,52,0,34,81,122,0,0,0,39,39,0.8125,7,15,33,0,0,0,0,0,,0,0,0,0,0,0,53,53,49,0.9245,13,33,20,0,0,14,57,57,57,1.0,4,16,41,0,0,0,25,16,16,16,1.0,0,0,16,0,0,0
CA-600,24465,23598,16589,0.6781,20070,3963,432,3564,10365,14000,100,1107,1293,19722,14381,0.7165,798,0,3060,8902,11068,100,14,434,3444,1955,0.4933,504,1463,2500,0,686,859,432,253,0.5856,0,0,432,0,407,0,10514,10486,10454,0.9943,225,816,9698,0,409,271,23146,23118,14758,0.6376,1706,5306,17833,7,6105,410,4404,1877,1806,1521,0.8103,225,790,1087,0,0,23
CA-601,5801,5463,5040,0.8688,4090,1652,59,715,2244,3548,9,369,394,3970,3648,0.8919,40,55,475,1541,2540,9,16,107,1434,1333,0.8069,240,703,949,0,325,287,59,59,1.0,0,0,59,0,28,0,2527,2387,2362,0.9347,550,1673,854,0,589,131,6469,6469,6469,1.0,417,1434,5035,0,3522,95,950,2537,2537,2370,0.9342,179,589,1948,0,140,196
CA-602,3397,3107,2591,0.7627,2529,868,0,410,1345,2032,20,81,47,2329,2201,0.8703,0,346,176,634,1875,20,0,47,778,390,0.4493,234,711,157,0,81,0,0,0,,0,0,0,0,0,0,1097,900,894,0.8149,222,757,340,0,95,14,2793,2736,2736,0.9796,391,1279,1514,0,1178,14,659,1607,1607,1607,1.0,229,622,985,0,0,0
CA-603,746,672,499,0.6689,644,102,0,21,206,540,0,16,14,574,401,0.6227,10,0,18,182,462,0,2,14,98,98,0.9608,3,24,78,0,14,0,0,0,,0,0,0,0,0,0,355,355,303,0.8535,65,193,162,0,33,0,956,956,956,1.0,55,193,763,0,319,7,292,698,653,473,0.6777,156,499,199,0,16,10
CA-604,1105,993,993,0.8986,810,295,0,125,328,777,0,62,7,756,756,0.9333,0,5,39,187,623,0,4,4,237,237,0.8034,86,141,154,0,58,3,0,0,,0,0,0,0,0,0,548,519,519,0.9471,114,391,157,0,92,39,3058,3058,3058,1.0,527,1141,1917,0,313,36,379,10,10,10,1.0,4,9,1,0,10,0
CA-606,1322,1224,1040,0.7867,695,569,58,60,172,1150,0,279,0,668,566,0.8144,65,0,29,83,612,0,20,0,498,416,0.7311,31,89,480,0,259,0,58,58,1.0,0,0,58,0,0,0,415,362,362,0.8723,70,222,193,0,184,37,1832,1832,939,0.5126,229,750,1082,0,938,0,207,240,240,0,0.0,0,0,240,0,240,0
CA-607,154,136,136,0.8831,114,40,0,23,63,91,0,0,26,114,114,1.0,85,0,7,23,91,0,0,26,22,22,0.55,16,40,0,0,0,0,0,0,,0,0,0,0,0,0,66,66,66,1.0,7,24,42,0,0,9,447,447,418,0.9351,45,145,302,0,29,1,103,109,109,0,0.0,10,39,70,0,0,0
CA-608,1636,1609,1454,0.8888,1396,240,0,342,749,850,37,39,65,1371,1249,0.8947,40,40,313,592,767,37,14,40,238,205,0.8542,29,157,83,0,25,25,0,0,,0,0,0,0,0,0,309,309,309,1.0,53,178,131,0,41,7,1506,1506,1506,1.0,133,463,1043,0,824,148,821,0,0,0,,0,0,0,0,0,0
CA-609,1091,946,803,0.736,736,355,0,150,481,601,9,15,21,669,620,0.8424,7,0,90,282,448,6,0,18,277,183,0.5155,60,199,153,3,15,3,0,0,,0,0,0,0,0,0,1653,1653,1653,1.0,425,952,701,0,136,0,1691,1691,1691,1.0,240,714,977,0,776,0,679,0,0,0,,0,0,0,0,0,0
CA-611,973,794,600,0.6166,772,191,10,105,321,646,6,18,6,661,540,0.6995,33,0,47,177,589,6,0,6,123,50,0.2618,58,144,47,0,18,0,10,10,1.0,0,0,10,0,0,0,516,516,516,1.0,149,374,142,0,0,0,689,689,500,0.7257,73,139,550,0,247,8,590,73,73,0,0.0,0,0,73,0,0,0
CA-612,139,73,73,0.5252,89,50,0,27,84,55,0,0,0,73,73,0.8202,0,0,13,35,54,0,0,0,0,0,0.0,14,49,1,0,0,0,0,0,,0,0,0,0,0,0,51,47,47,0.9216,20,38,13,0,0,4,169,169,152,0.8994,15,68,101,0,29,0,139,5,5,5,1.0,0,0,5,0,0,0
CA-613,261,197,108,0.4138,119,142,0,34,122,139,0,6,20,80,80,0.6723,0,11,14,69,50,0,0,0,117,28,0.1972,20,53,89,0,6,20,0,0,,0,0,0,0,0,0,235,179,179,0.7617,82,228,7,0,7,0,32,32,0,0.0,18,32,0,0,0,0,0,73,73,57,0.7808,61,73,0,0,0,0
CA-614,305,223,223,0.7311,251,54,0,18,139,143,23,1,23,215,215,0.8566,0,128,9,117,134,0,1,0,8,8,0.1481,9,22,9,23,0,23,0,0,,0,0,0,0,0,0,415,415,404,0.9735,103,321,93,1,44,1,358,358,352,0.9832,7,17,341,0,226,0,132,410,410,56,0.1366,48,171,233,6,0,7
CO-500,1330,1162,448,0.3368,862,468,0,407,539,791,0,16,70,719,375,0.435,129,95,344,419,443,0,0,30,443,73,0.156,63,120,348,0,16,40,0,0,,0,0,0,0,0,0,468,431,431,0.9209,138,305,163,0,98,0,1063,1063,439,0.413,148,239,824,0,493,65,292,0,0,0,,0,0,0,0,0,0
CO-503,6125,5913,4253,0.6944,4102,1960,63,976,2866,3244,15,258,62,3915,3324,0.8103,233,373,609,1621,2467,14,0,40,1960,891,0.4546,367,1245,714,1,220,22,38,38,0.6032,0,0,63,0,38,0,1223,1173,1212,0.991,534,585,638,0,53,28,4545,4545,3062,0.6737,427,1035,3510,0,1456,44,2792,2503,2503,889,0.3552,894,1261,1240,2,20,31
