CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
AK-500,2019,1952,1872,0.9272,1814,205,0,79,286,1720,13,0,97,1772,1700,0.9372,60,6,42,154,1652,8,0,48,180,172,0.839,37,132,68,5,0,49,0,0,,0,0,0,0,0,0,237,224,224,0.9451,22,77,154,6,43,24,705,705,499,0.7078,59,193,512,0,206,13,505,182,182,85,0.467,13,59,123,0,0,0
AK-501,1069,595,567,0.5304,801,268,0,126,406,624,39,12,56,408,396,0.4944,78,9,80,277,485,39,0,48,187,171,0.6381,46,129,139,0,12,8,0,0,,0,0,0,0,0,0,137,99,99,0.7226,15,60,77,0,40,5,385,385,184,0.4779,26,47,338,0,180,0,189,97,97,0,0.0,10,47,50,0,0,0
AL-500,670,640,552,0.8239,431,205,34,43,121,542,7,100,19,413,413,0.9582,0,0,27,79,345,7,90,7,193,105,0.5122,16,42,163,0,10,12,34,34,1.0,0,0,34,0,0,0,206,206,206,1.0,33,97,109,0,40,18,1326,1326,1326,1.0,76,239,1087,0,523,0,50,64,64,64,1.0,6,20,44,0,0,0
AL-501,467,391,391,0.8373,314,153,0,88,276,191,0,58,0,263,263,0.8376,0,8,59,180,134,0,0,0,128,128,0.8366,29,96,57,0,58,0,0,0,,0,0,0,0,0,0,197,175,175,0.8883,53,171,26,0,4,0,251,251,251,1.0,5,21,230,0,60,0,94,9,9,9,1.0,0,0,9,0,9,0
AL-502,246,56,0,0.0,118,128,0,77,109,121,16,4,16,40,0,0.0,30,0,32,47,71,0,4,0,16,0,0.0,45,62,50,16,0,16,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
AL-503,553,522,218,0.3942,493,60,0,48,214,307,32,0,49,462,188,0.3813,0,27,33,154,307,32,0,49,60,30,0.5,15,60,0,0,0,0,0,0,,0,0,0,0,0,0,11,11,11,1.0,2,9,2,0,2,0,334,334,66,0.1976,31,115,219,0,268,0,322,0,0,0,,0,0,0,0,0,0
AL-504,286,215,215,0.7517,215,71,0,27,93,193,0,33,0,202,202,0.9395,0,0,14,50,165,0,33,0,13,13,0.1831,13,43,28,0,0,0,0,0,,0,0,0,0,0,0,4,4,4,1.0,1,1,3,0,0,0,158,158,158,1.0,0,0,158,0,0,0,23,0,0,0,,0,0,0,0,0,0
AL-505,45,45,45,1.0,42,3,0,0,0,45,0,0,0,42,42,1.0,0,0,0,0,42,0,0,0,3,3,1.0,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,42,42,42,1.0,4,16,26,0,0,0,15,15,15,1.0,0,0,15,0,0,0,0,0,0,0,,0,0,0,0,0,0
AL-506,95,83,83,0.8737,87,8,0,5,19,76,0,8,14,75,75,0.8621,0,0,5,19,68,0,0,14,8,8,1.0,0,0,8,0,8,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,282,282,15,0.0532,30,50,232,0,269,7,267,0,0,0,,0,0,0,0,0,0
AL-507,352,277,253,0.7188,334,18,0,61,195,157,0,1,23,259,239,0.7156,14,3,55,184,150,0,1,23,18,14,0.7778,6,11,7,0,0,0,0,0,,0,0,0,0,0,0,137,137,137,1.0,28,86,51,0,0,0,44,44,44,1.0,4,10,34,0,3,0,1,0,0,0,,0,0,0,0,0,0
AR-500,818,746,328,0.401,661,157,0,53,177,641,0,78,23,589,171,0.2587,0,0,43,147,514,0,31,0,157,157,1.0,10,30,127,0,47,23,0,0,,0,0,0,0,0,0,237,237,237,1.0,22,77,160,0,87,0,551,551,551,1.0,107,293,258,0,0,0,0,0,0,0,,0,0,0,0,0,0
AR-501,276,150,130,0.471,197,79,0,20,166,110,0,15,0,115,95,0.4822,0,89,7,105,92,0,15,0,35,35,0.443,13,61,18,0,0,0,0,0,,0,0,0,0,0,0,100,97,92,0.92,47,89,11,0,5,0,180,180,50,0.2778,8,25,155,0,130,0,172,22,22,22,1.0,5,12,10,0,0,0
AR-503,833,615,453,0.5438,695,138,0,86,327,504,2,0,30,503,395,0.5683,0,0,71,266,427,2,0,30,112,58,0.4203,15,61,77,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,15,15,1.0,0,0,15,0,0,0,15,0,0,0,,0,0,0,0,0,0
AR-505,145,70,24,0.1655,145,0,0,16,68,53,24,0,24,70,24,0.1655,0,0,16,68,53,24,0,24,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,16,16,16,1.0,4,4,12,0,0,0,12,0,0,0,,0,0,0,0,0,0
