CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non_DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non_DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
AK-500,988,912,648,0.6559,606,382,0,86,330,658,0,554,424,0.6997,0,122,38,156,450,0,358,224,0.5864,48,174,208,0,0,0,.,0,0,0,0,139,139,139,1,27,105,34,0,139,139,139,1,27,105,34,0,0,0,0,.,0,0,0,0,505,505,505,1,41,126,379,0,0,0,0,.,0,0,0,0
AK-501,826,470,383,0.4637,583,243,0,100,316,459,51,277,226,0.3877,20,0,79,245,316,22,193,157,0.6461,21,71,143,29,0,0,.,0,0,0,0,19,19,19,1,3,18,1,0,19,19,19,1,3,18,1,0,0,0,0,.,0,0,0,0,210,210,210,1,14,41,169,0,0,0,0,.,0,0,0,0
AL-500,1065,978,823,0.7728,400,631,34,127,409,638,18,341,331,0.8275,0,55,27,82,300,18,603,458,0.7258,100,327,304,0,34,34,1,0,0,34,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,1729,1729,1083,0.6264,298,965,764,0,0,0,0,.,0,0,0,0
AL-501,537,456,348,0.648,344,193,0,75,213,324,0,296,268,0.7791,0,60,42,122,222,0,160,80,0.4145,33,91,102,0,0,0,.,0,0,0,0,10,10,0,0,0,0,10,0,10,10,0,0,0,0,10,0,0,0,0,.,0,0,0,0,199,199,199,1,21,39,160,0,0,0,0,.,0,0,0,0
AL-502,266,188,34,0.1278,82,184,0,42,143,123,0,82,34,0.4146,10,0,14,48,34,0,106,0,0,28,95,89,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,50,50,0,0,0,0,50,0,0,0,0,.,0,0,0,0
AL-503,534,484,157,0.294,445,89,0,50,161,370,3,395,85,0.191,0,54,20,91,354,0,89,72,0.809,30,70,16,3,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,211,211,84,0.3981,33,44,167,0,0,0,0,.,0,0,0,0
AL-504,463,403,403,0.8704,120,343,0,58,152,311,0,114,114,0.95,0,0,8,18,102,0,289,289,0.8426,50,134,209,0,0,0,.,0,0,0,0,43,43,43,1,11,39,4,0,43,43,43,1,11,39,4,0,0,0,0,.,0,0,0,0,429,429,222,0.5175,46,133,296,0,0,0,0,.,0,0,0,0
AL-505,150,122,122,0.8133,122,28,0,60,60,75,15,102,102,0.8361,0,260,52,52,66,4,20,20,0.7143,8,8,9,11,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,12,12,12,1,12,12,0,0,0,0,0,.,0,0,0,0
AL-506,155,139,62,0.4,16,139,0,15,54,101,0,0,0,0,0,0,5,6,10,0,139,62,0.446,10,48,91,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,188,188,175,0.9309,5,5,183,0,0,0,0,.,0,0,0,0
AL-507,554,442,36,0.065,309,245,0,50,202,352,0,197,31,0.1003,0,1,34,121,188,0,245,5,0.0204,16,81,164,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,73,73,0,0,2,8,65,0,0,0,0,.,0,0,0,0
AR-500,791,635,395,0.4994,404,387,0,59,205,586,0,348,167,0.4134,0,120,24,88,316,0,287,228,0.5891,35,117,270,0,0,0,.,0,0,0,0,83,83,83,1,10,38,45,0,83,83,83,1,10,38,45,0,0,0,0,.,0,0,0,0,765,765,561,0.7333,113,309,456,0,22,16,16,0.7273,2,9,13,0
AR-501,401,329,235,0.586,230,171,0,38,134,249,18,158,122,0.5304,0,151,13,43,187,0,171,113,0.6608,25,91,62,18,0,0,.,0,0,0,0,74,74,74,1,27,55,19,0,74,74,74,1,27,55,19,0,0,0,0,.,0,0,0,0,98,98,13,0.1327,0,0,98,0,0,0,0,.,0,0,0,0
AR-503,593,493,299,0.5042,517,76,0,40,224,369,0,417,255,0.4932,0,31,35,209,308,0,76,44,0.5789,5,15,61,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,44,44,39,0.8864,5,18,26,0,0,0,0,.,0,0,0,0
AR-505,206,98,15,0.0728,182,24,0,34,89,102,15,86,15,0.0824,0,0,24,77,90,15,12,0,0,10,12,12,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,16,16,0,0,4,4,12,0,0,0,0,.,0,0,0,0
AR-508,132,132,0,0,105,27,0,2,16,116,0,105,0,0,0,0,1,10,95,0,27,0,0,1,6,21,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AR-512,28,0,0,0,28,0,0,6,22,6,0,0,0,0,0,6,6,22,6,0,0,0,.,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AZ-500,1442,920,696,0.4827,1055,387,0,183,916,505,21,577,383,0.363,142,79,113,659,380,16,343,313,0.8088,70,257,125,5,0,0,.,0,0,0,0,34,34,33,0.9706,12,31,3,0,34,34,33,0.9706,12,31,3,0,0,0,0,.,0,0,0,0,823,823,495,0.6015,145,363,460,0,47,47,24,0.5106,5,7,40,0
AZ-501,1847,1768,1742,0.9432,704,1128,15,264,811,1028,8,653,627,0.8906,87,43,102,295,409,0,1100,1100,0.9752,162,516,604,8,15,15,1,0,0,15,0,407,311,311,0.7641,105,308,99,0,407,311,311,0.7641,105,308,99,0,0,0,0,.,0,0,0,0,1080,1080,1080,1,144,431,649,0,637,637,0,0,91,273,364,0
AZ-502,5584,4723,3625,0.6492,2722,2837,25,971,3118,2450,16,2075,1759,0.6462,0,312,421,1268,1442,12,2623,1841,0.6489,550,1850,983,4,25,25,1,0,0,25,0,116,116,116,1,45,116,0,0,0,0,0,.,0,0,0,0,116,116,116,1,45,116,0,0,5455,5455,3993,0.732,547,2000,3455,0,23,23,23,1,3,12,11,0
CA-500,1744,1673,1487,0.8526,593,1141,10,309,876,846,22,522,476,0.8027,336,5,111,257,314,22,1141,1001,0.8773,198,619,522,0,10,10,1,0,0,10,0,194,194,94,0.4845,135,176,18,0,194,194,94,0.4845,135,176,18,0,0,0,0,.,0,0,0,0,3683,3505,1735,0.4711,470,1602,2081,0,0,0,0,.,0,0,0,0
CA-501,2286,2183,1947,0.8517,1657,575,54,244,688,1578,20,1580,1443,0.8709,60,0,137,391,1246,20,549,450,0.7826,107,297,278,0,54,54,1,0,0,54,0,626,626,377,0.6022,203,626,0,0,526,526,323,0.6141,170,526,0,0,100,100,54,0.54,33,100,0,0,6843,6843,6536,0.9551,565,1631,5212,0,0,0,0,.,0,0,0,0
CA-502,2010,1771,1324,0.6587,859,1151,0,326,1078,924,8,665,453,0.5274,169,15,91,401,450,8,1106,871,0.7567,235,677,474,0,0,0,.,0,0,0,0,35,35,35,1,4,11,24,0,35,35,35,1,4,11,24,0,0,0,0,.,0,0,0,0,2502,2502,1802,0.7202,337,972,1530,0,0,0,0,.,0,0,0,0
CA-503,1557,1467,1137,0.7303,621,936,0,222,711,836,10,531,424,0.6828,218,43,74,300,311,10,936,713,0.7618,148,411,525,0,0,0,.,0,0,0,0,114,114,114,1,18,71,43,0,114,114,114,1,18,71,43,0,0,0,0,.,0,0,0,0,2610,2610,2110,0.8084,370,1165,1445,0,0,0,0,.,0,0,0,0
CA-504,975,938,732,0.7508,557,418,0,104,425,544,6,530,494,0.8869,93,10,43,196,355,6,408,238,0.5694,61,229,189,0,0,0,.,0,0,0,0,106,106,82,0.7736,33,104,2,0,106,106,82,0.7736,33,104,2,0,0,0,0,.,0,0,0,0,804,756,422,0.5249,89,346,458,0,103,103,103,1,16,61,42,0
