CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non_DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non_DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
CA-505,663,617,550,0.8296,388,275,0,92,318,339,6,364,301,0.7758,40,20,27,106,276,6,253,249,0.9055,65,212,63,0,0,0,.,0,0,0,0,113,113,113,1,18,54,59,0,96,96,96,1,12,37,59,0,17,17,17,1,6,17,0,0,954,954,783,0.8208,169,426,528,0,8,8,8,1,0,0,8,0
CA-506,872,797,651,0.7466,322,550,0,115,482,390,0,247,101,0.3137,109,21,18,95,227,0,550,550,1,97,387,163,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,261,261,122,0.4674,103,169,92,0,0,0,0,.,0,0,0,0
CA-507,479,384,365,0.762,163,316,0,66,221,258,0,163,163,1,60,0,7,28,135,0,221,202,0.6392,59,193,123,0,0,0,.,0,0,0,0,30,30,30,1,3,10,20,0,30,30,30,1,3,10,20,0,0,0,0,.,0,0,0,0,491,491,489,0.9959,21,69,422,0,0,0,0,.,0,0,0,0
CA-508,642,624,508,0.7913,353,289,0,133,387,255,0,335,302,0.8555,128,0,52,165,188,0,289,206,0.7128,81,222,67,0,0,0,.,0,0,0,0,65,65,47,0.7231,10,29,36,0,65,65,47,0.7231,10,29,36,0,0,0,0,.,0,0,0,0,341,341,126,0.3695,19,55,286,0,0,0,0,.,0,0,0,0
CA-509,190,168,113,0.5947,103,87,0,12,44,145,1,89,89,0.8641,20,22,2,12,90,1,79,24,0.2759,10,32,55,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,441,441,244,0.5533,120,280,161,0,0,0,0,.,0,0,0,0
CA-510,609,583,528,0.867,330,279,0,31,223,324,62,306,284,0.8606,203,0,15,140,128,62,277,244,0.8746,16,83,196,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,391,391,387,0.9898,54,156,235,0,0,0,0,.,0,0,0,0
CA-511,1543,1506,1389,0.9002,850,693,0,268,962,578,3,813,740,0.8706,68,16,111,390,457,3,693,649,0.9365,157,572,121,0,0,0,.,0,0,0,0,6,6,6,1,0,0,6,0,6,6,6,1,0,0,6,0,0,0,0,.,0,0,0,0,561,561,419,0.7469,55,174,387,0,20,20,20,1,0,0,20,0
CA-512,858,802,710,0.8275,304,554,0,97,513,339,6,282,210,0.6908,0,9,30,112,186,6,520,500,0.9025,67,401,153,0,0,0,.,0,0,0,0,24,24,24,1,3,14,10,0,24,24,24,1,3,14,10,0,0,0,0,.,0,0,0,0,663,663,512,0.7722,53,167,495,1,0,0,0,.,0,0,0,0
CA-513,557,455,380,0.6822,235,322,0,58,219,338,0,189,155,0.6596,0,0,29,119,116,0,266,225,0.6988,29,100,222,0,0,0,.,0,0,0,0,15,15,15,1,5,15,0,0,15,15,15,1,5,15,0,0,0,0,0,.,0,0,0,0,224,224,182,0.8125,43,124,100,0,0,0,0,.,0,0,0,0
CA-514,924,754,509,0.5509,435,465,24,146,506,406,12,324,127,0.292,0,0,64,213,210,12,406,358,0.7699,82,293,172,0,24,24,1,0,0,24,0,53,53,53,1,7,25,28,0,53,53,53,1,7,25,28,0,0,0,0,.,0,0,0,0,884,884,511,0.5781,98,332,552,0,0,0,0,.,0,0,0,0
CA-515,408,318,249,0.6103,226,182,0,76,247,161,0,161,156,0.6903,0,6,27,93,133,0,157,93,0.511,49,154,28,0,0,0,.,0,0,0,0,22,22,22,1,3,8,14,0,22,22,22,1,3,8,14,0,0,0,0,.,0,0,0,0,208,208,168,0.8077,16,50,158,0,0,0,0,.,0,0,0,0
CA-516,585,559,80,0.1368,192,393,0,70,224,361,0,166,0,0,0,34,4,66,126,0,393,80,0.2036,66,158,235,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,34,34,34,1,0,0,34,0,0,0,0,.,0,0,0,0
CA-517,174,160,137,0.7874,104,70,0,34,100,74,0,90,90,0.8654,50,0,11,42,62,0,70,47,0.6714,23,58,12,0,0,0,.,0,0,0,0,27,27,27,1,2,5,22,0,27,27,27,1,2,5,22,0,0,0,0,.,0,0,0,0,52,52,50,0.9615,1,3,49,0,0,0,0,.,0,0,0,0
CA-518,548,505,308,0.562,228,320,0,34,286,247,15,198,149,0.6535,0,31,12,144,78,6,307,159,0.4969,22,142,169,9,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,131,131,56,0.4275,8,33,98,0,0,0,0,.,0,0,0,0
CA-519,319,283,244,0.7649,208,111,0,37,108,211,0,180,155,0.7452,10,0,11,34,174,0,103,89,0.8018,26,74,37,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,241,241,241,1,44,133,108,0,0,0,0,.,0,0,0,0
CA-520,218,206,86,0.3945,100,118,0,10,30,188,0,88,66,0.66,20,11,2,8,92,0,118,20,0.1695,8,22,96,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,71,71,25,0.3521,11,27,44,0,0,0,0,.,0,0,0,0
CA-521,306,271,223,0.7288,99,207,0,39,165,138,3,64,64,0.6465,33,1,9,40,56,3,207,159,0.7681,30,125,82,0,0,0,.,0,0,0,0,48,48,48,1,12,42,6,0,48,48,48,1,12,42,6,0,0,0,0,.,0,0,0,0,82,82,31,0.378,4,14,68,0,0,0,0,.,0,0,0,0
CA-522,226,226,215,0.9513,44,182,0,41,123,91,12,44,44,1,55,0,0,0,39,5,182,171,0.9396,41,123,52,7,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,85,85,85,1,8,21,64,0,0,0,0,.,0,0,0,0
CA-523,153,119,56,0.366,37,116,0,21,112,41,0,29,8,0.2162,45,0,7,35,2,0,90,48,0.4138,14,77,39,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-524,342,277,0,0,162,180,0,36,153,189,0,109,0,0,50,14,12,53,109,0,168,0,0,24,100,80,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-525,139,101,101,0.7266,52,87,0,19,73,50,16,24,24,0.4615,45,0,5,36,0,16,77,77,0.8851,14,37,50,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-526,188,105,84,0.4468,95,93,0,41,136,52,0,48,48,0.5053,0,0,19,68,27,0,57,36,0.3871,22,68,25,0,0,0,.,0,0,0,0,17,17,17,1,3,13,4,0,17,17,17,1,3,13,4,0,0,0,0,.,0,0,0,0,21,21,14,0.6667,1,3,18,0,0,0,0,.,0,0,0,0
CA-600,11846,10417,7456,0.6294,4798,7023,25,1261,3856,7877,113,4363,3027,0.6309,1424,845,474,1330,3375,93,6029,4404,0.6271,787,2526,4477,20,25,25,1,0,0,25,0,1663,1603,1552,0.9333,582,1663,0,0,1663,1603,1552,0.9333,582,1663,0,0,0,0,0,.,0,0,0,0,12846,12742,7579,0.59,1160,2905,9941,0,1903,1903,1239,0.6511,573,1573,330,0
CA-601,4531,3975,3784,0.8351,524,3948,59,511,1945,2540,46,356,332,0.6336,609,145,25,166,338,20,3560,3393,0.8594,486,1779,2143,26,59,59,1,0,0,59,0,39,39,39,1,4,15,24,0,39,39,39,1,4,15,24,0,0,0,0,.,0,0,0,0,2914,2914,2570,0.8819,283,909,2005,0,382,382,382,1,70,378,4,0
CA-602,2013,1566,1380,0.6855,414,1599,0,458,1382,607,24,222,140,0.3382,592,32,63,185,205,24,1344,1240,0.7755,395,1197,402,0,0,0,.,0,0,0,0,158,146,76,0.481,32,119,33,6,158,146,76,0.481,32,119,33,6,0,0,0,.,0,0,0,0,2062,2062,2062,1,245,808,1254,0,89,89,0,0,22,89,0,0
CA-603,726,638,490,0.6749,408,318,0,74,318,400,8,364,244,0.598,200,12,26,153,247,8,274,246,0.7736,48,165,153,0,0,0,.,0,0,0,0,59,59,59,1,18,53,6,0,59,59,59,1,18,53,6,0,0,0,0,.,0,0,0,0,510,510,179,0.351,84,264,246,0,0,0,0,.,0,0,0,0
CA-604,671,577,571,0.851,436,235,0,46,217,454,0,376,376,0.8624,2,25,33,169,267,0,201,195,0.8298,13,48,187,0,0,0,.,0,0,0,0,104,104,104,1,20,78,26,0,104,104,104,1,20,78,26,0,0,0,0,.,0,0,0,0,1215,1215,1209,0.9951,166,597,618,0,11,11,11,1,3,9,2,0
CA-606,973,842,589,0.6053,328,620,25,88,364,609,0,284,113,0.3445,140,0,27,130,198,0,533,451,0.7274,61,234,386,0,25,25,1,0,0,25,0,75,75,75,1,10,29,46,0,75,75,75,1,10,29,46,0,0,0,0,.,0,0,0,0,971,971,787,0.8105,83,209,762,0,0,0,0,.,0,0,0,0
CA-607,261,225,190,0.728,130,131,0,40,152,109,0,94,90,0.6923,42,0,12,84,46,0,131,100,0.7634,28,68,63,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,227,227,214,0.9427,16,50,177,0,0,0,0,.,0,0,0,0
CA-608,1385,1211,1157,0.8354,665,720,0,221,715,633,37,545,491,0.7383,72,40,77,236,392,37,666,666,0.925,144,479,241,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,998,998,467,0.4679,134,376,622,0,0,0,0,.,0,0,0,0
CA-609,1110,780,664,0.5982,415,695,0,225,720,378,12,248,148,0.3566,75,50,49,184,219,12,532,516,0.7424,176,536,159,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,684,684,488,0.7135,82,263,421,0,0,0,0,.,0,0,0,0
CA-611,442,400,229,0.5181,108,324,10,60,283,159,0,81,13,0.1204,236,0,9,65,43,0,309,206,0.6358,51,218,106,0,10,10,1,0,0,10,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,332,332,190,0.5723,11,40,292,0,0,0,0,.,0,0,0,0
CA-612,142,132,132,0.9296,50,92,0,31,130,12,0,40,40,0.8,80,0,2,38,12,0,92,92,1,29,92,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,96,96,93,0.9688,6,24,72,0,0,0,0,.,0,0,0,0
CA-613,206,206,206,1,135,71,0,104,151,55,0,135,135,1,0,0,80,80,55,0,71,71,1,24,71,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-614,214,139,114,0.5327,141,73,0,31,96,118,0,102,81,0.5745,16,43,20,60,81,0,37,33,0.4521,11,36,37,0,0,0,.,0,0,0,0,28,28,0,0,11,25,3,0,28,28,0,0,11,25,3,0,0,0,0,.,0,0,0,0,147,147,32,0.2177,13,15,132,0,0,0,0,.,0,0,0,0
CO-500,1929,1392,817,0.4235,963,966,0,152,1138,751,40,666,448,0.4652,270,67,34,537,404,22,726,369,0.382,118,601,347,18,0,0,.,0,0,0,0,32,32,32,1,0,0,32,0,32,32,32,1,0,0,32,0,0,0,0,.,0,0,0,0,665,665,245,0.3684,51,103,562,0,10,10,0,0,1,10,0,0
CO-503,5676,5404,4312,0.7597,2492,3159,25,1041,3080,2150,446,2295,1526,0.6124,598,491,304,1055,1191,246,3084,2761,0.874,737,2025,934,200,25,25,1,0,0,25,0,185,185,162,0.8757,20,52,133,0,185,185,162,0.8757,20,52,133,0,0,0,0,.,0,0,0,0,2007,2007,1888,0.9407,245,531,1476,0,0,0,0,.,0,0,0,0
CO-504,861,829,732,0.8502,298,563,0,102,390,471,0,266,247,0.8289,42,123,12,73,225,0,563,485,0.8615,90,317,246,0,0,0,.,0,0,0,0,171,171,171,1,24,82,89,0,171,171,171,1,24,82,89,0,0,0,0,.,0,0,0,0,419,419,400,0.9547,52,186,233,0,0,0,0,.,0,0,0,0
CT-502,622,602,564,0.9068,337,285,0,69,206,416,0,317,317,0.9407,80,32,24,81,256,0,285,247,0.8667,45,125,160,0,0,0,.,0,0,0,0,6,6,0,0,0,0,6,0,6,6,0,0,0,0,6,0,0,0,0,.,0,0,0,0,842,842,655,0.7779,85,250,592,0,0,0,0,.,0,0,0,0
