CoC_Number,Total_Year_Round_Beds_ES_TH_RRH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_RRH_SH,Total_HMIS_Year_Round_Beds_ES_TH_RRH_SH,HMIS_Participation_Rate_ES_TH_RRH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Rapid_Rehousing_RRH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_without_Children_ES_TH_RRH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_RRH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_RRH_Beds,Total_Year_Round_RRH_Beds,Total_Non_DV_Year_Round_RRH_Beds,Total_HMIS_Year_Round_RRH_Beds,RRH_HMIS_Participation_Rate,Total_RRH_Units_for_Households_with_Children,Total_RRH_Beds_for_Households_with_Children,Total_RRH_Beds_for_Households_without_Children,Total_RRH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
LA-500,543,438,410,0.936,232,311,0,0,82,239,304,0,232,144,116,0.806,0,2,29,79,153,0,311,311,294,294,1,53,160,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,226,187,187,1,57,44,112,114,0
LA-501,210,149,40,0.268,139,71,0,0,20,147,63,0,139,78,16,0.205,0,4,16,139,0,0,71,71,71,24,0.338,4,8,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,109,83,0.761,0,34,61,48,0
LA-502,798,718,646,0.9,452,336,0,10,118,389,396,13,452,372,307,0.825,0,35,57,175,277,0,336,336,336,329,0.979,61,214,109,13,0,0,0,0,0,0,0,0,0,10,10,10,10,1,10,0,432,432,432,231,0.535,122,9,28,404,0
LA-503,1399,1355,1212,0.894,660,729,0,10,216,614,785,0,660,645,580,0.899,59,0,49,146,514,0,729,729,700,622,0.889,167,468,261,0,0,0,0,0,0,0,0,0,0,10,10,10,10,1,10,0,2670,2670,2670,1913,0.716,986,566,935,1735,0
LA-504,839,779,500,0.642,217,622,0,0,42,133,706,0,217,157,142,0.904,0,100,29,103,114,0,622,622,622,358,0.576,13,30,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,408,408,343,0.841,46,42,99,309,0
LA-505,286,183,88,0.481,107,120,47,12,59,181,94,11,107,73,19,0.26,0,0,9,46,50,11,120,120,51,10,0.196,40,108,12,0,47,47,47,47,1,10,27,20,0,12,12,12,12,1,12,0,97,97,97,97,1,42,26,44,53,0
LA-506,308,217,150,0.691,108,200,0,0,48,157,151,0,108,73,14,0.192,2,2,12,37,71,0,200,200,144,136,0.944,36,120,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,320,312,277,0.888,89,44,143,177,0
LA-507,150,150,66,0.44,76,74,0,0,4,37,113,0,76,76,8,0.105,0,0,1,5,71,0,74,74,74,58,0.784,3,32,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,199,72,0.362,161,29,64,135,0
LA-508,129,103,79,0.767,62,67,0,0,19,73,56,0,62,36,32,0.889,0,20,14,54,8,0,67,67,67,47,0.701,5,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,271,232,232,1,0,45,170,101,0
MA-500,5822,5641,4827,0.856,4403,1403,0,16,1164,3570,2252,0,4403,4312,3710,0.86,90,61,999,3135,1268,0,1403,1403,1313,1101,0.839,165,435,968,0,0,0,0,0,0,0,0,0,0,16,16,16,16,1,16,0,5814,5814,5814,3837,0.66,2206,567,1553,4261,0
MA-502,515,515,475,0.922,408,107,0,0,120,429,86,0,408,408,408,1,14,0,88,368,40,0,107,107,107,67,0.626,32,61,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,243,240,0.988,91,47,82,171,0
MA-503,350,291,235,0.808,239,89,22,0,59,150,200,0,239,180,171,0.95,0,3,59,150,89,0,89,89,89,42,0.472,0,0,89,0,22,22,22,22,1,0,0,22,0,0,0,0,0,0,0,0,271,271,271,271,1,75,4,9,262,0
MA-504,4112,3927,3865,0.984,916,245,2944,7,1462,3801,311,0,916,841,837,0.995,0,1077,189,724,192,0,245,245,135,77,0.57,52,133,112,0,2944,2944,2944,2944,1,1221,2944,0,0,7,7,7,7,1,7,0,724,724,724,568,0.785,462,90,250,474,0
MA-505,399,369,360,0.976,138,261,0,0,47,158,241,0,138,108,99,0.917,0,0,29,99,39,0,261,261,261,261,1,18,59,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,340,340,320,0.941,41,75,220,120,0
MA-506,1542,1477,1430,0.968,910,619,0,13,294,976,544,22,910,889,874,0.983,0,226,214,729,159,22,619,619,575,543,0.944,80,247,372,0,0,0,0,0,0,0,0,0,0,13,13,13,13,1,13,0,944,944,944,804,0.852,171,134,353,591,0
MA-507,588,547,514,0.94,187,401,0,0,62,179,401,8,187,146,146,1,65,65,41,121,66,0,401,401,401,368,0.918,21,58,335,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,498,498,163,0.327,266,14,41,457,0
MA-508,515,417,378,0.906,384,131,0,0,127,381,134,0,384,366,364,0.995,60,0,94,289,95,0,131,131,51,14,0.275,33,92,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,91,24,0.264,36,19,65,44,0
MA-509,487,460,460,1,229,232,26,0,62,180,307,0,229,217,217,1,36,28,24,62,167,0,232,232,217,217,1,36,113,119,0,26,26,26,26,1,2,5,21,0,0,0,0,0,0,0,0,466,466,451,235,0.521,134,17,43,423,0
MA-510,553,515,481,0.934,422,120,0,11,141,397,156,0,422,422,388,0.919,18,700,105,316,106,0,120,120,82,82,1,36,81,39,0,0,0,0,0,0,0,0,0,0,11,11,11,11,1,11,0,425,425,418,215,0.514,114,50,136,289,0
MA-511,205,189,189,1,205,0,0,0,29,83,122,0,205,189,189,1,0,206,29,83,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,340,340,299,0.879,96,55,153,187,0
MA-512,272,228,91,0.399,84,176,0,12,56,191,81,0,84,84,47,0.56,0,3,7,30,54,0,176,176,132,33,0.25,49,161,15,0,0,0,0,0,0,0,0,0,0,12,12,12,11,0.917,12,0,236,236,226,73,0.323,93,24,60,176,0
MA-513,358,358,143,0.399,331,27,0,0,135,347,11,0,331,331,116,0.35,0,0,129,331,0,0,27,27,27,27,1,6,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124,124,124,1,35,25,70,54,0
MA-515,256,243,204,0.84,141,115,0,0,47,163,93,0,141,128,128,1,15,2,23,103,38,0,115,115,115,76,0.661,24,60,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,154,154,137,0.89,39,30,86,68,0
MA-516,830,732,644,0.88,544,286,0,0,225,584,246,0,544,519,438,0.844,0,617,165,418,126,0,286,286,213,206,0.967,60,166,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,519,509,350,0.688,149,39,111,408,0
MA-517,156,135,135,1,115,41,0,0,30,80,76,0,115,94,94,1,0,0,21,62,53,0,41,41,41,41,1,9,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,136,130,0.956,39,17,43,93,0
