CoC_Number,Total_Year_Round_Beds_ES_TH_RRH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_RRH_SH,Total_HMIS_Year_Round_Beds_ES_TH_RRH_SH,HMIS_Participation_Rate_ES_TH_RRH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Rapid_Rehousing_RRH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_without_Children_ES_TH_RRH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_RRH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_RRH_Beds,Total_Year_Round_RRH_Beds,Total_Non_DV_Year_Round_RRH_Beds,Total_HMIS_Year_Round_RRH_Beds,RRH_HMIS_Participation_Rate,Total_RRH_Units_for_Households_with_Children,Total_RRH_Beds_for_Households_with_Children,Total_RRH_Beds_for_Households_without_Children,Total_RRH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
MA-518,217,127,84,0.661,104,113,0,0,55,152,65,0,104,80,80,1,0,496,15,43,61,0,113,113,47,4,0.085,40,109,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,162,153,117,0.765,153,4,9,153,0
MA-519,273,245,215,0.878,197,76,0,0,63,221,52,0,197,185,185,1,0,0,43,167,30,0,76,76,60,30,0.5,20,54,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,86,80,0.93,26,12,32,54,0
MA-520,597,554,487,0.879,482,115,0,0,165,452,145,0,482,472,472,1,27,578,140,392,90,0,115,115,82,15,0.183,25,60,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,152,152,139,0.914,65,32,81,71,0
MD-500,93,74,51,0.689,42,51,0,0,21,58,35,0,42,23,0,0,12,36,6,9,33,0,51,51,51,51,1,15,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,118,118,1,17,24,74,44,0
MD-501,2507,2408,1746,0.725,906,1511,50,40,209,808,1687,12,906,822,595,0.724,100,380,45,259,635,12,1511,1511,1511,1076,0.712,151,502,1009,0,50,50,35,35,1,13,47,3,0,40,40,40,40,1,40,0,3205,3205,3205,2281,0.712,187,458,1337,1868,0
MD-502,162,134,126,0.94,69,93,0,0,26,104,58,0,69,41,41,1,38,1,10,35,34,0,93,93,93,85,0.914,16,69,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,128,1,3,29,96,32,0
MD-503,245,224,224,1,147,98,0,0,61,173,72,0,147,126,126,1,105,14,37,91,56,0,98,98,98,98,1,24,82,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,195,195,195,1,68,36,96,99,0
MD-504,128,106,102,0.962,80,48,0,0,31,100,28,0,80,69,69,1,25,0,17,54,26,0,48,48,37,33,0.892,14,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64,64,1,22,9,29,35,0
MD-505,420,370,370,1,367,53,0,0,35,260,160,0,367,338,338,1,96,0,19,207,160,0,53,53,32,32,1,16,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,466,466,241,0.517,59,91,255,211,0
MD-506,113,105,105,1,62,26,0,25,18,69,44,0,62,54,54,1,25,24,10,46,16,0,26,26,26,26,1,8,23,3,0,0,0,0,0,0,0,0,0,0,25,25,25,25,1,25,0,38,38,38,38,1,31,3,14,24,0
MD-507,208,159,106,0.667,52,156,0,0,23,81,127,0,52,30,0,0,35,0,1,22,30,0,156,156,129,106,0.822,22,59,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,134,39,0.291,12,5,15,119,0
MD-508,333,305,302,0.99,194,133,6,0,51,197,136,0,194,176,176,1,91,0,25,124,70,0,133,133,123,120,0.976,24,68,65,0,6,6,6,6,1,2,5,1,0,0,0,0,0,0,0,0,238,238,238,236,0.992,54,63,185,53,0
MD-509,222,183,173,0.945,57,165,0,0,49,151,71,0,57,29,29,1,65,0,11,35,22,0,165,165,154,144,0.935,38,116,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41,41,1,16,4,8,33,0
MD-510,30,10,10,1,21,9,0,0,9,11,19,0,21,1,1,1,0,0,7,9,12,0,9,9,9,9,1,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,1,5,5,5,19,0
MD-511,51,51,46,0.902,14,37,0,0,12,31,20,0,14,14,14,1,93,0,1,4,10,0,37,37,37,32,0.865,11,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,112,112,1,4,27,81,31,0
MD-512,267,217,85,0.392,160,107,0,0,15,77,190,0,160,118,61,0.517,56,0,10,61,99,0,107,107,99,24,0.242,5,16,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,183,109,0.596,13,11,42,141,0
MD-513,267,257,235,0.914,225,42,0,0,49,132,135,0,225,215,193,0.898,66,10,38,94,131,0,42,42,42,42,1,11,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,183,166,0.907,29,34,92,91,0
MD-600,418,418,316,0.756,186,232,0,0,90,333,85,0,186,186,186,1,50,54,28,142,44,0,232,232,232,130,0.56,62,191,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,268,268,268,1,34,74,190,78,0
MD-601,616,550,550,1,274,302,0,40,95,318,298,0,274,220,220,1,100,265,45,146,128,0,302,302,290,290,1,50,172,130,0,0,0,0,0,0,0,0,0,0,40,40,40,40,1,40,0,1826,1826,1826,1707,0.935,187,375,1165,661,0
ME-500,2496,2134,1972,0.924,830,1666,0,0,581,1651,800,45,830,669,543,0.812,0,40,143,416,376,38,1666,1666,1465,1429,0.975,438,1235,424,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,1775,1745,1701,0.975,94,354,920,855,0
ME-502,747,731,710,0.971,368,364,0,15,101,293,450,4,368,352,352,1,0,92,35,118,246,4,364,364,364,343,0.942,66,175,189,0,0,0,0,0,0,0,0,0,0,15,15,15,15,1,15,0,429,429,429,429,1,86,56,146,283,0
MI-500,2346,1611,1519,0.943,1214,1083,49,0,519,1510,800,36,1214,626,543,0.867,20,44,223,664,522,28,1083,1083,936,927,0.99,282,804,271,8,49,49,49,49,1,14,42,7,0,0,0,0,0,0,0,0,854,854,830,830,1,135,158,429,425,0
MI-501,2755,2626,2132,0.812,1288,1337,109,21,185,509,2228,18,1288,1227,1153,0.94,233,82,70,203,1069,16,1337,1337,1269,958,0.755,115,306,1029,2,109,109,109,0,0,0,0,109,0,21,21,21,21,1,21,0,2120,2120,2120,1478,0.697,293,320,824,1296,0
MI-502,460,402,402,1,111,320,13,16,86,308,144,8,111,66,66,1,30,0,23,95,8,8,320,320,307,307,1,54,204,116,0,13,13,13,13,1,9,9,4,0,16,16,16,16,1,16,0,344,344,344,344,1,46,83,233,111,0
MI-503,354,260,208,0.8,163,91,100,0,56,213,135,6,163,121,121,1,80,15,12,81,76,6,91,91,91,87,0.956,18,42,49,0,100,100,48,0,0,26,90,10,0,0,0,0,0,0,0,0,129,129,129,129,1,56,17,46,83,0
MI-504,446,401,344,0.858,100,332,14,0,82,241,195,10,100,55,55,1,157,0,15,59,32,9,332,332,332,275,0.828,64,175,156,1,14,14,14,14,1,3,7,7,0,0,0,0,0,0,0,0,570,570,570,570,1,138,98,252,318,0
MI-505,333,301,244,0.811,215,118,0,0,45,150,177,6,215,183,157,0.858,40,0,24,85,124,6,118,118,118,87,0.737,21,65,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,681,681,681,1,24,148,467,214,0
MI-506,782,584,584,1,315,467,0,0,136,531,239,12,315,253,253,1,0,59,27,100,203,12,467,467,331,331,1,109,431,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,645,645,594,0.921,290,90,203,442,0
MI-507,671,572,572,1,449,222,0,0,95,320,333,18,449,397,397,1,0,0,33,159,277,13,222,222,175,175,1,62,161,56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,456,443,443,1,56,104,293,163,0
MI-508,428,398,340,0.854,348,80,0,0,24,105,314,9,348,318,260,0.818,0,7,20,89,255,4,80,80,80,80,1,4,16,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,368,368,245,0.666,127,36,133,235,0
MI-509,356,310,300,0.968,198,152,6,0,66,200,150,6,198,152,152,1,24,61,36,104,88,6,152,152,152,142,0.934,29,90,62,0,6,6,6,6,1,1,6,0,0,0,0,0,0,0,0,0,306,306,306,211,0.69,26,27,89,217,0
MI-510,382,265,265,1,179,193,4,6,48,160,207,15,179,149,149,1,0,5,23,81,88,10,193,193,109,109,1,24,76,112,5,4,4,1,1,1,1,3,1,0,6,6,6,6,1,6,0,286,286,266,243,0.914,148,40,130,156,0
MI-511,123,63,47,0.746,66,50,7,0,26,90,33,0,66,29,13,0.448,15,5,7,34,32,0,50,50,27,27,1,16,50,0,0,7,7,7,7,1,3,6,1,0,0,0,0,0,0,0,0,16,16,16,8,0.5,8,1,4,12,0
MI-512,296,190,150,0.789,142,124,30,0,49,151,122,23,142,120,88,0.733,42,20,11,37,96,9,124,124,40,32,0.8,33,100,10,14,30,30,30,30,1,5,14,16,0,0,0,0,0,0,0,0,198,198,186,182,0.978,21,41,116,82,0
MI-513,73,57,16,0.281,54,19,0,0,9,21,52,0,54,38,0,0,15,0,2,8,46,0,19,19,19,16,0.842,7,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38,31,0.816,0,9,30,8,0
MI-514,254,208,181,0.87,123,131,0,0,27,93,159,2,123,77,77,1,0,19,21,75,48,0,131,131,131,104,0.794,6,18,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,189,24,0.127,0,9,27,183,0
MI-515,176,158,72,0.456,105,71,0,0,18,48,128,0,105,87,67,0.77,20,0,18,48,57,0,71,71,71,5,0.07,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,1,0,2,5,8,0
MI-516,288,268,268,1,151,137,0,0,21,139,142,7,151,131,131,1,0,0,6,96,48,7,137,137,137,137,1,15,43,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,435,435,376,0.864,28,79,241,194,0
MI-517,243,201,201,1,108,108,27,0,54,185,57,1,108,78,78,1,0,10,7,68,40,0,108,108,96,96,1,29,99,8,1,27,27,27,27,1,18,18,9,0,0,0,0,0,0,0,0,63,63,63,45,0.714,0,20,48,15,0
MI-518,91,40,28,0.7,37,54,0,0,40,79,12,0,37,17,17,1,0,0,20,37,0,0,54,54,23,11,0.478,20,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,1,6,14,14,10,0
MI-519,380,294,290,0.986,158,214,8,0,90,251,129,0,158,138,138,1,0,10,36,76,82,0,214,214,148,144,0.973,52,168,46,0,8,8,8,8,1,2,7,1,0,0,0,0,0,0,0,0,105,105,105,99,0.943,2,15,36,69,0
MI-523,148,118,118,1,43,77,28,0,33,143,5,0,43,32,32,1,0,17,10,42,1,0,77,77,58,58,1,14,77,0,0,28,28,28,28,1,9,24,4,0,0,0,0,0,0,0,0,11,11,11,11,1,0,2,5,6,0
MN-500,3068,2849,2231,0.783,2006,1062,0,0,697,1939,1129,0,2006,1812,1612,0.89,100,332,410,1203,803,0,1062,1062,1037,619,0.597,287,736,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4513,4513,4477,2603,0.581,1653,537,1705,2791,17
MN-501,1486,1292,909,0.704,617,763,96,10,283,825,636,25,617,442,164,0.371,0,30,70,255,351,11,763,763,744,649,0.872,200,528,221,14,96,96,96,96,1,13,42,54,0,10,10,10,0,0,10,0,2399,2399,2399,2214,0.923,987,398,1316,1081,2
MN-502,465,330,175,0.53,252,213,0,0,88,363,102,0,252,176,38,0.216,23,12,38,169,83,0,213,213,154,137,0.89,50,194,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,382,382,382,1,249,68,188,194,0
MN-503,595,520,385,0.74,232,363,0,0,152,432,163,0,232,157,97,0.618,0,33,49,146,86,0,363,363,363,288,0.793,103,286,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,533,533,442,0.829,73,109,304,229,0
MN-504,95,61,59,0.967,12,83,0,0,22,79,15,1,12,12,10,0.833,0,0,3,7,5,0,83,83,49,49,1,19,72,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,133,128,0.962,45,36,89,59,0
MN-505,482,412,288,0.699,199,283,0,0,98,236,245,1,199,137,118,0.861,40,0,38,113,85,1,283,283,275,170,0.618,60,123,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,435,435,293,0.674,88,155,305,130,0
MN-506,266,236,207,0.877,105,161,0,0,63,173,79,14,105,83,66,0.795,20,1,15,55,40,10,161,161,153,141,0.922,48,118,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,426,426,383,0.899,30,104,340,86,0
MN-508,205,180,180,1,97,74,34,0,49,135,70,0,97,72,72,1,0,43,15,43,54,0,74,74,74,74,1,24,64,10,0,34,34,34,34,1,10,28,6,0,0,0,0,0,0,0,0,392,392,392,355,0.906,54,96,276,116,0
MN-509,339,296,296,1,127,212,0,0,82,208,131,0,127,84,84,1,0,0,19,44,83,0,212,212,212,212,1,63,164,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,738,738,738,1,112,202,408,330,0
MN-511,125,112,89,0.795,33,92,0,0,31,87,38,0,33,20,19,0.95,0,4,9,21,12,0,92,92,92,70,0.761,22,66,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,169,169,122,0.722,44,38,136,33,0
MO-500,440,405,324,0.8,185,255,0,0,80,299,73,68,185,150,150,1,0,0,32,131,24,30,255,255,255,174,0.682,48,168,49,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,409,409,409,1,91,121,318,91,0
MO-501,1329,1175,928,0.79,562,749,0,18,237,637,685,7,562,503,322,0.64,16,48,99,209,353,0,749,749,654,606,0.927,138,428,314,7,0,0,0,0,0,0,0,0,0,18,18,18,0,0,18,0,1447,1447,1447,1364,0.943,294,207,709,738,0
MO-503,316,268,146,0.545,124,192,0,0,59,186,124,6,124,76,76,1,0,230,26,91,27,6,192,192,192,70,0.365,33,95,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,108,91,0.843,3,15,39,69,0
MO-600,619,468,339,0.724,197,422,0,0,133,385,234,0,197,116,77,0.664,80,0,41,97,100,0,422,422,352,262,0.744,92,288,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,91,72,0.791,25,24,41,50,0
MO-602,614,560,350,0.625,306,308,0,0,84,244,358,12,306,306,96,0.314,0,8,46,132,162,12,308,308,254,254,1,38,112,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,163,163,109,0.669,6,32,99,64,0
MO-603,163,94,94,1,95,50,0,18,21,74,89,0,95,50,50,1,25,10,12,45,50,0,50,50,26,26,1,9,29,21,0,0,0,0,0,0,0,0,0,0,18,18,18,18,1,18,0,222,222,205,205,1,35,40,140,82,0
MO-604,1967,1577,1410,0.894,996,893,68,10,418,1012,931,24,996,732,587,0.802,56,94,154,382,600,14,893,893,767,745,0.971,244,578,311,4,68,68,68,68,1,20,52,10,6,10,10,10,10,1,10,0,1506,1506,1506,1221,0.811,191,424,712,789,5
MO-606,2313,1339,537,0.401,1561,742,2,8,315,897,1355,61,1561,637,347,0.545,32,42,239,687,819,55,742,742,692,180,0.26,76,210,526,6,2,2,2,2,1,0,0,2,0,8,8,8,8,1,8,0,1293,1293,1293,1119,0.865,62,240,674,619,0
MS-500,582,501,364,0.727,212,370,0,0,26,269,313,0,212,172,152,0.884,50,17,5,87,125,0,370,370,329,212,0.644,21,182,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,314,314,314,1,0,9,50,264,0
MS-501,1112,837,622,0.743,588,460,64,0,166,556,373,183,588,320,253,0.791,0,19,98,340,185,63,460,460,453,305,0.673,58,189,151,120,64,64,64,64,1,10,27,37,0,0,0,0,0,0,0,0,145,145,145,120,0.828,27,16,54,91,0
MS-503,129,89,51,0.573,78,51,0,0,37,75,54,0,78,38,38,1,0,0,20,40,38,0,51,51,51,13,0.255,17,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,52,1,38,3,8,44,0
MT-500,1493,1216,479,0.394,777,675,41,0,290,799,690,4,777,598,143,0.239,30,117,116,374,399,4,675,675,577,295,0.511,163,397,278,0,41,41,41,41,1,11,28,13,0,0,0,0,0,0,0,0,624,624,624,209,0.335,84,102,294,330,0
NC-500,528,493,367,0.744,310,202,16,0,48,187,341,0,310,281,205,0.73,44,15,17,63,247,0,202,202,196,146,0.745,29,115,87,0,16,16,16,16,1,2,9,7,0,0,0,0,0,0,0,0,504,504,504,350,0.694,128,91,256,248,0
NC-501,674,625,594,0.95,207,280,187,0,96,241,433,0,207,188,182,0.968,29,54,25,55,152,0,280,280,250,250,1,19,48,232,0,187,187,187,162,0.866,52,138,49,0,0,0,0,0,0,0,0,530,530,530,335,0.632,195,27,70,460,0
NC-502,804,788,287,0.364,345,459,0,0,62,191,613,0,345,329,168,0.511,0,8,28,98,247,0,459,459,459,119,0.259,34,93,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,265,265,228,0.86,146,33,117,148,0
NC-503,3519,2667,1884,0.706,2399,1030,90,0,431,1664,1842,13,2399,1602,1200,0.749,110,43,258,1074,1316,9,1030,1030,975,594,0.609,152,529,497,4,90,90,90,90,1,21,61,29,0,0,0,0,0,0,0,0,1187,1187,1187,1132,0.954,121,243,709,478,0
NC-504,823,779,692,0.888,362,415,46,0,119,350,461,12,362,362,358,0.989,119,1,30,90,260,12,415,415,371,288,0.776,70,226,189,0,46,46,46,46,1,19,34,12,0,0,0,0,0,0,0,0,385,385,385,241,0.626,68,90,279,106,0
NC-505,2006,1926,1755,0.911,876,1013,117,0,468,932,1063,11,876,796,775,0.974,134,28,160,265,602,9,1013,1013,1013,863,0.852,251,565,446,2,117,117,117,117,1,57,102,15,0,0,0,0,0,0,0,0,808,808,808,522,0.646,494,101,284,524,0
NC-506,447,350,238,0.68,315,132,0,0,46,166,281,0,315,260,202,0.777,10,21,32,102,213,0,132,132,90,36,0.4,14,64,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,171,171,81,0.474,27,4,20,151,0
NC-507,1213,1174,1117,0.951,678,284,251,0,181,492,715,6,678,639,599,0.937,86,0,42,145,527,6,284,284,284,267,0.94,51,118,166,0,251,251,251,251,1,88,229,22,0,0,0,0,0,0,0,0,987,987,987,756,0.766,102,163,421,566,0
NC-509,271,225,145,0.644,194,77,0,0,32,104,152,15,194,148,98,0.662,98,6,25,88,91,15,77,77,77,47,0.61,7,16,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,181,181,181,1,51,62,110,71,0
NC-511,297,244,211,0.865,110,187,0,0,60,220,77,0,110,93,93,1,0,10,12,39,71,0,187,187,151,118,0.781,48,181,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,214,214,214,1,205,52,136,78,0
NC-513,100,100,100,1,64,36,0,0,10,36,64,0,64,64,64,1,0,22,0,0,64,0,36,36,36,36,1,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,1,15,22,67,30,0
NC-516,152,78,68,0.872,104,33,15,0,27,61,91,0,104,34,24,0.706,17,15,21,35,69,0,33,33,29,29,1,4,16,17,0,15,15,15,15,1,2,10,5,0,0,0,0,0,0,0,0,39,39,32,32,1,2,6,14,25,0
ND-500,729,566,511,0.903,575,154,0,0,95,294,435,0,575,475,420,0.884,0,44,72,202,373,0,154,154,91,91,1,23,92,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,570,570,497,0.872,100,70,185,385,0
NE-500,990,733,458,0.625,491,499,0,0,202,612,331,47,491,286,129,0.451,0,0,94,289,170,32,499,499,447,329,0.736,108,323,161,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,69,0.247,16,49,144,135,0
NE-501,1715,1616,1586,0.981,885,633,197,0,209,698,1017,0,885,821,815,0.993,0,113,69,255,630,0,633,633,598,574,0.96,91,284,349,0,197,197,197,197,1,49,159,38,0,0,0,0,0,0,0,0,672,672,672,465,0.692,223,88,266,406,0
NE-502,1023,840,751,0.894,329,694,0,0,133,543,445,35,329,279,277,0.993,0,95,4,167,146,16,694,694,561,474,0.845,129,376,299,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,92,0.989,22,9,21,72,0
NH-500,768,613,554,0.904,443,294,31,0,151,469,299,0,443,318,318,1,118,4,76,234,209,0,294,294,264,205,0.777,73,231,63,0,31,31,31,31,1,2,4,27,0,0,0,0,0,0,0,0,374,374,374,273,0.73,63,59,184,190,0
NH-501,333,325,322,0.991,148,160,21,4,68,166,164,3,148,140,137,0.979,0,15,19,47,98,3,160,160,160,160,1,45,108,52,0,21,21,21,21,1,4,11,10,0,4,4,4,4,1,4,0,344,344,344,253,0.735,87,75,204,140,0
NH-502,309,309,265,0.858,90,189,25,5,59,140,169,0,90,90,60,0.667,0,0,6,16,74,0,189,189,189,175,0.926,48,114,75,0,25,25,25,25,1,5,10,15,0,5,5,5,5,1,5,0,275,275,275,182,0.662,57,47,121,154,0
NJ-500,666,632,632,1,650,16,0,0,91,286,380,0,650,632,632,1,0,155,87,276,374,0,16,16,0,0,0,4,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,89,51,0.573,26,38,38,51,0
NJ-501,369,288,288,1,136,222,11,0,63,183,186,0,136,104,104,1,0,38,15,39,97,0,222,222,173,173,1,47,142,80,0,11,11,11,11,1,1,2,9,0,0,0,0,0,0,0,0,337,337,337,298,0.884,113,18,52,285,0
NJ-502,569,542,473,0.873,531,38,0,0,114,437,132,0,531,504,435,0.863,42,235,110,409,122,0,38,38,38,38,1,4,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,131,131,1,24,19,74,57,0
NJ-503,469,433,433,1,161,286,22,0,55,168,284,17,161,125,125,1,0,160,37,101,60,0,286,286,286,286,1,16,63,206,17,22,22,22,22,1,2,4,18,0,0,0,0,0,0,0,0,336,336,336,153,0.455,48,47,86,250,0
NJ-504,1967,1952,1952,1,1277,585,105,0,288,813,1154,0,1277,1277,1277,1,0,14,112,312,965,0,585,585,570,570,1,155,442,143,0,105,105,105,105,1,21,59,46,0,0,0,0,0,0,0,0,839,839,839,839,1,186,86,262,577,0
NJ-505,155,131,127,0.969,104,36,15,0,41,104,47,4,104,88,84,0.955,0,94,30,70,30,4,36,36,28,28,1,9,28,8,0,15,15,15,15,1,2,6,9,0,0,0,0,0,0,0,0,45,45,45,45,1,4,5,10,35,0
NJ-506,532,490,487,0.994,255,243,34,0,90,253,279,0,255,255,255,1,0,215,21,65,190,0,243,243,201,198,0.985,63,165,78,0,34,34,34,34,1,6,23,11,0,0,0,0,0,0,0,0,358,358,354,273,0.771,133,24,76,282,0
NJ-507,465,444,424,0.955,170,219,76,0,93,273,192,0,170,149,149,1,40,416,35,110,60,0,219,219,219,199,0.909,51,137,82,0,76,76,76,76,1,7,26,50,0,0,0,0,0,0,0,0,123,123,123,64,0.52,33,18,46,77,0
NJ-508,267,209,191,0.914,90,177,0,0,61,188,79,0,90,65,65,1,14,659,12,39,51,0,177,177,144,126,0.875,49,149,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,287,287,246,0.857,98,30,81,206,0
NJ-509,280,222,222,1,132,128,0,20,46,127,153,0,132,99,99,1,0,60,24,73,59,0,128,128,103,103,1,22,54,74,0,0,0,0,0,0,0,0,0,0,20,20,20,20,1,20,0,139,139,139,127,0.914,7,20,49,90,0
NJ-510,139,73,33,0.452,67,51,21,0,33,95,20,24,67,40,0,0,0,520,14,49,6,12,51,51,12,12,1,16,38,1,12,21,21,21,21,1,3,8,13,0,0,0,0,0,0,0,0,89,89,89,60,0.674,27,18,56,33,0
NJ-511,517,317,277,0.874,410,107,0,0,110,322,195,0,410,255,215,0.843,0,0,73,233,177,0,107,107,62,62,1,37,89,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,503,503,471,0.936,254,30,81,422,0
NJ-512,57,57,44,0.772,27,30,0,0,20,38,19,0,27,27,14,0.519,0,0,5,14,13,0,30,30,30,30,1,15,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75,0,0,0,0,0,75,0
NJ-513,364,322,155,0.481,190,174,0,0,35,88,242,34,190,175,60,0.343,0,56,25,55,119,16,174,174,147,95,0.646,10,33,123,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,119,119,32,0.269,11,2,5,114,0
NJ-514,698,652,652,1,275,357,66,0,144,414,274,10,275,251,251,1,0,90,51,153,122,0,357,357,335,335,1,69,195,152,10,66,66,66,66,1,24,66,0,0,0,0,0,0,0,0,0,937,937,937,563,0.601,224,133,366,571,0
NJ-515,375,336,334,0.994,247,128,0,0,65,197,178,0,247,221,221,1,14,1285,26,82,165,0,128,128,115,113,0.983,39,115,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,336,328,0.976,41,58,147,219,0
NJ-516,243,148,125,0.845,123,109,11,0,74,180,63,0,123,78,64,0.821,0,97,53,122,1,0,109,109,59,50,0.847,21,58,51,0,11,11,11,11,1,0,0,11,0,0,0,0,0,0,0,0,66,66,57,51,0.895,23,8,20,46,0
NJ-518,50,14,0,0,14,36,0,0,11,50,0,0,14,14,0,0,0,252,5,14,0,0,36,36,0,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,21,0.583,20,6,14,22,0
