CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non-DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non-DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non-DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non-DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non-DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non-DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non-DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
FL-509,273,225,225,0.8242,136,137,0,57,190,71,12,88,88,0.6471,0,0,37,124,0,12,137,137,1,20,66,71,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,308,308,308,1,60,135,173,0,0,0,0,.,0,0,0,0
FL-510,1626,1495,586,0.3604,932,694,0,192,612,992,22,801,398,0.427,35,9,89,386,524,22,694,188,0.2709,103,226,468,0,0,0,.,0,0,0,0,325,325,284,0.8738,44,157,168,0,325,325,284,0.8738,44,157,168,0,0,0,0,.,0,0,0,0,1027,1027,407,0.3963,315,642,385,0,610,610,127,0.2082,97,161,449,0
FL-511,776,726,547,0.7049,287,489,0,48,211,553,12,237,168,0.5854,0,33,19,89,198,0,489,379,0.7751,29,122,355,12,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,312,312,170,0.5449,0,0,312,0,0,0,0,.,0,0,0,0
FL-512,265,199,152,0.5736,90,175,0,87,188,77,0,40,40,0.4444,0,2,23,58,32,0,159,112,0.64,64,130,45,0,0,0,.,0,0,0,0,110,110,110,1,31,108,2,0,110,110,110,1,31,108,2,0,0,0,0,.,0,0,0,0,96,96,35,0.3646,19,50,46,0,0,0,0,.,0,0,0,0
FL-513,865,837,697,0.8058,103,762,0,177,667,168,30,103,41,0.3981,50,9,5,25,58,20,734,656,0.8609,172,642,110,10,0,0,.,0,0,0,0,80,80,0,0,38,38,42,0,80,80,0,0,38,38,42,0,0,0,0,.,0,0,0,0,76,76,0,0,24,56,20,0,76,76,76,1,18,76,0,0
FL-514,369,318,369,1,218,151,0,24,161,166,42,167,218,1,0,0,9,93,95,30,151,151,1,15,68,71,12,0,0,.,0,0,0,0,50,50,50,1,7,18,32,0,50,50,50,1,7,18,32,0,0,0,0,.,0,0,0,0,127,127,127,1,65,87,40,0,0,0,0,.,0,0,0,0
FL-515,214,191,169,0.7897,58,156,0,34,77,127,10,35,35,0.6034,30,0,7,28,20,10,156,134,0.859,27,49,107,0,0,0,.,0,0,0,0,20,20,0,0,11,20,0,0,20,20,0,0,11,20,0,0,0,0,0,.,0,0,0,0,50,50,0,0,50,50,0,0,0,0,0,.,0,0,0,0
FL-517,275,254,126,0.4582,126,149,0,47,197,78,0,105,16,0.127,0,3,7,60,66,0,149,110,0.7383,40,137,12,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,54,54,54,1,13,40,14,0,0,0,0,.,0,0,0,0
FL-518,87,49,49,0.5632,42,45,0,8,33,42,12,12,12,0.2857,0,0,6,25,5,12,37,37,0.8222,2,8,37,0,0,0,.,0,0,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,0,0,0,.,0,0,0,0,67,51,11,0.1642,31,53,14,0,0,0,0,.,0,0,0,0
FL-519,180,124,124,0.6889,106,74,0,16,52,124,4,50,50,0.4717,0,9,14,38,64,4,74,74,1,2,14,60,0,0,0,.,0,0,0,0,138,138,97,0.7029,5,138,0,0,138,138,97,0.7029,5,138,0,0,0,0,0,.,0,0,0,0,150,150,150,1,105,131,19,0,0,0,0,.,0,0,0,0
FL-520,327,223,223,0.682,219,108,0,61,170,156,1,121,121,0.5525,15,13,47,143,75,1,102,102,0.9444,14,27,81,0,0,0,.,0,0,0,0,8,8,8,1,2,8,0,0,8,8,8,1,2,8,0,0,0,0,0,.,0,0,0,0,64,64,64,1,10,36,28,0,2,2,2,1,0,0,2,0
FL-600,3554,3035,2622,0.7378,1738,1788,28,422,1694,1850,10,1589,1488,0.8562,0,80,187,775,953,10,1418,1106,0.6186,235,919,869,0,28,28,1,0,0,28,0,381,381,381,1,79,239,142,0,381,381,381,1,79,239,142,0,0,0,0,.,0,0,0,0,4188,4188,3424,0.8176,569,2021,2167,0,0,0,0,.,0,0,0,0
FL-601,1956,1824,1453,0.7428,820,1101,35,192,680,1273,3,688,648,0.7902,0,132,57,255,563,2,1101,770,0.6994,135,425,675,1,35,35,1,0,0,35,0,432,432,432,1,69,231,201,0,432,432,432,1,69,231,201,0,0,0,0,.,0,0,0,0,1749,1749,1374,0.7856,171,551,1198,0,451,451,78,0.1729,99,344,107,0
FL-602,200,186,186,0.93,74,122,4,31,71,107,22,60,60,0.8108,0,0,16,32,42,0,122,122,1,15,39,61,22,4,4,1,0,0,4,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,23,23,23,1,1,4,19,0,76,76,72,0.9474,0,0,76,0
FL-603,339,249,201,0.5929,254,85,0,25,129,200,10,164,139,0.5472,0,0,24,125,119,10,85,62,0.7294,1,4,81,0,0,0,.,0,0,0,0,54,54,54,1,7,24,30,0,54,54,54,1,7,24,30,0,0,0,0,.,0,0,0,0,401,401,116,0.2893,285,285,116,0,0,0,0,.,0,0,0,0
FL-604,420,361,361,0.8595,268,152,0,25,89,323,8,209,209,0.7799,0,0,15,54,206,8,152,152,1,10,35,117,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,201,201,186,0.9254,11,36,165,0,16,16,16,1,4,10,6,0
FL-605,770,578,550,0.7143,415,339,16,75,365,383,22,315,287,0.6916,0,0,42,209,196,10,247,247,0.7286,33,156,171,12,16,16,1,0,0,16,0,84,84,84,1,0,0,84,0,84,84,84,1,0,0,84,0,0,0,0,.,0,0,0,0,1349,1349,979,0.7257,266,888,461,0,0,0,0,.,0,0,0,0
FL-606,408,330,158,0.3873,218,190,0,24,81,315,12,158,56,0.2569,0,9,11,45,161,12,172,102,0.5368,13,36,154,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,21,21,21,1,2,5,16,0,0,0,0,.,0,0,0,0
GA-500,3609,3567,2621,0.7262,1643,1966,0,183,758,2851,0,1601,1080,0.6573,148,149,60,345,1298,0,1966,1541,0.7838,123,413,1553,0,0,0,.,0,0,0,0,197,194,194,0.9848,45,141,56,0,197,194,194,0.9848,45,141,56,0,0,0,0,.,0,0,0,0,2247,2247,1838,0.818,177,493,1754,0,0,0,0,.,0,0,0,0
GA-501,2858,1676,1333,0.4664,1603,1255,0,538,1859,994,5,885,598,0.3731,20,36,235,769,829,5,795,735,0.5857,303,1090,165,0,0,0,.,0,0,0,0,587,515,387,0.6593,156,491,96,0,587,515,387,0.6593,156,491,96,0,0,0,0,.,0,0,0,0,2259,2223,1898,0.8402,430,846,1413,0,0,0,0,.,0,0,0,0
GA-502,422,422,26,0.0616,126,296,0,100,250,164,8,126,0,0,0,0,39,95,31,0,296,26,0.0878,61,155,133,8,0,0,.,0,0,0,0,43,43,0,0,19,43,0,0,0,0,0,.,0,0,0,0,43,43,0,0,19,43,0,0,509,509,0,0,117,312,197,0,0,0,0,.,0,0,0,0
GA-503,114,98,98,0.8596,105,9,0,14,56,58,0,89,89,0.8476,35,4,13,52,53,0,9,9,1,1,4,5,0,0,0,.,0,0,0,0,69,69,69,1,10,27,42,0,69,69,69,1,10,27,42,0,0,0,0,.,0,0,0,0,153,153,110,0.719,24,60,93,0,0,0,0,.,0,0,0,0
GA-504,366,366,354,0.9672,205,161,0,52,124,242,0,205,193,0.9415,0,0,19,53,152,0,161,161,1,33,71,90,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,170,170,35,0.2059,144,149,21,0,0,0,0,.,0,0,0,0
GA-505,258,225,116,0.4496,214,44,0,23,78,180,0,181,72,0.3364,0,3,23,78,136,0,44,44,1,0,0,44,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,141,141,141,1,0,0,141,0,28,28,0,0,0,0,28,0
GA-506,348,272,250,0.7184,107,241,0,70,203,145,0,90,77,0.7196,0,78,19,53,54,0,182,173,0.7178,51,150,91,0,0,0,.,0,0,0,0,51,51,51,1,11,39,12,0,51,51,51,1,11,39,12,0,0,0,0,.,0,0,0,0,414,414,108,0.2609,73,223,191,0,0,0,0,.,0,0,0,0
GA-507,659,621,377,0.5721,298,361,0,56,179,472,8,260,210,0.7047,54,0,23,103,187,8,361,167,0.4626,33,76,285,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,713,713,583,0.8177,107,465,248,0,0,0,0,.,0,0,0,0
GA-508,585,513,426,0.7282,115,470,0,90,370,215,0,63,49,0.4261,0,0,23,102,13,0,450,377,0.8021,67,268,202,0,0,0,.,0,0,0,0,44,44,44,1,13,44,0,0,44,44,44,1,13,44,0,0,0,0,0,.,0,0,0,0,1713,1713,1207,0.7046,214,613,1100,0,0,0,0,.,0,0,0,0
GU-500,154,101,100,0.6494,132,22,0,19,82,43,29,108,78,0.5909,0,7,19,82,21,29,22,22,1,0,0,22,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,104,104,57,0.5481,10,27,77,0,0,0,0,.,0,0,0,0
HI-500,876,799,799,0.9121,294,582,0,137,518,358,0,225,225,0.7653,0,0,39,127,167,0,574,574,0.9863,98,391,191,0,0,0,.,0,0,0,0,54,54,54,1,4,13,41,0,54,54,54,1,4,13,41,0,0,0,0,.,0,0,0,0,384,384,294,0.7656,27,104,280,0,0,0,0,.,0,0,0,0
HI-501,3487,3375,3175,0.9105,1110,2352,25,645,2322,1149,16,1027,1016,0.9153,0,61,174,514,580,16,2323,2134,0.9073,471,1808,544,0,25,25,1,0,0,25,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,921,921,735,0.798,113,240,681,0,0,0,0,.,0,0,0,0
IA-500,340,248,124,0.3647,154,186,0,69,190,150,0,123,4,0.026,0,0,15,48,106,0,125,120,0.6452,54,142,44,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,83,83,58,0.6988,11,30,53,0,0,0,0,.,0,0,0,0
IA-501,2427,1919,1397,0.5756,1046,1381,0,477,1546,872,9,766,406,0.3881,25,39,167,527,519,0,1153,991,0.7176,310,1019,353,9,0,0,.,0,0,0,0,170,87,83,0.4882,65,129,41,0,170,87,83,0.4882,65,129,41,0,0,0,0,.,0,0,0,0,370,370,217,0.5865,57,159,211,0,81,81,58,0.716,12,34,47,0
IA-502,839,768,494,0.5888,415,424,0,110,296,538,5,357,237,0.5711,0,63,37,129,282,4,411,257,0.6061,73,167,256,1,0,0,.,0,0,0,0,101,101,101,1,24,88,13,0,101,101,101,1,24,88,13,0,0,0,0,.,0,0,0,0,569,569,377,0.6626,101,323,246,0,160,160,160,1,28,113,47,0
ID-500,780,684,285,0.3654,454,326,0,79,222,546,12,398,145,0.3194,0,24,48,133,309,12,286,140,0.4294,31,89,237,0,0,0,.,0,0,0,0,132,132,131,0.9924,36,119,13,0,132,132,131,0.9924,36,119,13,0,0,0,0,.,0,0,0,0,356,356,161,0.4522,47,137,219,0,0,0,0,.,0,0,0,0
ID-501,1079,902,655,0.607,485,594,0,211,681,396,2,308,197,0.4062,0,9,88,256,227,2,594,458,0.771,123,425,169,0,0,0,.,0,0,0,0,174,174,174,1,32,129,45,0,174,174,174,1,32,129,45,0,0,0,0,.,0,0,0,0,498,476,451,0.9056,83,270,228,0,0,0,0,.,0,0,0,0
IL-500,162,141,133,0.821,47,115,0,21,65,97,0,26,18,0.383,40,11,8,25,22,0,115,115,1,13,40,75,0,0,0,.,0,0,0,0,30,30,30,1,10,28,2,0,30,30,30,1,10,28,2,0,0,0,0,.,0,0,0,0,28,28,28,1,0,0,28,0,60,60,60,1,14,55,5,0
IL-501,394,354,212,0.5381,239,155,0,61,163,218,13,199,57,0.2385,0,30,31,83,143,13,155,155,1,30,80,75,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,384,384,286,0.7448,40,118,266,0,2,2,2,1,0,0,2,0
IL-502,336,231,169,0.503,150,186,0,58,203,133,0,94,32,0.2133,75,47,17,55,95,0,137,137,0.7366,41,148,38,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,246,246,113,0.4593,19,55,191,0,0,0,0,.,0,0,0,0
IL-503,185,185,177,0.9568,10,175,0,26,51,126,8,10,10,1,8,0,1,2,0,8,175,167,0.9543,25,49,126,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,79,79,78,0.9873,10,28,51,0,0,0,0,.,0,0,0,0
IL-504,228,192,172,0.7544,104,124,0,61,200,28,0,68,68,0.6538,0,0,28,79,25,0,124,104,0.8387,33,121,3,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,153,153,153,1,22,71,82,0,0,0,0,.,0,0,0,0
IL-506,319,263,263,0.8245,175,144,0,44,141,178,0,142,142,0.8114,20,0,16,57,118,0,121,121,0.8403,28,84,60,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,397,397,358,0.9018,75,262,135,0,0,0,0,.,0,0,0,0
IL-507,556,469,308,0.554,382,174,0,59,250,306,0,321,175,0.4581,0,0,31,146,236,0,148,133,0.7644,28,104,70,0,0,0,.,0,0,0,0,4,4,4,1,1,4,0,0,4,4,4,1,1,4,0,0,0,0,0,.,0,0,0,0,234,234,170,0.7265,36,74,160,0,0,0,0,.,0,0,0,0
IL-508,210,164,160,0.7619,75,135,0,53,155,55,0,29,25,0.3333,0,19,22,67,8,0,135,135,1,31,88,47,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,248,248,220,0.8871,50,109,139,0,0,0,0,.,0,0,0,0
IL-509,89,54,54,0.6067,74,15,0,8,44,45,0,54,54,0.7297,0,6,2,29,45,0,0,0,0,6,15,0,0,0,0,.,0,0,0,0,3,3,3,1,3,3,0,0,3,3,3,1,3,3,0,0,0,0,0,.,0,0,0,0,112,112,97,0.8661,8,27,85,0,0,0,0,.,0,0,0,0
IL-510,5390,5194,4129,0.766,1632,3717,41,656,2473,2889,28,1632,863,0.5288,0,4,27,127,1501,4,3521,3225,0.8676,629,2346,1347,24,41,41,1,0,0,41,0,611,611,611,1,182,539,72,0,611,611,611,1,182,539,72,0,0,0,0,.,0,0,0,0,7959,7959,6255,0.7859,833,2596,5363,0,205,205,0,0,43,156,49,0
IL-511,636,492,469,0.7374,206,415,15,120,393,237,6,76,62,0.301,268,24,27,127,76,3,401,392,0.9446,93,266,146,3,15,15,1,0,0,15,0,274,274,253,0.9234,63,207,67,0,274,274,253,0.9234,63,207,67,0,0,0,0,.,0,0,0,0,1104,1104,1104,1,160,465,639,0,5,5,0,0,0,0,5,0
IL-512,542,502,466,0.8598,378,140,24,95,277,256,9,338,325,0.8598,24,0,54,161,217,0,140,117,0.8357,41,116,15,9,24,24,1,0,0,24,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,88,88,78,0.8864,14,43,45,0,0,0,0,.,0,0,0,0
IL-513,307,275,275,0.8958,145,162,0,35,146,159,2,113,113,0.7793,50,0,13,74,69,2,162,162,1,22,72,90,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,147,147,147,1,22,57,90,0,0,0,0,.,0,0,0,0
IL-514,666,602,602,0.9039,176,490,0,129,411,247,8,132,132,0.75,44,4,15,65,103,8,470,470,0.9592,114,346,144,0,0,0,.,0,0,0,0,25,25,25,1,4,17,8,0,25,25,25,1,4,17,8,0,0,0,0,.,0,0,0,0,332,332,332,1,58,186,146,0,0,0,0,.,0,0,0,0
IL-515,186,131,105,0.5645,104,82,0,42,134,52,0,64,44,0.4231,0,0,16,54,50,0,67,61,0.7439,26,80,2,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,41,41,31,0.7561,11,32,9,0,0,0,0,.,0,0,0,0
IL-516,319,289,126,0.395,124,195,0,49,133,183,3,94,43,0.3468,0,25,11,48,73,3,195,83,0.4256,38,85,110,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,115,115,111,0.9652,22,58,57,0,0,0,0,.,0,0,0,0
IL-517,404,318,318,0.7871,316,88,0,50,148,256,0,248,248,0.7848,0,34,26,84,232,0,70,70,0.7955,24,64,24,0,0,0,.,0,0,0,0,29,29,29,1,11,20,9,0,29,29,29,1,11,20,9,0,0,0,0,.,0,0,0,0,121,121,118,0.9752,2,9,112,0,0,0,0,.,0,0,0,0
IL-518,399,269,170,0.4261,220,179,0,51,275,100,24,119,32,0.1455,82,5,20,159,61,0,150,138,0.7709,31,116,39,24,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,51,51,51,1,0,0,51,0,0,0,0,.,0,0,0,0
IL-519,206,177,62,0.301,81,125,0,15,70,128,8,57,22,0.2716,0,82,3,15,58,8,120,40,0.32,12,55,70,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,107,107,107,1,28,105,2,0,0,0,0,.,0,0,0,0
IL-520,441,326,189,0.4286,280,161,0,73,208,230,3,180,127,0.4536,0,6,50,131,149,0,146,62,0.3851,23,77,81,3,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,216,216,178,0.8241,45,123,93,0,0,0,0,.,0,0,0,0
IN-500,510,380,380,0.7451,160,350,0,70,236,268,6,86,86,0.5375,69,0,18,60,94,6,294,294,0.84,52,176,174,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,221,207,131,0.5928,8,28,193,0,0,0,0,.,0,0,0,0
IN-502,4264,3268,2095,0.4913,2647,1592,25,702,2240,1989,35,1921,1105,0.4175,179,200,381,1288,1333,26,1322,965,0.6062,321,952,631,9,25,25,1,0,0,25,0,953,925,925,0.9706,207,571,380,2,953,925,925,0.9706,207,571,380,2,0,0,0,.,0,0,0,0,1838,1838,1424,0.7748,297,743,1095,0,34,20,8,0.2353,6,26,8,0
IN-503,1737,1430,733,0.422,908,804,25,191,734,973,30,740,291,0.3205,171,205,116,441,437,30,665,417,0.5187,75,293,511,0,25,25,1,0,0,25,0,295,295,295,1,42,140,155,0,295,295,295,1,42,140,155,0,0,0,0,.,0,0,0,0,1112,1112,735,0.661,105,363,749,0,98,98,0,0,12,24,74,0
KS-501,232,210,146,0.6293,51,181,0,26,102,120,10,51,47,0.9216,0,9,0,0,51,0,159,99,0.547,26,102,69,10,0,0,.,0,0,0,0,23,14,14,0.6087,6,18,5,0,23,14,14,0.6087,6,18,5,0,0,0,0,.,0,0,0,0,136,136,65,0.4779,11,39,97,0,0,0,0,.,0,0,0,0
KS-502,514,365,315,0.6128,366,128,20,56,217,295,2,294,244,0.6667,105,0,25,113,253,0,51,51,0.3984,31,104,22,2,20,20,1,0,0,20,0,2,2,2,1,0,0,2,0,2,2,2,1,0,0,2,0,0,0,0,.,0,0,0,0,551,551,551,1,53,181,370,0,0,0,0,.,0,0,0,0
KS-503,408,392,312,0.7647,330,78,0,69,212,196,0,314,234,0.7091,0,32,50,166,164,0,78,78,1,19,46,32,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,400,400,400,1,78,169,231,0,0,0,0,.,0,0,0,0
KS-505,189,85,85,0.4497,118,71,0,54,171,18,0,58,58,0.4915,0,0,36,110,8,0,27,27,0.3803,18,61,10,0,0,0,.,0,0,0,0,34,34,34,1,10,30,4,0,34,34,34,1,10,30,4,0,0,0,0,.,0,0,0,0,26,26,26,1,0,0,26,0,12,12,0,0,2,6,6,0
KS-507,1636,1267,776,0.4743,979,657,0,256,815,821,0,638,340,0.3473,15,73,142,470,509,0,629,436,0.6636,114,345,312,0,0,0,.,0,0,0,0,127,118,118,0.9291,31,91,36,0,127,118,118,0.9291,31,91,36,0,0,0,0,.,0,0,0,0,287,287,287,1,33,108,179,0,0,0,0,.,0,0,0,0
KY-500,1775,1299,869,0.4896,1137,638,0,260,822,937,16,771,394,0.3465,87,22,130,443,678,16,528,475,0.7445,130,379,259,0,0,0,.,0,0,0,0,83,80,80,0.9639,21,61,22,0,83,80,80,0.9639,21,61,22,0,0,0,0,.,0,0,0,0,1062,914,725,0.6827,220,560,502,0,0,0,0,.,0,0,0,0
KY-501,1062,1018,1018,0.9586,549,513,0,114,344,707,11,521,521,0.949,0,120,52,163,375,11,497,497,0.9688,62,181,332,0,0,0,.,0,0,0,0,62,62,62,1,14,41,21,0,62,62,62,1,14,41,21,0,0,0,0,.,0,0,0,0,1687,1687,1301,0.7712,196,605,1082,0,98,98,98,1,35,77,21,0
KY-502,1250,1210,757,0.6056,634,616,0,75,224,1016,10,594,245,0.3864,28,0,22,66,558,10,616,512,0.8312,53,158,458,0,0,0,.,0,0,0,0,67,67,67,1,13,50,17,0,67,67,67,1,13,50,17,0,0,0,0,.,0,0,0,0,598,598,308,0.5151,107,263,335,0,0,0,0,.,0,0,0,0
LA-500,396,316,312,0.7879,188,208,0,56,168,228,0,124,120,0.6383,0,13,22,57,131,0,192,192,0.9231,34,111,97,0,0,0,.,0,0,0,0,5,3,3,0.6,1,3,2,0,5,3,3,0.6,1,3,2,0,0,0,0,.,0,0,0,0,180,153,153,0.85,25,75,105,0,27,27,27,1,2,4,23,0
LA-502,550,526,397,0.7218,431,87,32,59,194,350,6,407,283,0.6566,0,0,59,194,237,0,87,82,0.9425,0,0,81,6,32,32,1,0,0,32,0,138,138,0,0,43,138,0,0,138,138,0,0,43,138,0,0,0,0,0,.,0,0,0,0,350,350,263,0.7514,26,56,294,0,0,0,0,.,0,0,0,0
LA-503,1198,1154,1060,0.8848,569,619,10,80,245,953,0,554,538,0.9455,59,15,22,81,488,0,590,512,0.8271,58,164,455,0,10,10,1,0,0,10,0,508,508,457,0.8996,88,277,231,0,310,310,259,0.8355,27,79,231,0,198,198,198,1,61,198,0,0,2668,2668,1767,0.6623,182,573,2095,0,0,0,0,.,0,0,0,0
LA-504,791,739,527,0.6662,253,538,0,35,98,671,22,201,194,0.7668,0,0,23,70,171,12,538,333,0.619,12,28,500,10,0,0,.,0,0,0,0,26,26,26,1,2,5,21,0,26,26,26,1,2,5,21,0,0,0,0,.,0,0,0,0,356,356,356,1,45,87,269,0,0,0,0,.,0,0,0,0
LA-505,290,181,64,0.2207,74,216,0,56,175,103,12,40,20,0.2703,0,0,6,24,39,11,141,44,0.2037,50,151,64,1,0,0,.,0,0,0,0,91,91,91,1,27,75,16,0,91,91,91,1,27,75,16,0,0,0,0,.,0,0,0,0,120,120,105,0.875,40,60,60,0,0,0,0,.,0,0,0,0
LA-506,262,181,68,0.2595,95,167,0,35,129,133,0,69,0,0,0,1,8,31,64,0,112,68,0.4072,27,98,69,0,0,0,.,0,0,0,0,28,28,28,1,6,24,4,0,28,28,28,1,6,24,4,0,0,0,0,.,0,0,0,0,361,361,278,0.7701,60,193,168,0,0,0,0,.,0,0,0,0
LA-507,167,167,98,0.5868,97,70,0,4,54,113,0,97,46,0.4742,0,16,2,29,68,0,70,52,0.7429,2,25,45,0,0,0,.,0,0,0,0,5,5,5,1,2,5,0,0,5,5,5,1,2,5,0,0,0,0,0,.,0,0,0,0,236,236,61,0.2585,51,129,107,0,0,0,0,.,0,0,0,0
LA-508,183,133,105,0.5738,85,98,0,31,106,77,0,59,49,0.5765,0,0,19,59,26,0,74,56,0.5714,12,47,51,0,0,0,.,0,0,0,0,13,13,13,1,2,6,7,0,13,13,13,1,2,6,7,0,0,0,0,.,0,0,0,0,264,225,225,0.8523,44,162,102,0,0,0,0,.,0,0,0,0
