CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
CA-505,726,675,675,0.9298,532,194,0,60,207,519,0,31,32,508,508,0.9549,78,20,45,160,372,0,15,15,167,167,0.8608,15,47,147,0,16,17,0,0,.,0,0,0,0,0,0,231,231,231,1,62,184,47,0,47,0,1156,1156,868,0.7509,246,667,489,0,304,10,584,6,6,0,0,0,0,6,0,0,0
CA-506,920,875,656,0.713,411,509,0,126,567,353,0,83,12,366,159,0.3869,132,0,21,175,236,0,10,12,509,497,0.9764,105,392,117,0,73,0,0,0,.,0,0,0,0,0,0,226,226,226,1,53,163,63,0,51,0,301,301,71,0.2359,23,60,241,0,221,2,242,0,0,0,.,0,0,0,0,0,0
CA-507,381,291,291,0.7638,201,180,0,54,177,204,0,16,4,171,171,0.8507,0,0,10,50,151,0,0,0,120,120,0.6667,44,127,53,0,16,4,0,0,.,0,0,0,0,0,0,48,48,48,1,24,32,16,0,5,3,514,514,514,1,35,117,397,0,65,0,368,90,90,49,0.5444,14,37,53,0,0,0
CA-508,628,610,544,0.8662,446,182,0,87,261,367,0,18,34,428,406,0.9103,0,20,57,163,283,0,12,0,182,138,0.7582,30,98,84,0,6,34,0,0,.,0,0,0,0,0,0,420,420,420,1,118,334,86,0,49,7,658,658,287,0.4362,43,121,537,0,352,7,618,0,0,0,.,0,0,0,0,0,0
CA-509,171,130,73,0.4269,47,124,0,22,113,58,0,0,26,34,26,0.5532,66,0,5,47,0,0,0,6,96,47,0.379,17,66,58,0,0,20,0,0,.,0,0,0,0,0,0,41,41,21,0.5122,1,20,21,0,21,21,363,363,353,0.9725,26,149,214,0,148,13,243,0,0,0,.,0,0,0,0,0,0
CA-510,1065,1052,915,0.8592,817,248,0,85,248,795,22,16,38,804,667,0.8164,73,0,51,152,643,22,0,22,248,248,1,34,96,152,0,16,16,0,0,.,0,0,0,0,0,0,12,12,2,0.1667,2,9,3,0,11,0,555,555,326,0.5874,75,239,316,0,217,0,356,0,0,0,.,0,0,0,0,0,0
CA-511,1307,1263,1179,0.9021,947,360,0,167,680,619,8,46,18,903,903,0.9535,100,7,122,507,432,8,6,10,360,276,0.7667,45,173,187,0,40,8,0,0,.,0,0,0,0,0,0,364,364,360,0.989,99,347,17,0,24,0,726,726,726,1,92,275,451,0,326,45,271,0,0,0,.,0,0,0,0,0,0
CA-512,752,704,696,0.9255,580,172,0,123,413,333,6,60,16,552,544,0.9379,0,4,76,258,316,6,60,6,152,152,0.8837,47,155,17,0,0,10,0,0,.,0,0,0,0,0,0,367,360,358,0.9755,90,330,37,0,10,0,1218,1218,977,0.8021,105,370,848,0,348,30,375,47,0,0,0,13,45,2,0,0,0
CA-513,494,369,333,0.6741,310,184,0,40,208,286,0,0,20,233,233,0.7516,0,0,28,160,150,0,0,0,136,100,0.5435,12,48,136,0,0,20,0,0,.,0,0,0,0,0,0,139,139,139,1,13,46,93,0,64,0,235,235,169,0.7191,24,66,169,0,52,0,158,65,65,65,1,5,20,45,0,0,0
CA-514,1046,843,351,0.3356,898,148,0,166,522,514,10,84,46,740,248,0.2762,83,4,129,437,451,10,41,26,103,103,0.6959,37,85,63,0,43,20,0,0,.,0,0,0,0,0,0,767,403,391,0.5098,196,627,140,0,63,0,1338,1338,696,0.5202,154,511,827,0,707,0,844,44,44,44,1,2,7,37,0,44,0
CA-515,408,242,232,0.5686,242,166,0,32,186,222,0,0,6,187,181,0.7479,0,0,16,122,120,0,0,0,55,51,0.3072,16,64,102,0,0,6,0,0,.,0,0,0,0,0,0,74,44,44,0.5946,28,71,3,0,0,0,61,61,61,1,0,0,61,0,0,0,51,0,0,0,.,0,0,0,0,0,0
CA-516,625,554,130,0.208,436,189,0,89,481,144,0,23,1,371,39,0.0894,33,0,70,398,38,0,1,1,183,91,0.4815,19,83,106,0,22,0,0,0,.,0,0,0,0,0,0,251,251,251,1,231,233,18,0,11,0,55,55,36,0.6545,17,29,26,0,0,0,40,0,0,0,.,0,0,0,0,0,0
CA-517,145,129,117,0.8069,123,22,0,16,56,89,0,0,10,107,107,0.8699,55,5,11,39,84,0,0,0,22,10,0.4545,5,17,5,0,0,10,0,0,.,0,0,0,0,0,0,59,59,59,1,17,30,29,0,12,0,50,50,50,1,0,0,50,0,0,0,41,0,0,0,.,0,0,0,0,0,0
CA-518,331,331,201,0.6073,222,109,0,12,133,198,0,30,35,222,137,0.6171,0,0,11,113,109,0,18,0,109,64,0.5872,1,20,89,0,12,35,0,0,.,0,0,0,0,0,0,177,177,177,1,12,48,129,0,106,0,228,228,54,0.2368,29,94,134,0,136,0,216,0,0,0,.,0,0,0,0,0,0
CA-519,573,530,424,0.74,319,254,0,88,279,289,5,0,16,287,232,0.7273,16,22,25,105,214,0,0,4,243,192,0.7559,63,174,75,5,0,12,0,0,.,0,0,0,0,0,0,21,16,16,0.7619,5,5,16,0,0,0,176,176,176,1,33,120,56,0,0,12,27,115,115,115,1,13,61,54,0,0,28
CA-520,416,389,252,0.6058,272,144,0,64,203,213,0,8,6,260,231,0.8493,0,18,56,179,93,0,8,0,129,21,0.1458,8,24,120,0,0,6,0,0,.,0,0,0,0,0,0,46,46,46,1,0,0,46,0,0,0,163,163,78,0.4785,27,75,88,0,85,4,8,0,0,0,.,0,0,0,0,0,0
CA-521,244,209,195,0.7992,193,51,0,34,107,137,0,0,23,158,152,0.7876,75,8,26,84,109,0,0,0,51,43,0.8431,8,23,28,0,0,23,0,0,.,0,0,0,0,0,0,334,291,291,0.8713,92,293,41,0,0,24,242,242,127,0.5248,22,64,178,0,40,0,121,0,0,0,.,0,0,0,0,0,0
CA-522,379,379,169,0.4459,294,85,0,18,134,240,5,51,5,294,84,0.2857,18,0,11,90,204,0,15,0,85,85,1,7,44,36,5,36,5,0,0,.,0,0,0,0,0,0,213,213,213,1,71,192,21,0,11,0,57,57,57,1,2,10,47,0,0,0,51,0,0,0,.,0,0,0,0,0,0
CA-523,119,105,90,0.7563,61,58,0,35,119,0,0,0,0,47,47,0.7705,0,0,22,61,0,0,0,0,58,43,0.7414,13,58,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-524,338,338,338,1.0,296,42,0,46,173,165,0,0,0,296,296,1.0,30,35,42,149,147,0,0,0,42,42,1,4,24,18,0,0,0,0,0,.,0,0,0,0,0,0,213,213,209,0.9812,54,198,15,0,0,0,18,18,18,1,1,4,14,0,18,0,0,4,4,4,1,0,0,4,0,0,0
CA-525,148,115,43,0.2905,82,66,0,29,104,32,12,0,12,64,12,0.1463,92,0,21,70,0,12,0,12,51,31,0.4697,8,34,32,0,0,0,0,0,.,0,0,0,0,0,0,85,85,10,0.1176,25,75,10,0,0,0,5,5,0,0,0,0,5,0,5,0,0,0,0,0,.,0,0,0,0,0,0
CA-526,223,141,141,0.6323,172,51,0,45,149,74,0,12,0,114,114,0.6628,0,0,35,113,59,0,0,0,27,27,0.5294,10,36,15,0,12,0,0,0,.,0,0,0,0,0,0,100,100,100,1,23,75,25,0,9,0,58,58,17,0.2931,8,21,37,0,41,0,46,0,0,0,.,0,0,0,0,0,0
CA-527,62,22,22,0.3548,24,38,0,10,41,21,0,0,0,0,0,0.0,40,0,4,21,3,0,0,0,22,22,0.5789,6,20,18,0,0,0,0,0,.,0,0,0,0,0,0,188,72,72,0.383,46,174,14,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-529,63,60,20,0.3175,25,38,0,1,22,41,0,0,6,22,0,0.0,24,0,1,22,3,0,0,0,38,20,0.5263,0,0,38,0,0,6,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,210,210,15,0.0714,0,0,210,0,10,0,0,24,24,0,0,3,12,0,12,0,12
CA-530,32,21,21,0.6563,11,21,0,4,21,11,0,0,0,11,11,1.0,0,0,1,5,6,0,0,0,10,10,0.4762,3,16,5,0,0,0,0,0,.,0,0,0,0,0,0,7,7,5,0.7143,2,5,2,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-531,99,81,81,0.8182,87,12,0,10,16,83,0,0,0,69,69,0.7931,75,0,10,16,71,0,0,0,12,12,1,0,0,12,0,0,0,0,0,.,0,0,0,0,0,0,97,97,10,0.1031,28,87,10,0,0,0,42,42,37,0.881,2,5,37,0,0,2,31,2,2,2,1,1,2,0,0,0,0
CA-600,18955,17773,12320,0.65,14719,4111,125,3363,10178,8777,0,784,1159,14024,10151,0.6897,1169,0,2861,8650,6069,0,149,369,3624,2044,0.4972,502,1528,2583,0,535,790,125,125,1,0,0,125,0,100,0,6045,5942,5893,0.9749,1236,4372,1673,0,343,205,22683,22466,13820,0.6093,1862,5934,16749,0,6287,493,4236,2030,1988,1375,0.6773,260,752,1278,0,0,23
CA-601,4177,3711,3246,0.7771,2424,1700,53,492,1502,2667,8,587,248,2230,2149,0.8866,82,2,236,815,1601,8,220,97,1428,1066,0.6271,256,687,1013,0,345,151,53,31,0.5849,0,0,53,0,22,0,1846,1663,1618,0.8765,424,1236,610,0,416,62,4901,4901,4826,0.9847,406,1342,3559,0,2728,95,740,939,939,839,0.8935,0,0,939,0,140,16
CA-602,3184,2902,2171,0.6818,2167,1017,0,403,1250,1914,20,26,20,1993,1608,0.742,400,147,160,540,1607,20,0,20,909,563,0.5536,243,710,307,0,26,0,0,0,.,0,0,0,0,0,0,663,529,430,0.6486,193,516,147,0,99,0,2496,2496,2431,0.974,383,1255,1241,0,984,14,678,295,295,295,1,61,229,66,0,0,0
CA-603,810,689,475,0.5864,647,163,0,48,328,469,13,38,14,571,376,0.5811,0,35,33,249,385,13,12,14,118,99,0.6074,15,79,84,0,26,0,0,0,.,0,0,0,0,0,0,186,186,159,0.8548,26,77,109,0,48,0,707,707,348,0.4922,40,151,556,0,316,9,278,277,277,90,0.3249,65,247,30,0,0,0
CA-604,697,579,368,0.528,433,264,0,74,292,405,0,59,10,376,167,0.3857,0,10,38,181,252,0,0,7,203,201,0.7614,36,111,153,0,59,3,0,0,.,0,0,0,0,0,0,602,593,593,0.985,58,64,538,0,37,1,2308,2308,1720,0.7452,369,1300,1008,0,318,57,450,9,9,9,1,3,7,2,0,9,4
CA-606,562,451,419,0.7456,245,317,0,53,162,400,0,232,0,203,203,0.8286,125,0,23,75,170,0,16,0,248,216,0.6814,30,87,230,0,216,0,0,0,.,0,0,0,0,0,0,378,378,320,0.8466,70,203,175,0,161,10,1662,1662,1608,0.9675,154,582,1080,0,921,0,183,240,240,0,0,0,0,240,0,240,0
CA-607,183,183,183,1.0,132,51,0,33,89,94,0,0,6,132,132,1.0,140,21,14,41,91,0,0,6,51,51,1,19,48,3,0,0,0,0,0,.,0,0,0,0,0,0,25,25,25,1,0,0,25,0,0,5,434,434,418,0.9631,42,134,300,0,16,7,119,0,0,0,.,0,0,0,0,0,0
CA-608,931,811,811,0.8711,839,92,0,91,352,555,24,25,56,759,759,0.9046,55,0,80,310,505,24,0,29,52,52,0.5652,11,42,50,0,25,27,0,0,.,0,0,0,0,0,0,318,318,318,1,69,238,80,0,41,0,1744,1744,1744,1,112,414,1330,0,975,17,860,0,0,0,.,0,0,0,0,0,0
CA-609,693,575,477,0.6883,483,186,24,144,410,272,11,33,22,419,321,0.6646,79,0,107,272,202,9,0,9,132,132,0.7097,37,138,46,2,9,13,24,24,1,0,0,24,0,24,0,2101,2101,2101,1,468,1633,468,0,180,0,1603,1603,1603,1,199,656,947,0,708,0,657,0,0,0,.,0,0,0,0,0,0
CA-611,569,436,367,0.645,354,205,10,101,271,293,5,18,26,312,248,0.7006,63,0,40,118,231,5,0,26,114,109,0.5317,61,153,52,0,18,0,10,10,1,0,0,10,0,0,0,683,683,683,1,166,529,154,0,33,0,693,693,485,0.6999,65,151,542,0,217,8,544,0,0,0,.,0,0,0,0,0,0
CA-612,111,99,99,0.8919,57,54,0,24,80,31,0,0,3,45,45,0.7895,0,0,5,26,31,0,0,3,54,54,1,19,54,0,0,0,0,0,0,.,0,0,0,0,0,0,15,15,15,1,5,13,2,0,0,0,189,189,120,0.6349,19,84,105,0,32,0,157,0,0,0,.,0,0,0,0,0,0
CA-613,303,201,98,0.3234,149,154,0,30,150,153,0,0,0,110,70,0.4698,0,10,4,59,90,0,0,0,91,28,0.1818,26,91,63,0,0,0,0,0,.,0,0,0,0,0,0,157,8,8,0.051,51,152,5,0,8,0,321,321,273,0.8505,149,321,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-614,290,225,180,0.6207,259,31,0,31,155,135,0,0,14,221,180,0.695,0,40,21,128,131,0,0,14,4,0,0,10,27,4,0,0,0,0,0,.,0,0,0,0,0,0,404,404,404,1,126,374,30,0,10,1,357,357,125,0.3501,25,85,272,0,230,6,131,4,4,4,1,0,0,4,0,0,0
CO-500,1089,863,288,0.2645,647,442,0,384,417,672,0,48,55,451,260,0.4019,177,125,287,311,336,0,8,22,412,28,0.0633,97,106,336,0,40,33,0,0,.,0,0,0,0,0,0,377,328,328,0.87,151,315,62,0,27,0,851,851,522,0.6134,169,199,652,0,465,30,184,0,0,0,.,0,0,0,0,0,0
CO-503,5535,5328,3177,0.574,3270,2202,63,497,1990,3516,29,264,99,3088,2025,0.6193,190,12,161,595,2656,19,0,54,2202,1114,0.5059,336,1395,797,10,226,45,38,38,0.6032,0,0,63,0,38,0,1161,1133,1160,0.9991,306,997,164,0,70,47,3171,3171,1962,0.6187,157,327,2781,63,1133,106,2674,1449,1449,527,0.3637,180,471,976,2,29,28
CO-504,1184,1150,918,0.7753,790,394,0,119,427,757,0,31,29,756,756,0.957,0,2,29,165,625,0,0,20,394,162,0.4112,90,262,132,0,31,9,0,0,.,0,0,0,0,0,0,99,99,99,1,18,58,41,0,41,22,698,698,629,0.9011,75,290,408,0,426,39,644,40,40,40,1,3,36,4,0,0,4
CO-505,466,352,77,0.1652,366,100,0,131,274,192,0,16,0,252,77,0.2104,164,126,112,186,180,0,16,0,100,0,0,19,88,12,0,0,0,0,0,.,0,0,0,0,0,0,197,187,81,0.4112,41,176,21,0,13,0,412,412,393,0.9539,47,134,278,0,199,10,131,27,27,27,1,0,0,27,0,0,0
CT-503,747,670,634,0.8487,560,187,0,132,356,377,14,47,31,497,461,0.8232,54,44,91,269,277,14,0,14,173,173,0.9251,41,87,100,0,47,17,0,0,.,0,0,0,0,0,0,233,205,205,0.8798,45,124,109,0,39,1,1977,1963,1963,0.9929,223,615,1362,0,114,19,1886,0,0,0,.,0,0,0,0,0,0
