CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
AK-500,920,843,666,0.7239,720,200,0,74,311,598,11,0,111,668,502,0.6972,176,8,38,183,533,4,0,60,175,164,0.82,36,128,65,7,0,51,0,0,.,0,0,0,0,0,0,212,184,184,0.8679,43,142,70,0,32,22,558,558,341,0.6111,55,184,374,0,217,10,311,92,92,92,1,4,8,84,0,0,0
AK-501,965,504,456,0.4725,690,275,0,120,411,543,11,14,40,305,281,0.4072,156,31,91,314,365,11,0,11,199,175,0.6364,29,97,178,0,14,29,0,0,.,0,0,0,0,0,0,47,47,47,1,9,29,18,0,9,0,405,405,137,0.3383,51,134,271,0,236,0,148,0,0,0,.,0,0,0,0,0,0
AL-500,888,767,612,0.6892,545,309,34,101,282,594,12,98,42,459,407,0.7468,0,40,64,182,351,12,85,16,274,171,0.5534,37,100,209,0,13,26,34,34,1,0,0,34,0,0,0,235,235,235,1,37,101,134,0,37,1,1823,1823,1249,0.6851,169,448,1375,0,656,0,189,32,32,32,1,0,0,32,0,0,0
AL-501,396,321,321,0.8106,274,122,0,66,214,182,0,38,0,221,221,0.8066,0,12,44,135,139,0,0,0,100,100,0.8197,22,79,43,0,38,0,0,0,.,0,0,0,0,0,0,114,114,114,1,28,88,26,0,17,0,247,247,197,0.7976,8,33,214,0,50,0,102,0,0,0,.,0,0,0,0,0,0
AL-502,285,95,0,0.0,118,167,0,77,109,160,16,4,16,40,0,0.0,30,0,32,47,71,0,4,0,55,0,0,45,62,89,16,0,16,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,42,42,0,0,0,0,42,0,0,0,0,8,8,0,0,0,0,8,0,0,0
AL-503,572,517,189,0.3304,530,42,0,51,213,344,15,0,22,480,152,0.2868,0,2,40,178,337,15,0,15,37,37,0.881,11,35,7,0,0,7,0,0,.,0,0,0,0,0,0,13,13,13,1,2,5,8,0,12,0,369,369,74,0.2005,57,146,223,0,295,0,355,0,0,0,.,0,0,0,0,0,0
AL-504,356,296,296,0.8315,226,130,0,43,126,230,0,33,0,220,220,0.9735,0,0,16,47,179,0,33,0,76,76,0.5846,27,79,51,0,0,0,0,0,.,0,0,0,0,0,0,8,8,8,1,2,4,4,0,8,0,373,373,150,0.4021,34,114,259,0,223,0,23,0,0,0,.,0,0,0,0,0,0
AL-505,115,79,65,0.5652,98,17,0,13,29,86,0,0,0,71,57,0.5816,0,12,9,25,73,0,0,0,8,8,0.4706,4,4,13,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,50,50,50,1,2,5,45,0,0,0,4,0,0,0,.,0,0,0,0,0,0
AL-506,99,83,83,0.8384,91,8,0,10,25,74,0,8,14,75,75,0.8242,0,0,10,25,66,0,0,14,8,8,1,0,0,8,0,8,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,294,294,27,0.0918,37,64,230,0,267,0,267,0,0,0,.,0,0,0,0,0,0
AL-507,202,133,93,0.4604,110,92,0,50,136,66,0,4,23,41,5,0.0455,14,1,23,58,52,0,4,23,92,88,0.9565,27,78,14,0,0,0,0,0,.,0,0,0,0,0,0,107,107,107,1,19,75,32,0,3,0,76,76,76,1,4,12,64,0,10,4,3,0,0,0,.,0,0,0,0,0,0
AR-500,882,693,328,0.3719,641,241,0,82,258,624,0,78,23,502,171,0.2668,0,20,56,188,453,0,31,0,191,157,0.6515,26,70,171,0,47,23,0,0,.,0,0,0,0,0,0,237,237,237,1,22,77,160,0,87,0,959,959,551,0.5746,107,293,666,0,408,0,0,0,0,0,.,0,0,0,0,0,0
AR-501,242,142,127,0.5248,214,28,0,38,112,130,0,15,18,114,99,0.4626,0,0,31,100,114,0,15,18,28,28,1,7,12,16,0,0,0,0,0,.,0,0,0,0,0,0,41,41,41,1,0,0,41,0,0,0,66,66,66,1,17,44,22,0,0,0,7,0,0,0,.,0,0,0,0,0,0
AR-503,562,358,225,0.4004,475,87,0,61,247,315,0,0,0,271,169,0.3558,0,0,51,212,263,0,0,0,87,56,0.6437,10,35,52,0,0,0,0,0,.,0,0,0,0,0,0,212,212,212,1,52,153,59,0,0,0,15,15,15,1,0,0,15,0,0,0,15,0,0,0,.,0,0,0,0,0,0
AZ-500,1108,662,579,0.5226,876,232,0,102,469,634,5,81,5,519,463,0.5285,23,19,66,358,513,5,5,5,143,116,0.5,36,111,121,0,76,0,0,0,.,0,0,0,0,0,0,840,840,840,1,129,475,365,0,141,2,1087,1087,911,0.8381,119,424,663,0,536,0,528,8,8,8,1,1,5,3,0,8,0
AZ-501,965,882,882,0.914,584,357,24,132,375,586,4,152,78,521,521,0.8921,109,12,81,220,360,4,48,8,337,337,0.944,51,155,202,0,95,70,24,24,1,0,0,24,0,9,0,755,740,740,0.9801,153,570,185,0,35,15,1759,1759,952,0.5412,157,540,1210,9,807,65,183,0,0,0,.,0,0,0,0,0,0
AZ-502,4006,3399,2891,0.7217,2172,1781,53,587,2032,1950,24,329,123,1761,1627,0.7491,0,121,313,1088,1068,16,32,47,1585,1211,0.68,274,944,829,8,244,76,53,53,1,0,0,53,0,53,0,1463,1434,1436,0.9815,279,1053,410,0,287,31,5857,5857,5857,1,426,1453,4404,0,1124,17,1192,338,338,338,1,74,289,49,0,25,10
CA-500,1648,1553,1553,0.9424,1069,559,20,127,419,1221,8,212,99,988,988,0.9242,386,15,88,295,766,8,75,24,545,545,0.975,39,124,435,0,117,75,20,20,1,0,0,20,0,20,0,1486,1380,1396,0.9394,357,1215,271,0,92,51,3829,3761,1940,0.5067,484,1495,2334,0,1374,62,2040,126,126,126,1,33,126,0,0,0,0
CA-501,3530,3375,881,0.2496,2903,627,0,431,847,2683,0,171,281,2822,617,0.2125,65,10,312,657,2246,0,95,89,553,264,0.4211,119,190,437,0,76,192,0,0,.,0,0,0,0,0,0,1187,1187,1187,1,422,422,765,0,24,152,5897,5897,3324,0.5637,353,822,5075,0,1371,106,3913,4154,4154,2932,0.7058,358,1091,3063,0,0,64
CA-502,2032,1847,1491,0.7338,1383,617,32,159,554,1460,18,215,169,1208,933,0.6746,160,33,109,391,974,18,95,66,607,526,0.8525,50,163,454,0,88,103,32,32,1,0,0,32,0,32,0,633,633,633,1,102,353,278,2,25,87,3545,3543,2684,0.7571,441,1205,2325,15,699,80,602,0,0,0,.,0,0,0,0,0,0
CA-503,1783,1701,1502,0.8424,1193,590,0,223,642,1141,0,139,216,1133,1027,0.8609,130,3,109,337,856,0,40,54,568,475,0.8051,114,305,285,0,99,162,0,0,.,0,0,0,0,0,0,772,772,766,0.9922,185,635,137,0,79,63,3251,3251,2624,0.8071,414,1335,1916,0,713,55,2594,91,91,91,1,4,12,79,0,31,0
CA-504,1112,1080,836,0.7518,737,375,0,54,268,838,6,26,55,705,645,0.8752,119,90,36,194,537,6,18,43,375,191,0.5093,18,74,301,0,8,12,0,0,.,0,0,0,0,0,0,630,617,541,0.8587,136,285,345,0,40,9,823,823,399,0.4848,36,79,744,0,421,42,518,145,145,145,1,14,36,109,0,0,24
