CoC_Number,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Overall_Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Overall_Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Overall_Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Overall_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals
MA-515,Fall River CoC,143,54,84,138,5,87,34,48,82,5,56,20,36,56,0,24,9,15,24,0,15,14,1
MA-516,Massachusetts Balance of State CoC,2185,1127,949,2076,109,951,425,417,842,109,1234,702,532,1234,0,465,246,219,465,0,262,209,53
MA-519,"Attleboro, Taunton/Bristol County CoC",133,57,46,103,30,67,21,16,37,30,66,36,30,66,0,23,12,11,23,0,40,28,12
MD-501,Baltimore CoC,2607,981,997,1978,629,1653,751,619,1370,283,954,230,378,608,346,318,85,128,213,105,410,218,192
MD-502,Harford County CoC,145,73,59,132,13,94,57,24,81,13,51,16,35,51,0,17,4,13,17,0,31,23,8
MD-503,Annapolis/Anne Arundel County CoC,290,164,76,240,50,132,73,9,82,50,158,91,67,158,0,49,30,19,49,0,46,38,8
MD-504,Howard County CoC,159,83,52,135,24,35,20,0,20,15,124,63,52,115,9,27,8,15,23,4,5,0,5
MD-505,Baltimore County CoC,426,292,101,393,33,133,87,32,119,14,293,205,69,274,19,106,69,29,98,8,72,65,7
MD-506,Carroll County CoC,174,96,65,161,13,124,69,44,113,11,50,27,21,48,2,19,10,8,18,1,31,28,3
MD-509,Frederick City & County CoC,246,71,153,224,22,126,66,42,108,18,120,5,111,116,4,42,2,38,40,2,55,42,13
MD-511,Mid-Shore Regional CoC,310,95,44,139,171,199,51,24,75,124,111,44,20,64,47,32,13,6,19,13,63,0,63
MD-513,"Wicomico, Somerset, Worcester Counties CoC",251,173,41,214,37,160,121,9,130,30,91,52,32,84,7,39,24,12,36,3,43,32,11
MD-514,Maryland Balance of State CoC,2518,378,352,730,1788,837,156,153,309,528,1681,222,199,421,1260,534,66,66,132,402,309,93,216
MD-600,Prince George's County CoC,943,295,503,798,145,573,160,268,428,145,370,135,235,370,0,104,40,64,104,0,216,71,145
MD-601,Montgomery County CoC,1150,486,424,910,240,740,315,185,500,240,410,171,239,410,0,130,55,75,130,0,208,119,89
ME-500,Maine Statewide CoC,2632,758,1830,2588,44,1241,539,662,1201,40,1391,219,1168,1387,4,491,73,416,489,2,132,123,9
MI-500,Michigan Balance of State CoC,2392,868,555,1423,969,1030,329,183,512,518,1362,539,372,911,451,454,185,114,299,155,156,79,77
MI-501,Detroit CoC,18062,3399,1339,4738,13324,11913,2608,1027,3635,8278,6149,791,312,1103,5046,1520,258,128,386,1134,1503,261,1242
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",865,374,244,618,247,513,292,124,416,97,352,82,120,202,150,97,23,31,54,43,122,42,80
MI-503,"St. Clair Shores, Warren/Macomb County CoC",769,215,36,251,518,541,140,28,168,373,228,75,8,83,145,77,23,3,26,51,163,32,131
MI-504,"Pontiac, Royal Oak/Oakland County CoC",1011,224,178,402,609,804,152,50,202,602,207,72,128,200,7,51,18,32,50,1,190,167,23
MI-505,Flint/Genesee County CoC,245,194,33,227,18,129,99,20,119,10,116,95,13,108,8,40,32,5,37,3,26,23,3
MI-506,"Grand Rapids, Wyoming/Kent County CoC",794,329,423,752,42,407,220,151,371,36,387,109,272,381,6,132,33,96,129,3,109,73,36
MI-507,"Portage, Kalamazoo City & County CoC",862,499,284,783,79,276,204,29,233,43,586,295,255,550,36,148,77,57,134,14,70,70,0
MI-508,"Lansing, East Lansing/Ingham County CoC",408,291,100,391,17,205,127,61,188,17,203,164,39,203,0,77,60,17,77,0,122,105,17
MI-509,Washtenaw County CoC,413,239,118,357,56,285,168,61,229,56,128,71,57,128,0,39,21,18,39,0,85,48,37
MI-510,Saginaw City & County CoC,361,117,157,274,87,237,85,93,178,59,124,32,64,96,28,43,14,20,34,9,57,56,1
MI-511,Lenawee County CoC,93,74,11,85,8,45,42,1,43,2,48,32,10,42,6,16,10,4,14,2,20,19,1
