CoC_Number,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Overall_Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Overall_Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Overall_Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Overall_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals
CA-609,San Bernardino City & County CoC,6969,807,413,1220,5749,6191,317,292,609,5582,778,490,121,611,167,237,152,40,192,45,2386,142,2244
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1961,259,292,551,1410,1180,161,107,268,912,781,98,185,283,498,369,42,50,92,277,301,42,259
CA-612,Glendale CoC,296,151,82,233,63,161,113,10,123,38,135,38,72,110,25,50,16,26,42,8,79,64,15
CA-613,Imperial County CoC,393,91,65,156,237,289,52,0,52,237,104,39,65,104,0,33,12,21,33,0,249,12,237
CA-614,San Luis Obispo County CoC,850,172,109,281,569,579,116,56,172,407,271,56,53,109,162,88,17,17,34,54,243,15,228
CO-500,Colorado Balance of State CoC,5188,757,476,1233,3955,1829,249,89,338,1491,3359,508,387,895,2464,840,127,97,224,616,475,76,399
CO-503,Metropolitan Denver CoC,8482,2407,2544,4951,3531,3669,1598,614,2212,1457,4813,809,1930,2739,2074,1520,237,679,916,604,412,272,140
CO-504,Colorado Springs/El Paso County CoC,1077,328,365,693,384,762,257,177,434,328,315,71,188,259,56,97,21,54,75,22,195,101,94
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",846,419,330,749,97,562,309,162,471,91,284,110,168,278,6,99,41,56,97,2,125,79,46
CT-505,Connecticut Balance of State CoC,3781,1990,1281,3271,510,2211,1194,520,1714,497,1570,796,761,1557,13,524,269,250,519,5,750,499,251
DC-500,District of Columbia CoC,6044,3463,2203,5666,378,4208,2908,922,3830,378,1836,555,1281,1836,0,587,177,410,587,0,2184,1840,344
DE-500,Delaware Statewide CoC,933,446,416,862,71,652,333,248,581,71,281,113,168,281,0,85,37,48,85,0,248,221,27
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1361,366,164,530,831,1043,278,75,353,690,318,88,89,177,141,137,25,34,59,78,125,27,98
FL-501,Tampa/Hillsborough County CoC,6483,358,692,1050,5433,4397,262,322,584,3813,2086,96,370,466,1620,837,40,108,148,689,528,147,381
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2526,487,818,1305,1221,2129,359,552,911,1218,397,128,266,394,3,151,54,96,150,1,611,197,414
FL-503,"Lakeland, Winterhaven/Polk County CoC",1149,450,258,708,441,930,388,137,525,405,219,62,121,183,36,67,21,35,56,11,155,105,50
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",1801,108,468,576,1225,1167,78,186,264,903,634,30,282,312,322,224,9,123,132,92,153,0,153
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",1763,248,82,330,1433,993,232,57,289,704,770,16,25,41,729,327,6,11,17,310,628,187,441
FL-506,Tallahassee/Leon County CoC,590,254,241,495,95,434,200,164,364,70,156,54,77,131,25,44,14,23,37,7,150,100,50
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",3734,1037,1329,2366,1368,1797,448,608,1056,741,1937,589,721,1310,627,646,197,240,437,209,1070,430,640
FL-508,"Gainesville/Alachua, Putnam Counties CoC",744,117,162,279,465,590,66,108,174,416,154,51,54,105,49,47,16,16,32,15,199,20,179
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1503,218,80,298,1205,747,60,0,60,687,756,158,80,238,518,285,53,29,82,203,163,26,137
FL-510,"Jacksonville-Duval, Clay Counties CoC",2585,769,723,1492,1093,1833,403,337,740,1093,752,366,386,752,0,250,122,128,250,0,621,391,230
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",1028,121,254,375,653,786,83,163,246,540,242,38,91,129,113,142,16,35,51,91,170,26,144
FL-512,St. Johns County CoC,1238,60,46,106,1132,1099,32,4,36,1063,139,28,42,70,69,50,14,19,33,17,119,0,119
FL-513,"Palm Bay, Melbourne/Brevard County CoC",1899,94,408,502,1397,1532,52,249,301,1231,367,42,159,201,166,115,16,43,59,56,576,25,551
FL-514,Ocala/Marion County CoC,480,139,173,312,168,348,105,75,180,168,132,34,98,132,0,45,13,32,45,0,7,7,0
FL-515,"Panama City/Bay, Jackson Counties CoC",313,62,149,211,102,269,43,124,167,102,44,19,25,44,0,12,5,7,12,0,30,0,30
FL-517,"Hendry, Hardee, Highlands Counties CoC",2968,16,85,101,2867,1119,16,47,63,1056,1849,0,38,38,1811,834,0,12,12,822,505,8,497
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",282,84,8,92,190,180,46,8,54,126,102,38,0,38,64,21,11,0,11,10,75,17,58
FL-519,Pasco County CoC,4074,1500,0,1500,2574,1178,432,0,432,746,2896,1068,0,1068,1828,1158,427,0,427,731,894,336,558
