CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
AR-500,674,533,325,0.4822,471,203,0,66,225,449,0,72,14,370,218,0.4628,0,120,42,167,304,0,48,0,163,107,0.5271,24,58,145,0,24,14,0,0,.,0,0,0,0,0,0,68,68,68,1,6,21,47,0,34,0,931,931,552,0.5929,112,311,620,0,379,0,73,23,23,23,1,3,11,12,0,0,0
AR-501,371,296,177,0.4771,186,185,0,49,176,163,32,34,156,111,93,0.5,25,0,22,98,88,0,16,69,185,84,0.4541,27,78,75,32,18,87,0,0,.,0,0,0,0,0,0,158,158,158,1,15,141,17,0,158,0,134,134,0,0,13,39,95,0,134,0,95,15,15,0,0,3,8,7,0,0,0
AR-503,564,414,241,0.4273,471,93,0,44,234,330,0,0,0,321,191,0.4055,0,0,35,209,262,0,0,0,93,50,0.5376,9,25,68,0,0,0,0,0,.,0,0,0,0,0,0,117,117,117,1,24,76,41,0,0,0,42,42,42,1,5,18,24,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-505,223,115,0,0,199,24,0,35,92,107,24,0,24,103,0,0,0,0,25,80,95,24,0,24,12,0,0,10,12,12,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,16,16,0,0,4,4,12,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-508,178,138,0,0,154,24,0,22,59,119,0,15,0,114,0,0,0,0,21,50,104,0,0,0,24,0,0,1,9,15,0,15,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-512,52,20,0,0,32,20,0,16,51,1,0,0,1,0,0,0,0,1,11,31,1,0,0,1,20,0,0,5,20,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AZ-500,1052,700,598,0.5684,861,191,0,83,359,668,25,53,26,509,407,0.4727,0,158,57,273,563,25,0,26,191,191,1,26,86,105,0,53,0,0,0,.,0,0,0,0,0,0,147,147,139,0.9456,19,61,86,0,62,0,1179,1179,650,0.5513,166,631,548,0,553,0,343,0,0,0,.,0,0,0,0,0,0
AZ-501,1299,1226,1187,0.9138,768,516,15,149,481,814,4,180,63,715,676,0.8802,97,95,81,266,498,4,65,8,496,496,0.9612,68,215,301,0,115,55,15,15,1,0,0,15,0,0,0,301,256,256,0.8505,61,208,93,0,42,0,2024,2024,1210,0.5978,182,620,1404,0,814,36,298,0,0,0,.,0,0,0,0,0,0
AZ-502,3529,2970,2805,0.7948,2237,1271,21,489,1760,1737,32,234,86,1782,1762,0.7877,0,18,261,960,1245,32,16,60,1167,1022,0.8041,228,800,471,0,218,26,21,21,1,0,0,21,0,0,0,1088,1088,1088,1,210,735,353,0,144,46,5422,5422,4265,0.7866,504,1754,3668,0,1155,14,1617,1076,1076,1076,1,198,873,203,0,25,32
CA-500,1652,1593,1593,0.9643,654,998,0,203,762,878,12,199,87,595,595,0.9098,571,0,59,205,437,12,50,12,998,998,1,144,557,441,0,149,75,0,0,.,0,0,0,0,0,0,532,520,520,0.9774,102,345,187,0,55,1,4275,4084,2698,0.6311,466,1618,2657,0,1315,63,1867,0,0,0,.,0,0,0,0,0,0
CA-501,2759,2642,1880,0.6814,2287,453,19,343,773,1961,25,451,193,2206,1601,0.7,35,0,237,538,1724,25,292,96,417,279,0.6159,106,235,218,0,140,97,19,0,0,0,0,19,0,19,0,176,176,137,0.7784,14,39,137,0,0,0,8254,8189,6507,0.7883,894,2647,5607,0,1059,122,7730,0,0,0,.,0,0,0,0,0,0
CA-502,1636,1444,1203,0.7353,872,764,0,234,741,887,8,154,340,692,501,0.5745,270,39,94,414,450,8,22,56,752,702,0.9188,140,327,437,0,132,284,0,0,.,0,0,0,0,0,0,443,443,345,0.7788,89,299,144,0,47,0,2871,2839,2220,0.7732,363,972,1899,0,451,70,715,0,0,0,.,0,0,0,0,0,0
CA-503,1431,1329,1156,0.8078,762,669,0,189,544,881,6,90,121,678,596,0.7822,145,157,102,301,455,6,30,12,651,560,0.8371,87,243,426,0,60,109,0,0,.,0,0,0,0,0,0,661,661,661,1,172,581,80,0,82,33,3028,3028,2292,0.7569,483,1392,1636,0,713,92,2195,8,8,8,1,1,5,3,0,0,0
CA-504,936,874,807,0.8622,605,331,0,101,375,555,6,35,34,578,573,0.9471,210,3,50,207,392,6,19,22,296,234,0.7069,51,168,163,0,16,12,0,0,.,0,0,0,0,0,0,330,330,330,1,74,240,90,0,35,15,952,952,524,0.5504,109,333,619,0,383,8,232,118,118,118,1,32,111,7,0,0,0
CA-505,677,634,381,0.5628,459,218,0,55,203,471,3,28,32,435,325,0.7081,84,18,38,144,312,3,16,18,199,56,0.2569,17,59,159,0,12,14,0,0,.,0,0,0,0,0,0,183,183,183,1,48,136,47,0,48,0,1183,1183,921,0.7785,147,497,686,0,262,11,653,0,0,0,.,0,0,0,0,0,0
CA-506,882,842,603,0.6837,292,590,0,128,478,386,18,64,50,252,82,0.2808,200,19,22,91,189,12,0,30,590,521,0.8831,106,387,197,6,64,20,0,0,.,0,0,0,0,0,0,19,19,6,0.3158,8,17,2,0,10,0,277,277,27,0.0975,23,54,223,0,199,0,66,0,0,0,.,0,0,0,0,0,0
CA-507,349,278,242,0.6934,182,167,0,49,153,196,0,16,0,161,161,0.8846,60,1,10,46,136,0,0,0,117,81,0.485,39,107,60,0,16,0,0,0,.,0,0,0,0,0,0,155,155,155,1,41,109,46,0,0,0,371,371,371,1,35,104,267,0,53,0,201,70,70,70,1,2,6,64,0,0,0
CA-508,482,464,399,0.8278,281,201,0,89,279,203,0,12,28,263,232,0.8256,106,0,53,156,125,0,12,0,201,167,0.8308,36,123,78,0,0,28,0,0,.,0,0,0,0,0,0,185,185,138,0.7459,63,155,30,0,86,0,638,638,223,0.3495,40,122,516,0,376,0,622,0,0,0,.,0,0,0,0,0,0
CA-509,138,118,118,0.8551,72,66,0,15,112,26,0,0,5,57,57,0.7917,64,0,6,56,16,0,0,5,61,61,0.9242,9,56,10,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,364,364,364,1,103,227,137,0,120,0,79,0,0,0,.,0,0,0,0,0,0
CA-510,843,820,820,0.9727,581,262,0,102,343,476,24,32,40,558,558,0.9604,111,1,81,285,272,24,16,24,262,262,1,21,58,204,0,16,16,0,0,.,0,0,0,0,0,0,83,83,83,1,17,57,26,0,24,0,542,542,359,0.6624,62,195,347,0,199,0,210,0,0,0,.,0,0,0,0,0,0
CA-511,1123,1110,826,0.7355,823,300,0,157,611,502,10,54,18,810,616,0.7485,0,31,113,442,371,10,6,10,300,210,0.7,44,169,131,0,48,8,0,0,.,0,0,0,0,0,0,281,281,281,1,78,264,17,0,28,0,751,751,396,0.5273,74,309,442,0,355,37,186,20,20,20,1,0,0,20,0,0,0
CA-512,637,584,574,0.9011,223,414,0,109,379,254,4,73,14,195,195,0.8744,0,29,28,107,112,4,63,4,389,379,0.9155,81,272,142,0,10,10,0,0,.,0,0,0,0,0,0,139,134,134,0.964,31,87,52,0,56,0,753,727,575,0.7636,58,149,604,0,255,0,318,313,313,313,1,59,212,101,0,0,30
CA-513,459,349,315,0.6863,268,191,0,27,137,322,0,0,20,206,172,0.6418,0,13,15,89,179,0,0,0,143,143,0.7487,12,48,143,0,0,20,0,0,.,0,0,0,0,0,0,104,104,104,1,16,64,40,0,52,0,256,256,153,0.5977,32,97,159,0,103,0,131,0,0,0,.,0,0,0,0,0,0
CA-514,560,381,212,0.3786,380,156,24,95,321,227,12,84,80,246,77,0.2026,0,2,65,238,130,12,41,12,111,111,0.7115,30,83,73,0,43,68,24,24,1,0,0,24,0,0,0,238,167,167,0.7017,41,128,110,0,126,0,1253,1253,613,0.4892,136,485,768,0,710,23,265,0,0,0,.,0,0,0,0,0,0
CA-515,486,338,295,0.607,355,131,0,103,221,265,0,0,50,262,257,0.7239,0,68,75,132,223,0,0,44,76,38,0.2901,28,89,42,0,0,6,0,0,.,0,0,0,0,0,0,69,35,35,0.5072,23,67,2,0,0,14,217,217,167,0.7696,16,41,176,0,29,6,176,0,0,0,.,0,0,0,0,0,0
CA-516,826,723,24,0.0291,321,505,0,237,527,283,16,22,16,218,0,0,0,80,41,209,112,0,0,0,505,24,0.0475,196,318,171,16,22,16,0,0,.,0,0,0,0,0,0,134,134,134,1,37,134,0,0,0,0,90,90,30,0.3333,0,0,90,0,0,0,30,0,0,0,.,0,0,0,0,0,0
CA-517,169,157,144,0.8521,101,68,0,27,93,76,0,2,12,89,89,0.8812,50,17,11,39,62,0,0,0,68,55,0.8088,16,54,14,0,2,12,0,0,.,0,0,0,0,0,0,50,50,50,1,13,46,4,0,1,0,47,47,47,1,1,2,45,0,0,0,38,0,0,0,.,0,0,0,0,0,0
CA-518,366,366,276,0.7541,152,214,0,31,134,232,0,61,51,152,136,0.8947,30,0,4,58,94,0,11,0,214,140,0.6542,27,76,138,0,50,51,0,0,.,0,0,0,0,0,0,102,102,89,0.8725,40,58,44,0,81,0,217,217,115,0.53,23,77,140,0,69,0,140,0,0,0,.,0,0,0,0,0,0
CA-519,463,428,420,0.9071,231,232,0,61,259,204,0,15,16,205,205,0.8874,39,41,18,95,136,0,0,4,223,215,0.9267,43,164,68,0,15,12,0,0,.,0,0,0,0,0,0,17,5,5,0.2941,4,12,5,0,5,0,345,345,345,1,48,192,153,0,188,0,29,18,18,0,0,0,0,18,0,0,0
CA-520,148,136,96,0.6486,76,72,0,10,23,125,0,0,0,64,64,0.8421,15,10,2,8,68,0,0,0,72,32,0.4444,8,15,57,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,130,130,45,0.3462,13,44,86,0,85,0,32,0,0,0,.,0,0,0,0,0,0
CA-521,236,201,64,0.2712,184,52,0,39,149,83,4,0,9,149,54,0.2935,25,13,33,128,52,4,0,4,52,10,0.1923,6,21,31,0,0,5,0,0,.,0,0,0,0,0,0,77,77,3,0.039,26,76,1,0,0,0,101,101,35,0.3465,6,18,83,0,15,0,35,0,0,0,.,0,0,0,0,0,0
CA-522,398,398,250,0.6281,293,105,0,25,136,245,17,51,22,293,145,0.4949,18,0,11,84,204,5,15,5,105,105,1,14,52,41,12,36,17,0,0,.,0,0,0,0,0,0,59,59,59,1,25,25,34,0,16,0,55,55,55,1,2,10,45,0,0,0,55,0,0,0,.,0,0,0,0,0,0
CA-523,88,81,0,0,19,69,0,17,70,18,0,0,0,19,0,0,0,0,5,11,8,0,0,0,62,0,0,12,59,10,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-524,294,252,104,0.3537,294,0,0,33,85,209,0,0,0,252,104,0.3537,30,15,33,85,209,0,0,0,0,0,.,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,231,231,0,0,58,231,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-525,165,130,93,0.5636,46,119,0,22,70,83,12,27,12,15,12,0.2609,40,0,8,34,0,12,3,12,115,81,0.6807,14,36,83,0,24,0,0,0,.,0,0,0,0,0,0,40,28,28,0.7,7,25,15,0,1,6,0,0,0,.,0,0,0,0,0,0,0,77,77,75,0.974,24,75,2,0,0,0
CA-526,154,73,73,0.474,103,51,0,32,108,46,0,20,5,48,48,0.466,0,28,22,76,27,0,0,0,25,25,0.4902,10,32,19,0,20,5,0,0,.,0,0,0,0,0,0,70,70,70,1,13,42,28,0,27,0,21,21,11,0.5238,0,0,21,0,10,0,9,0,0,0,.,0,0,0,0,0,0
CA-527,41,17,16,0.3902,24,17,0,8,31,10,0,0,0,0,0,0,45,0,4,21,3,0,0,0,17,16,0.9412,4,10,7,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-529,43,13,13,0.3023,30,13,0,9,38,5,0,0,0,0,0,0,24,0,8,25,5,0,0,0,13,13,1,1,13,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-530,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0,5,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-600,15225,13690,5052,0.3318,8535,6665,25,2392,7338,7800,87,1428,1081,8068,2521,0.2954,1393,5,1644,5072,3388,75,309,228,5597,2506,0.376,748,2266,4387,12,1119,853,25,25,1,0,0,25,0,0,0,2541,2512,2512,0.9886,470,1650,891,0,500,65,18348,18270,10243,0.5583,1646,5282,13066,0,6752,156,6655,2287,2190,905,0.3957,255,741,1546,0,649,84
CA-601,3722,3186,3169,0.8514,1337,2343,42,460,1637,2067,18,493,330,1188,1188,0.8886,144,268,144,654,665,18,10,18,1956,1939,0.8276,316,983,1360,0,482,312,42,42,1,0,0,42,0,1,0,706,603,603,0.8541,136,441,265,0,324,0,3882,3882,3882,1,297,937,2945,0,2197,52,661,814,814,503,0.6179,131,373,441,0,156,8
CA-602,2315,1962,1077,0.4652,1149,1166,0,444,1344,951,20,25,20,944,412,0.3586,350,42,143,452,677,20,0,20,1018,665,0.5703,301,892,274,0,25,0,0,0,.,0,0,0,0,0,0,598,573,573,0.9582,142,528,70,0,94,0,2609,2609,2609,1,268,885,1724,0,949,14,641,54,54,54,1,3,16,38,0,0,0
CA-603,824,700,517,0.6274,531,293,0,88,376,439,9,13,17,480,370,0.6968,370,164,40,213,310,8,0,8,220,147,0.5017,48,163,129,1,13,9,0,0,.,0,0,0,0,0,0,166,166,166,1,29,98,68,0,44,2,840,840,208,0.2476,91,334,506,0,208,0,283,0,0,0,.,0,0,0,0,0,0
CA-604,681,587,587,0.862,457,224,0,47,217,464,0,52,2,397,397,0.8687,0,12,33,169,288,0,1,0,190,190,0.8482,14,48,176,0,51,2,0,0,.,0,0,0,0,0,0,378,378,378,1,98,293,85,0,23,0,1194,1194,1194,1,191,546,648,0,228,0,561,710,710,668,0.9408,155,580,130,0,40,25
CA-606,600,487,348,0.58,261,339,0,62,191,409,0,210,0,235,138,0.5287,165,0,30,100,161,0,0,0,252,210,0.6195,32,91,248,0,210,0,0,0,.,0,0,0,0,0,0,521,521,506,0.9712,76,256,265,0,341,13,1679,1679,1495,0.8904,154,582,1097,0,1051,0,285,150,150,0,0,0,0,150,0,150,0
CA-607,163,163,163,1,99,64,0,33,89,74,0,0,0,99,99,1,150,14,14,41,58,0,0,0,64,64,1,19,48,16,0,0,0,0,0,.,0,0,0,0,0,0,45,45,45,1,17,45,0,0,0,0,405,405,398,0.9827,47,150,255,0,27,26,150,0,0,0,.,0,0,0,0,0,0
CA-608,834,774,751,0.9005,614,220,0,61,296,501,37,36,73,554,531,0.8648,65,0,34,193,384,37,11,38,220,220,1,27,103,117,0,25,35,0,0,.,0,0,0,0,0,0,277,277,277,1,62,223,54,0,70,0,1520,1520,1520,1,144,561,959,0,936,28,1384,0,0,0,.,0,0,0,0,0,0
CA-609,757,634,634,0.8375,387,353,17,146,452,297,8,58,9,335,335,0.8656,28,0,85,250,129,8,0,9,282,282,0.7989,61,202,151,0,41,0,17,17,1,0,0,17,0,17,0,1702,1702,1702,1,398,1522,168,12,146,12,1410,1410,1410,1,260,679,719,12,548,12,546,0,0,0,.,0,0,0,0,0,0
CA-611,372,278,178,0.4785,120,242,10,63,198,173,1,10,1,93,37,0.3083,211,3,10,49,70,1,0,1,175,131,0.5413,53,149,93,0,10,0,10,10,1,0,0,10,0,0,0,399,399,399,1,111,366,33,0,11,0,522,522,318,0.6092,64,151,371,0,160,7,202,0,0,0,.,0,0,0,0,0,0
CA-612,104,94,80,0.7692,64,40,0,23,80,24,0,0,0,54,40,0.625,0,0,10,40,24,0,0,0,40,40,1,13,40,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,137,137,137,1,20,71,66,0,8,0,103,0,0,0,.,0,0,0,0,0,0
CA-613,182,98,70,0.3846,94,88,0,51,132,50,0,0,12,70,70,0.7447,0,4,25,44,50,0,0,12,28,0,0,26,88,0,0,0,0,0,0,.,0,0,0,0,0,0,32,0,0,0,12,32,0,0,0,0,48,48,0,0,22,48,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-614,253,160,120,0.4743,181,72,0,35,140,113,0,0,13,136,100,0.5525,71,28,27,98,83,0,0,13,24,20,0.2778,8,42,30,0,0,0,0,0,.,0,0,0,0,0,0,74,74,74,1,15,43,31,0,74,0,251,251,86,0.3426,62,67,184,0,170,3,86,6,6,0,0,0,0,6,0,0,0
CO-500,1748,1332,599,0.3427,1033,715,0,916,961,787,0,44,42,668,457,0.4424,311,202,591,591,442,0,28,22,664,142,0.1986,325,370,345,0,16,20,0,0,.,0,0,0,0,0,0,284,244,244,0.8592,226,226,58,0,60,0,850,850,465,0.5471,190,190,660,0,592,0,217,30,30,30,1,0,0,30,0,0,0
CO-503,4357,3985,1701,0.3904,2208,2124,25,631,1895,2282,180,334,254,2033,521,0.236,680,350,165,576,1613,19,0,59,1952,1180,0.5556,466,1319,644,161,334,195,0,0,0,0,0,25,0,0,0,1223,1193,1143,0.9346,188,543,680,0,127,81,4571,4571,2240,0.49,413,1066,3467,38,1223,203,1406,207,151,84,0.4058,35,123,84,0,28,0
CO-504,966,943,915,0.9472,520,446,0,122,428,537,1,31,30,497,497,0.9558,0,85,27,86,433,1,21,21,446,418,0.9372,95,342,104,0,10,9,0,0,.,0,0,0,0,0,0,118,118,118,1,17,62,56,0,37,17,606,606,606,1,75,285,321,0,449,12,552,30,30,30,1,0,0,30,0,0,0
CT-503,755,698,656,0.8689,545,210,0,129,406,335,14,52,90,500,464,0.8514,42,48,77,281,250,14,0,19,198,192,0.9143,52,125,85,0,52,71,0,0,.,0,0,0,0,0,0,186,186,186,1,45,145,41,0,8,0,1781,1761,1680,0.9433,205,673,1108,0,115,24,1527,0,0,0,.,0,0,0,0,0,0
