CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
CA-516,787,715,0,0.0,483,304,0,365,376,411,0,82,31,433,0,0.0,0,0,214,220,263,0,30,9,282,0,0,151,156,148,0,52,22,0,0,.,0,0,0,0,0,0,58,58,0,0,26,26,32,0,2,0,36,36,0,0,3,6,30,0,0,0,20,51,51,0,0,39,51,0,0,29,0
CA-517,167,151,139,0.8323,102,65,0,26,85,82,0,0,10,86,86,0.8431,55,9,9,25,77,0,0,0,65,53,0.8154,17,60,5,0,0,10,0,0,.,0,0,0,0,0,0,116,100,100,0.8621,31,88,28,0,0,0,49,49,49,1,0,0,49,0,0,0,23,0,0,0,.,0,0,0,0,0,0
CA-518,339,339,219,0.646,240,99,0,16,96,243,0,12,35,240,155,0.6458,0,0,1,59,181,0,0,0,99,64,0.6465,15,37,62,0,12,35,0,0,.,0,0,0,0,0,0,88,88,88,1,6,17,71,0,32,0,382,382,126,0.3298,44,161,221,0,229,0,376,0,0,0,.,0,0,0,0,0,0
CA-519,513,471,376,0.7329,318,195,0,83,316,193,4,15,15,286,191,0.6006,0,7,54,178,140,0,0,0,185,185,0.9487,29,138,53,4,15,15,0,0,.,0,0,0,0,0,0,72,57,57,0.7917,49,70,2,0,0,0,346,346,332,0.9595,56,176,170,0,167,1,45,0,0,0,.,0,0,0,0,0,0
CA-520,360,348,225,0.625,248,112,0,64,203,157,0,8,6,236,221,0.8911,0,18,56,179,69,0,8,0,112,4,0.0357,8,24,88,0,0,6,0,0,.,0,0,0,0,0,0,46,46,46,1,0,0,46,0,0,0,163,163,78,0.4785,27,75,88,0,85,4,0,0,0,0,.,0,0,0,0,0,0
CA-521,268,233,159,0.5933,209,59,0,39,143,125,0,0,21,174,126,0.6029,55,15,30,111,98,0,0,0,59,33,0.5593,9,32,27,0,0,21,0,0,.,0,0,0,0,0,0,233,203,199,0.8541,69,205,28,0,0,0,142,142,100,0.7042,13,39,103,0,30,0,62,0,0,0,.,0,0,0,0,0,0
CA-522,396,396,186,0.4697,299,97,0,18,134,245,17,51,22,299,89,0.2977,18,0,11,90,204,5,15,5,97,97,1,7,44,41,12,36,17,0,0,.,0,0,0,0,0,0,93,93,93,1,32,76,17,0,11,0,56,56,56,1,2,10,46,0,0,0,51,0,0,0,.,0,0,0,0,0,0
CA-523,82,82,0,0.0,17,65,0,15,60,22,0,0,0,17,0,0.0,0,0,6,17,0,0,0,0,65,0,0,9,43,22,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-524,212,189,142,0.6698,212,0,0,21,104,108,0,0,0,189,142,0.6698,30,10,21,104,108,0,0,0,0,0,.,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,4,4,4,1,2,4,0,0,0,0,29,29,0,0,0,0,29,0,29,0,0,0,0,0,.,0,0,0,0,0,0
CA-525,120,75,57,0.475,56,64,0,17,76,32,12,0,12,25,25,0.4464,86,0,10,44,0,12,0,12,50,32,0.5,7,32,32,0,0,0,0,0,.,0,0,0,0,0,0,107,94,18,0.1682,34,89,18,0,0,0,5,5,0,0,0,0,5,0,5,0,0,0,0,0,.,0,0,0,0,0,0
CA-526,185,103,75,0.4054,134,51,0,33,125,60,0,12,0,76,48,0.3582,0,23,24,89,45,0,0,0,27,27,0.5294,9,36,15,0,12,0,0,0,.,0,0,0,0,0,0,141,141,141,1,28,99,42,0,9,0,46,46,15,0.3261,6,15,31,0,31,0,45,0,0,0,.,0,0,0,0,0,0
CA-527,58,18,18,0.3103,24,34,0,10,41,17,0,0,0,0,0,0.0,40,0,4,21,3,0,0,0,18,18,0.5294,6,20,14,0,0,0,0,0,.,0,0,0,0,0,0,143,61,61,0.4266,34,135,8,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-529,53,23,13,0.2453,30,23,0,9,38,15,0,0,0,0,0,0.0,24,0,8,25,5,0,0,0,23,13,0.5652,1,13,10,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-530,22,11,11,0.5,11,11,0,2,11,11,0,0,0,11,11,1.0,0,0,1,5,6,0,0,0,0,0,0,1,6,5,0,0,0,0,0,.,0,0,0,0,0,0,7,7,5,0.7143,2,5,2,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-531,179,130,113,0.6313,134,45,0,21,76,103,0,0,1,101,101,0.7537,49,0,20,68,66,0,0,0,29,12,0.2667,1,8,37,0,0,1,0,0,.,0,0,0,0,0,0,34,34,34,1,2,7,27,0,1,0,22,22,22,1,1,2,20,0,0,0,22,0,0,0,.,0,0,0,0,0,0
CA-600,14501,13319,8194,0.5651,10967,3406,128,2393,7482,6980,39,750,1068,10167,6490,0.5918,1146,0,1941,6209,4719,39,175,344,3024,1576,0.4627,452,1273,2133,0,472,724,128,128,1,0,0,128,0,103,0,6924,6749,6749,0.9747,1294,4665,2259,0,247,256,20219,20002,13057,0.6458,1588,5343,14876,0,6071,242,6655,1744,1741,1102,0.6319,280,820,924,0,20,33
CA-601,3930,3550,3277,0.8338,1986,1873,71,422,1382,2530,18,519,158,1931,1927,0.9703,144,8,161,564,1404,18,16,22,1548,1279,0.6829,261,818,1055,0,463,136,71,71,1,0,0,71,0,40,0,1525,1347,1305,0.8557,306,1044,481,0,235,51,4177,4177,4177,1,298,963,3214,0,2165,62,597,842,842,842,1,75,212,630,0,56,16
CA-602,3094,2788,2030,0.6561,1989,1105,0,442,1390,1690,14,26,14,1771,1381,0.6943,400,128,170,574,1401,14,0,14,1017,649,0.5873,272,816,289,0,26,0,0,0,.,0,0,0,0,0,0,774,703,703,0.9083,149,615,159,0,108,0,2243,2243,2187,0.975,213,518,1725,0,971,14,545,108,108,108,1,8,16,92,0,0,0
CA-603,769,648,543,0.7061,552,217,0,54,374,382,13,29,14,476,437,0.7917,0,20,30,225,314,13,10,14,172,106,0.4885,24,149,68,0,19,0,0,0,.,0,0,0,0,0,0,127,127,100,0.7874,36,92,35,0,41,0,665,665,279,0.4195,37,150,515,0,261,12,281,297,297,20,0.0673,75,267,30,0,0,0
CA-604,650,532,523,0.8046,465,185,0,66,266,384,0,59,3,363,363,0.7806,0,10,44,211,254,0,0,0,169,160,0.8649,22,55,130,0,59,3,0,0,.,0,0,0,0,0,0,577,577,577,1,86,412,165,0,97,8,2308,2308,1798,0.779,408,1389,919,0,333,40,407,9,9,9,1,3,7,2,0,9,4
CA-606,622,506,331,0.5322,261,361,0,65,195,427,0,232,0,232,115,0.4406,150,0,35,104,157,0,0,0,274,216,0.5983,30,91,270,0,232,0,0,0,.,0,0,0,0,0,0,360,317,317,0.8806,51,175,185,0,178,10,1318,1318,1264,0.959,101,367,951,0,921,0,214,484,484,244,0.5041,53,215,269,0,240,0
CA-607,177,177,177,1.0,126,51,0,33,89,88,0,0,19,126,126,1.0,150,16,14,41,85,0,0,19,51,51,1,19,48,3,0,0,0,0,0,.,0,0,0,0,0,0,17,17,17,1,0,0,17,0,0,0,422,422,405,0.9597,43,137,285,0,17,6,68,0,0,0,.,0,0,0,0,0,0
CA-608,823,743,693,0.842,770,53,0,77,338,448,37,31,65,690,640,0.8312,65,4,75,334,399,37,6,37,53,53,1,2,4,49,0,25,28,0,0,.,0,0,0,0,0,0,235,235,235,1,38,156,79,0,22,0,1703,1703,1703,1,116,414,1289,0,975,14,879,0,0,0,.,0,0,0,0,0,0
CA-609,703,540,455,0.6472,433,246,24,122,397,301,5,29,5,355,270,0.6236,17,0,80,252,176,5,0,5,161,161,0.6545,42,145,101,0,5,0,24,24,1,0,0,24,0,24,0,1779,1779,1779,1,516,1569,210,0,185,0,1528,1528,1528,1,210,695,833,0,712,3,652,0,0,0,.,0,0,0,0,0,0
CA-611,386,258,178,0.4611,182,190,14,74,241,145,0,10,18,145,65,0.3571,85,0,21,83,99,0,0,18,99,99,0.5211,53,158,32,0,10,0,14,14,1,0,0,14,0,0,0,644,644,644,1,128,507,137,0,33,0,629,629,466,0.7409,65,151,478,0,198,8,544,0,0,0,.,0,0,0,0,0,0
CA-612,110,100,100,0.9091,55,55,0,24,110,0,0,0,0,45,45,0.8182,0,0,6,55,0,0,0,0,55,55,1,18,55,0,0,0,0,0,0,.,0,0,0,0,0,0,13,13,13,1,4,13,0,0,0,0,192,192,128,0.6667,17,60,115,17,39,17,105,0,0,0,.,0,0,0,0,0,0
CA-613,248,183,70,0.2823,94,154,0,46,113,135,0,0,0,70,70,0.7447,0,14,25,44,50,0,0,0,113,0,0,21,69,85,0,0,0,0,0,.,0,0,0,0,0,0,467,433,433,0.9272,136,456,11,0,13,0,48,48,0,0,22,48,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-614,226,164,50,0.2212,197,29,0,20,125,101,0,0,0,160,50,0.2538,147,43,10,100,97,0,0,0,4,0,0,10,25,4,0,0,0,0,0,.,0,0,0,0,0,0,33,33,33,1,6,20,13,0,33,0,346,346,117,0.3382,64,66,280,0,223,10,123,4,4,4,1,0,0,4,0,0,0
CO-500,1730,1383,615,0.3555,1001,729,0,863,903,827,0,64,44,687,373,0.3726,309,208,469,499,502,0,24,12,696,242,0.332,394,404,325,0,40,32,0,0,.,0,0,0,0,0,0,255,221,192,0.7529,109,214,28,13,25,14,1069,1056,760,0.7109,286,294,775,0,602,5,279,27,27,27,1,0,0,27,0,0,0
CO-503,5206,5022,2144,0.4118,2986,2157,63,464,1882,3300,24,286,98,2827,743,0.2488,417,139,135,502,2470,14,0,54,2157,1363,0.6319,329,1380,767,10,248,44,38,38,0.6032,0,0,63,0,38,0,785,757,785,1,122,555,230,0,131,39,3167,3167,1987,0.6274,153,339,2765,63,1076,63,2960,604,604,274,0.4536,18,41,563,0,25,0
CO-504,1260,1226,1004,0.7968,809,451,0,124,442,818,0,44,40,775,775,0.958,0,31,28,159,650,0,13,20,451,229,0.5078,96,283,168,0,31,20,0,0,.,0,0,0,0,0,0,97,97,97,1,11,40,57,0,54,3,626,626,626,1,79,294,332,0,427,27,577,31,31,31,1,0,0,31,0,0,0
