CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
AK-500,1033,961,855,0.8277,799,234,0,92,396,629,8,0,112,745,649,0.8123,119,16,46,236,555,8,0,60,216,206,0.8803,46,160,74,0,0,52,0,0,.,0,0,0,0,0,0,171,171,171,1,24,90,81,0,16,0,601,601,341,0.5674,57,155,446,0,236,0,288,71,71,71,1,0,0,71,0,0,0
AK-501,845,525,478,0.5657,575,270,0,119,281,540,24,15,48,318,286,0.4974,75,25,83,184,373,18,0,20,207,192,0.7111,36,97,167,6,15,28,0,0,.,0,0,0,0,0,0,67,66,66,0.9851,12,45,22,0,9,0,386,386,164,0.4249,37,131,255,0,222,0,135,0,0,0,.,0,0,0,0,0,0
AL-500,827,727,580,0.7013,516,277,34,95,279,536,12,74,32,430,386,0.7481,0,40,59,182,322,12,74,12,263,160,0.5776,36,97,180,0,0,20,34,34,1,0,0,34,0,0,0,106,106,106,1,23,59,47,0,29,7,1740,1740,1260,0.7241,164,484,1256,0,545,0,210,0,0,0,.,0,0,0,0,0,0
AL-501,394,311,291,0.7386,261,133,0,58,200,194,0,38,0,208,190,0.728,0,3,33,121,140,0,0,0,103,101,0.7594,25,79,54,0,38,0,0,0,.,0,0,0,0,0,0,31,31,31,1,6,16,15,0,4,0,240,240,190,0.7917,11,27,213,0,50,0,94,0,0,0,.,0,0,0,0,0,0
AL-502,189,121,0,0.0,106,83,0,18,64,109,16,0,16,66,0,0.0,0,0,11,39,67,0,0,0,55,0,0,7,25,42,16,0,16,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,42,42,0,0,0,0,42,0,0,0,0,8,8,0,0,0,0,8,0,0,0
AL-503,551,489,182,0.3303,517,34,0,52,195,340,16,0,23,467,160,0.3095,46,2,41,177,324,16,0,16,22,22,0.6471,11,18,16,0,0,7,0,0,.,0,0,0,0,0,0,32,32,32,1,5,13,19,0,24,0,298,298,70,0.2349,16,56,242,0,228,0,288,0,0,0,.,0,0,0,0,0,0
AL-504,356,296,296,0.8315,226,130,0,43,126,230,0,33,0,220,220,0.9735,0,0,16,47,179,0,33,0,76,76,0.5846,27,79,51,0,0,0,0,0,.,0,0,0,0,0,0,39,39,39,1,13,35,4,0,14,0,465,465,242,0.5204,52,163,302,0,223,0,87,0,0,0,.,0,0,0,0,0,0
AL-505,115,79,65,0.5652,98,17,0,13,29,86,0,0,0,71,57,0.5816,0,0,9,25,73,0,0,0,8,8,0.4706,4,4,13,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,10,10,10,1,2,5,5,0,0,0,4,0,0,0,.,0,0,0,0,0,0
AL-506,99,83,83,0.8384,91,8,0,15,25,74,0,8,14,75,75,0.8242,0,0,15,25,66,0,0,14,8,8,1,0,0,8,0,8,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,294,294,27,0.0918,37,64,230,0,267,0,267,0,0,0,.,0,0,0,0,0,0
AL-507,170,98,37,0.2176,122,48,0,25,64,100,6,5,53,50,0,0.0,0,1,23,57,65,0,5,23,48,37,0.7708,2,7,35,6,0,30,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,77,77,77,1,4,12,65,0,10,4,3,0,0,0,.,0,0,0,0,0,0
AR-500,714,525,325,0.4552,476,238,0,81,255,459,0,75,23,337,171,0.3592,0,120,56,188,288,0,31,0,188,154,0.6471,25,67,171,0,44,23,0,0,.,0,0,0,0,0,0,162,162,162,1,15,47,115,0,49,0,964,964,551,0.5716,107,293,671,0,413,0,0,0,0,0,.,0,0,0,0,0,0
AR-501,251,156,127,0.506,201,50,0,32,114,137,0,16,31,106,90,0.4478,20,63,26,95,106,0,16,18,50,37,0.74,6,19,31,0,0,13,0,0,.,0,0,0,0,0,0,44,44,44,1,0,0,44,0,0,0,196,196,71,0.3622,149,188,8,0,125,0,178,0,0,0,.,0,0,0,0,0,0
AR-503,515,350,237,0.4602,434,81,0,55,238,277,0,0,0,269,181,0.4171,0,0,45,203,231,0,0,0,81,56,0.6914,10,35,46,0,0,0,0,0,.,0,0,0,0,0,0,94,94,94,1,20,62,32,0,0,0,15,15,15,1,0,0,15,0,0,0,15,0,0,0,.,0,0,0,0,0,0
AR-505,199,95,0,0.0,187,12,0,31,83,92,24,0,24,95,0,0.0,0,0,23,75,88,24,0,24,0,0,0,8,8,4,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,16,16,0,0,4,4,12,0,0,0,16,0,0,0,.,0,0,0,0,0,0
AR-508,238,198,0,0.0,199,39,0,43,118,120,0,15,0,159,0,0.0,0,15,37,94,105,0,0,0,39,0,0,6,24,15,0,15,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AZ-500,1163,712,621,0.534,902,261,0,75,441,712,10,88,10,528,461,0.5111,7,19,41,332,560,10,16,10,184,160,0.613,34,109,152,0,72,0,0,0,.,0,0,0,0,0,0,628,628,628,1,119,414,214,0,105,0,1187,1187,887,0.7473,148,444,743,0,667,0,507,0,0,0,.,0,0,0,0,0,0
AZ-501,1230,1117,1117,0.9081,767,448,15,153,488,738,4,176,80,674,674,0.8787,129,33,84,271,492,4,56,14,428,428,0.9554,69,217,231,0,120,66,15,15,1,0,0,15,0,0,0,547,545,545,0.9963,105,402,145,0,47,25,1725,1725,881,0.5107,139,473,1252,0,844,28,174,0,0,0,.,0,0,0,0,0,0
AZ-502,4175,3448,2911,0.6972,2118,2004,53,660,2183,1960,32,359,107,1713,1559,0.7361,0,109,301,1033,1061,24,35,55,1682,1299,0.6482,359,1150,846,8,271,52,53,53,1,0,0,53,0,53,0,1337,1274,1337,1,247,875,462,0,318,46,6326,6326,6326,1,472,1605,4721,0,1071,24,1377,315,315,315,1,59,254,61,0,29,10
CA-500,1764,1687,1687,0.9563,900,844,20,199,657,1099,8,211,102,837,837,0.93,335,175,74,236,656,8,74,8,830,830,0.9834,125,421,423,0,117,94,20,20,1,0,0,20,0,20,0,1284,1172,1172,0.9128,331,1068,216,0,82,54,3276,3085,1915,0.5846,432,1336,1940,0,1036,62,1744,0,0,0,.,0,0,0,0,0,0
CA-501,3403,3248,1874,0.5507,2631,752,20,332,898,2499,6,373,326,2550,1382,0.5253,65,25,204,496,2129,6,288,107,678,492,0.6543,128,402,350,0,65,219,20,0,0,0,0,20,0,20,0,664,664,146,0.2199,183,183,481,0,47,54,10797,10797,7908,0.7324,753,2205,8592,0,1745,124,9667,0,0,0,.,0,0,0,0,0,0
CA-502,1757,1559,1380,0.7854,1160,565,32,145,536,1203,18,150,167,974,845,0.7284,158,9,89,372,770,18,30,66,553,503,0.8903,56,164,401,0,88,101,32,32,1,0,0,32,0,32,0,606,606,606,1,95,302,304,0,68,10,3353,3351,2515,0.7501,444,1162,2191,0,663,83,645,0,0,0,.,0,0,0,0,0,0
CA-503,1626,1528,1349,0.8296,944,682,0,228,742,884,0,149,170,864,778,0.8242,325,2,115,439,505,0,40,32,664,571,0.8372,113,303,379,0,109,138,0,0,.,0,0,0,0,0,0,743,743,743,1,188,623,118,2,148,52,3266,3266,2639,0.808,432,1361,1905,0,677,25,2572,533,533,8,0.015,125,250,283,0,8,0
CA-504,974,946,809,0.8306,699,275,0,65,262,706,6,35,42,671,627,0.897,252,30,47,197,496,6,23,30,275,182,0.6618,18,65,210,0,12,12,0,0,.,0,0,0,0,0,0,495,495,495,1,146,303,192,0,27,6,764,764,307,0.4018,67,186,578,0,423,36,396,318,318,169,0.5314,67,208,110,0,0,23
CA-505,660,614,614,0.9303,474,186,0,60,201,459,0,29,29,450,450,0.9494,78,21,45,159,315,0,13,15,164,164,0.8817,15,42,144,0,16,14,0,0,.,0,0,0,0,0,0,126,126,126,1,40,109,17,0,39,0,1111,1111,1111,1,246,646,465,0,266,13,477,0,0,0,.,0,0,0,0,0,0
CA-506,827,787,595,0.7195,328,499,0,127,424,403,0,83,30,288,144,0.439,147,0,22,86,242,0,10,30,499,451,0.9038,105,338,161,0,73,0,0,0,.,0,0,0,0,0,0,170,170,170,1,41,133,37,0,24,0,271,271,63,0.2325,19,53,218,0,199,0,234,0,0,0,.,0,0,0,0,0,0
CA-507,403,323,323,0.8015,204,199,0,63,214,187,2,16,2,174,174,0.8529,0,0,10,55,149,0,0,0,149,149,0.7487,53,159,38,2,16,2,0,0,.,0,0,0,0,0,0,92,92,92,1,4,10,82,0,0,0,436,436,428,0.9817,31,102,334,0,64,0,186,119,119,49,0.4118,16,43,76,0,0,0
CA-508,461,443,362,0.7852,279,182,0,83,256,205,0,12,28,261,214,0.767,160,0,53,158,121,0,12,0,182,148,0.8132,30,98,84,0,0,28,0,0,.,0,0,0,0,0,0,204,204,204,1,43,138,66,0,55,3,571,571,245,0.4291,44,119,452,0,303,4,554,0,0,0,.,0,0,0,0,0,0
CA-509,330,275,88,0.2667,104,226,0,41,234,96,0,0,21,90,26,0.25,20,0,6,104,0,0,0,6,185,62,0.2743,35,130,96,0,0,15,0,0,.,0,0,0,0,0,0,20,20,0,0,1,20,0,0,0,0,244,244,244,1,65,109,135,0,108,0,0,0,0,0,.,0,0,0,0,0,0
CA-510,814,799,747,0.9177,600,214,0,84,263,529,22,16,38,585,533,0.8883,133,0,67,221,357,22,0,22,214,214,1,17,42,172,0,16,16,0,0,.,0,0,0,0,0,0,98,98,98,1,24,85,13,0,15,0,610,610,378,0.6197,78,244,366,0,251,0,576,0,0,0,.,0,0,0,0,0,0
CA-511,1229,1162,1086,0.8836,883,346,0,157,652,567,10,46,18,816,816,0.9241,0,61,119,502,371,10,6,10,346,270,0.7803,38,150,196,0,40,8,0,0,.,0,0,0,0,0,0,262,262,262,1,82,243,19,0,1,0,769,769,769,1,84,257,512,0,384,37,230,0,0,0,.,0,0,0,0,0,0
CA-512,681,633,633,0.9295,333,348,0,115,384,293,4,53,14,305,305,0.9159,0,4,30,113,216,4,53,4,328,328,0.9425,85,271,77,0,0,10,0,0,.,0,0,0,0,0,0,239,225,225,0.9414,61,220,19,0,3,0,1054,1054,882,0.8368,87,343,711,0,218,0,377,34,0,0,0,14,30,4,0,0,0
CA-513,405,293,293,0.7235,234,171,0,22,153,252,0,0,20,170,170,0.7265,0,0,10,105,129,0,0,0,123,123,0.7193,12,48,123,0,0,20,0,0,.,0,0,0,0,0,0,105,105,105,1,11,34,71,0,71,0,260,260,180,0.6923,29,103,157,0,80,0,158,0,0,0,.,0,0,0,0,0,0
CA-514,525,364,171,0.3257,411,114,0,75,233,282,10,85,30,297,104,0.253,0,0,59,186,215,10,41,26,67,67,0.5877,16,47,67,0,44,4,0,0,.,0,0,0,0,0,0,534,331,331,0.6199,139,468,66,0,26,0,1353,1353,667,0.493,156,536,817,0,752,0,873,44,44,44,1,2,7,37,0,44,0
CA-515,467,341,322,0.6895,250,217,0,62,309,158,0,0,8,200,185,0.74,0,0,16,136,114,0,0,0,141,137,0.6313,46,173,44,0,0,8,0,0,.,0,0,0,0,0,0,182,153,153,0.8407,52,162,20,0,13,0,188,188,157,0.8351,9,22,166,0,31,0,136,108,108,108,1,17,68,40,0,0,0
