CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non_DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non_DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
OR-502,270,258,135,0.5,124,146,0,44,87,183,0,112,16,0.129,32,0,34,49,75,0,146,119,0.8151,10,38,108,0,0,0,.,0,0,0,0,38,38,38,1,5,16,22,0,38,38,38,1,5,16,22,0,0,0,0,.,0,0,0,0,471,471,179,0.38,180,262,209,0,0,0,0,.,0,0,0,0
OR-503,267,243,153,0.573,208,59,0,21,62,191,14,184,123,0.5913,12,3,19,58,148,2,59,30,0.5085,2,4,43,12,0,0,.,0,0,0,0,155,155,155,1,59,155,0,0,155,155,155,1,59,155,0,0,0,0,0,.,0,0,0,0,110,110,23,0.2091,11,23,87,0,0,0,0,.,0,0,0,0
OR-505,2465,2202,585,0.2373,1351,1114,0,425,1005,1411,49,1183,205,0.1517,23,94,207,482,843,26,1019,380,0.3411,218,523,568,23,0,0,.,0,0,0,0,605,605,601,0.9934,120,424,181,0,605,605,601,0.9934,120,424,181,0,0,0,0,.,0,0,0,0,473,473,368,0.778,95,243,227,3,122,122,122,1,26,93,29,0
OR-506,244,210,204,0.8361,96,138,10,40,141,101,2,72,72,0.75,0,0,23,89,5,2,128,122,0.8841,17,52,86,0,10,10,1,0,0,10,0,185,185,185,1,44,149,36,0,185,185,185,1,44,149,36,0,0,0,0,.,0,0,0,0,452,452,452,1,32,96,356,0,0,0,0,.,0,0,0,0
OR-507,130,97,97,0.7462,44,86,0,40,113,17,0,16,16,0.3636,0,99,14,40,4,0,81,81,0.9419,26,73,13,0,0,0,.,0,0,0,0,76,76,76,1,21,65,11,0,76,76,76,1,21,65,11,0,0,0,0,.,0,0,0,0,272,265,265,0.9743,44,138,134,0,0,0,0,.,0,0,0,0
PA-500,5758,5451,4442,0.7714,3768,1905,85,923,2932,2801,25,3568,2711,0.7195,312,94,450,1562,2181,25,1798,1646,0.864,473,1370,535,0,85,85,1,0,0,85,0,759,759,676,0.8906,118,425,334,0,759,759,676,0.8906,118,425,334,0,0,0,0,.,0,0,0,0,5146,5146,4340,0.8434,710,2547,2599,0,900,900,900,1,300,900,0,0
PA-501,459,435,291,0.634,213,221,25,101,248,211,0,197,85,0.3991,33,15,28,84,129,0,213,181,0.819,73,164,57,0,25,25,1,0,0,25,0,46,46,46,1,15,30,16,0,46,46,46,1,15,30,16,0,0,0,0,.,0,0,0,0,148,148,97,0.6554,22,34,114,0,20,20,20,1,0,0,20,0
PA-502,400,384,325,0.8125,295,105,0,75,175,225,0,279,243,0.8237,12,10,42,114,181,0,105,82,0.781,33,61,44,0,0,0,.,0,0,0,0,190,190,190,1,51,150,40,0,190,190,190,1,51,150,40,0,0,0,0,.,0,0,0,0,377,377,321,0.8515,51,133,244,0,0,0,0,.,0,0,0,0
PA-503,205,145,145,0.7073,87,118,0,32,89,112,4,63,63,0.7241,0,52,9,24,59,4,82,82,0.6949,23,65,53,0,0,0,.,0,0,0,0,52,52,52,1,10,32,20,0,52,52,52,1,10,32,20,0,0,0,0,.,0,0,0,0,319,319,257,0.8056,62,183,136,0,0,0,0,.,0,0,0,0
PA-504,359,326,312,0.8691,189,170,0,76,277,82,0,169,155,0.8201,74,17,34,126,63,0,157,157,0.9235,42,151,19,0,0,0,.,0,0,0,0,366,291,227,0.6202,82,283,83,0,366,291,227,0.6202,82,283,83,0,0,0,0,.,0,0,0,0,213,206,206,0.9671,22,74,139,0,0,0,0,.,0,0,0,0
PA-505,1041,929,911,0.8751,615,426,0,156,569,472,0,589,589,0.9577,12,0,107,413,202,0,340,322,0.7559,49,156,270,0,0,0,.,0,0,0,0,624,624,624,1,154,484,140,0,624,624,624,1,154,484,140,0,0,0,0,.,0,0,0,0,686,686,664,0.9679,75,194,492,0,0,0,0,.,0,0,0,0
PA-506,558,444,436,0.7814,233,325,0,77,242,316,0,183,183,0.7854,90,0,20,76,157,0,261,253,0.7785,57,166,159,0,0,0,.,0,0,0,0,17,17,17,1,1,4,13,0,17,17,17,1,1,4,13,0,0,0,0,.,0,0,0,0,339,339,297,0.8761,55,183,156,0,59,59,59,1,0,0,59,0
PA-508,200,179,179,0.895,54,142,4,32,106,92,2,50,50,0.9259,28,7,5,25,29,0,125,125,0.8803,27,81,59,2,4,4,1,0,0,4,0,30,29,29,0.9667,11,27,3,0,30,29,29,0.9667,11,27,3,0,0,0,0,.,0,0,0,0,226,226,153,0.677,37,139,87,0,0,0,0,.,0,0,0,0
PA-509,2322,1855,1153,0.4966,1218,1104,0,451,1408,885,29,868,386,0.3169,208,36,196,686,506,26,987,767,0.6947,255,722,379,3,0,0,.,0,0,0,0,284,284,284,1,53,167,117,0,284,284,284,1,53,167,117,0,0,0,0,.,0,0,0,0,1450,1450,993,0.6848,192,621,829,0,0,0,0,.,0,0,0,0
PA-510,440,383,378,0.8591,196,244,0,93,270,170,0,158,158,0.8061,40,24,35,120,76,0,225,220,0.9016,58,150,94,0,0,0,.,0,0,0,0,22,22,22,1,7,22,0,0,22,22,22,1,7,22,0,0,0,0,0,.,0,0,0,0,178,178,178,1,16,52,126,0,0,0,0,.,0,0,0,0
PA-511,491,472,441,0.8982,124,367,0,119,410,78,3,110,84,0.6774,77,0,10,85,36,3,362,357,0.9728,109,325,42,0,0,0,.,0,0,0,0,85,85,79,0.9294,18,61,24,0,85,85,79,0.9294,18,61,24,0,0,0,0,.,0,0,0,0,113,113,97,0.8584,9,28,85,0,0,0,0,.,0,0,0,0
PA-512,374,279,279,0.746,196,178,0,53,187,187,0,157,157,0.801,0,19,27,88,108,0,122,122,0.6854,26,99,79,0,0,0,.,0,0,0,0,81,81,81,1,21,70,11,0,81,81,81,1,21,70,11,0,0,0,0,.,0,0,0,0,233,233,200,0.8584,13,51,182,0,0,0,0,.,0,0,0,0
PA-600,1253,1122,1103,0.8803,444,752,57,193,524,729,0,365,346,0.7793,122,0,77,233,211,0,700,700,0.9309,116,291,461,0,57,57,1,0,0,57,0,300,300,300,1,87,233,67,0,232,232,232,1,66,165,67,0,68,68,68,1,21,68,0,0,2005,2005,1566,0.781,463,1312,693,0,40,40,40,1,0,0,40,0
PA-601,1253,909,602,0.4804,677,535,41,201,599,647,7,435,210,0.3102,22,31,90,276,401,0,433,351,0.6561,111,323,205,7,41,41,1,0,0,41,0,408,408,408,1,54,190,218,0,408,408,408,1,54,190,218,0,0,0,0,.,0,0,0,0,1030,950,773,0.7505,144,435,595,0,0,0,0,.,0,0,0,0
PA-603,144,110,110,0.7639,84,60,0,25,84,60,0,60,60,0.7143,0,0,15,53,31,0,50,50,0.8333,10,31,29,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,170,170,170,1,41,103,67,0,0,0,0,.,0,0,0,0
PA-605,425,368,368,0.8659,237,188,0,77,218,207,0,180,180,0.7595,65,0,28,101,136,0,188,188,1,49,117,71,0,0,0,.,0,0,0,0,2,2,2,1,0,0,2,0,2,2,2,1,0,0,2,0,0,0,0,.,0,0,0,0,426,426,298,0.6995,75,244,182,0,96,96,96,1,0,0,96,0
PR-502,1201,942,941,0.7835,308,871,22,121,385,816,0,210,210,0.6818,0,0,22,83,225,0,710,709,0.814,99,302,569,0,22,22,1,0,0,22,0,28,28,28,1,5,17,11,0,28,28,28,1,5,17,11,0,0,0,0,.,0,0,0,0,1232,1206,1204,0.9773,122,317,915,0,255,255,255,1,0,0,255,0
PR-503,799,623,617,0.7722,337,407,55,94,274,507,18,291,291,0.8635,0,0,9,48,271,18,277,271,0.6658,85,226,181,0,55,55,1,0,0,55,0,45,45,36,0.8,3,13,32,0,45,45,36,0.8,3,13,32,0,0,0,0,.,0,0,0,0,574,487,402,0.7003,72,198,376,0,30,30,30,1,3,9,21,0
RI-500,1122,963,810,0.7219,703,419,0,200,511,610,1,619,499,0.7098,152,21,84,243,459,1,344,311,0.7422,116,268,151,0,0,0,.,0,0,0,0,308,308,308,1,44,106,202,0,308,308,308,1,44,106,202,0,0,0,0,.,0,0,0,0,1452,1444,1236,0.8512,178,576,876,0,344,344,344,1,99,201,143,0
SC-500,375,321,267,0.712,181,194,0,55,124,251,0,145,139,0.768,46,0,43,96,85,0,176,128,0.6598,12,28,166,0,0,0,.,0,0,0,0,85,67,67,0.7882,30,58,27,0,85,67,67,0.7882,30,58,27,0,0,0,0,.,0,0,0,0,351,351,118,0.3362,19,38,313,0,0,0,0,.,0,0,0,0
SC-501,1655,1446,711,0.4296,820,823,12,142,777,867,11,627,225,0.2744,162,41,28,421,399,0,807,474,0.5759,114,356,456,11,12,12,1,0,0,12,0,173,173,173,1,31,101,72,0,173,173,173,1,31,101,72,0,0,0,0,.,0,0,0,0,356,356,233,0.6545,30,60,296,0,0,0,0,.,0,0,0,0
SC-502,1139,997,791,0.6945,504,635,0,141,400,735,4,377,331,0.6567,289,40,47,157,343,4,620,460,0.7244,94,243,392,0,0,0,.,0,0,0,0,53,53,48,0.9057,9,27,26,0,53,53,48,0.9057,9,27,26,0,0,0,0,.,0,0,0,0,881,808,808,0.9171,229,429,452,0,124,124,29,0.2339,25,95,29,0
SC-503,552,501,329,0.596,250,302,0,55,184,347,21,215,111,0.444,10,36,24,83,158,9,286,218,0.7219,31,101,189,12,0,0,.,0,0,0,0,231,231,231,1,25,93,138,0,231,231,231,1,25,93,138,0,0,0,0,.,0,0,0,0,590,590,590,1,58,204,386,0,0,0,0,.,0,0,0,0
SD-500,1157,831,443,0.3829,813,344,0,286,657,483,17,487,209,0.2571,14,133,169,452,357,4,344,234,0.6802,117,205,126,13,0,0,.,0,0,0,0,33,23,23,0.697,19,24,9,0,33,23,23,0.697,19,24,9,0,0,0,0,.,0,0,0,0,618,618,465,0.7524,161,304,314,0,0,0,0,.,0,0,0,0
TN-500,346,277,243,0.7023,216,130,0,66,193,153,0,179,169,0.7824,160,36,28,91,125,0,98,74,0.5692,38,102,28,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,579,560,467,0.8066,109,395,184,0,0,0,0,.,0,0,0,0
TN-501,1552,1496,1446,0.9317,535,1017,0,188,663,881,8,508,483,0.9028,54,206,46,182,345,8,988,963,0.9469,142,481,536,0,0,0,.,0,0,0,0,871,871,871,1,196,770,101,0,871,871,871,1,196,770,101,0,0,0,0,.,0,0,0,0,1321,1321,846,0.6404,128,521,800,0,0,0,0,.,0,0,0,0
TN-502,791,755,677,0.8559,458,333,0,31,95,696,0,438,434,0.9476,0,1,19,56,402,0,317,243,0.7297,12,39,294,0,0,0,.,0,0,0,0,100,100,97,0.97,21,61,39,0,100,100,97,0.97,21,61,39,0,0,0,0,.,0,0,0,0,439,439,274,0.6241,36,88,351,0,3,0,0,0,1,2,1,0
TN-503,346,235,235,0.6792,205,141,0,12,148,198,0,108,108,0.5268,25,0,10,142,63,0,127,127,0.9007,2,6,135,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,152,152,152,1,16,39,113,0,0,0,0,.,0,0,0,0
TN-504,2166,2069,511,0.2359,1596,570,0,104,322,1817,27,1521,94,0.0589,47,21,55,173,1396,27,548,417,0.7316,49,149,421,0,0,0,.,0,0,0,0,74,54,52,0.7027,24,61,13,0,74,54,52,0.7027,24,61,13,0,0,0,0,.,0,0,0,0,1286,1286,788,0.6128,565,784,502,0,18,18,18,1,0,0,18,0
TN-506,341,257,149,0.437,268,73,0,48,154,187,0,203,115,0.4291,16,13,18,97,171,0,54,34,0.4658,30,57,16,0,0,0,.,0,0,0,0,112,112,112,1,25,80,32,0,112,112,112,1,25,80,32,0,0,0,0,.,0,0,0,0,119,119,119,1,31,72,47,0,21,21,0,0,7,21,0,0
TN-507,203,166,120,0.5911,135,60,8,36,113,90,0,113,67,0.4963,0,1,27,78,57,0,45,45,0.75,9,35,25,0,8,8,1,0,0,8,0,57,57,55,0.9649,9,33,24,0,57,57,55,0.9649,9,33,24,0,0,0,0,.,0,0,0,0,340,331,306,0.9,55,170,170,0,0,0,0,.,0,0,0,0
TN-509,508,436,214,0.4213,363,145,0,24,176,330,2,291,124,0.3416,28,58,12,131,230,2,145,90,0.6207,12,45,100,0,0,0,.,0,0,0,0,66,66,66,1,6,17,49,0,66,66,66,1,6,17,49,0,0,0,0,.,0,0,0,0,540,500,324,0.6,49,162,378,0,0,0,0,.,0,0,0,0
TN-510,261,222,126,0.4828,204,57,0,22,82,179,0,165,114,0.5588,25,0,20,70,134,0,57,12,0.2105,2,12,45,0,0,0,.,0,0,0,0,5,5,5,1,0,0,5,0,5,5,5,1,0,0,5,0,0,0,0,.,0,0,0,0,189,187,111,0.5873,38,109,80,0,0,0,0,.,0,0,0,0
TN-512,465,365,124,0.2667,339,126,0,152,341,124,0,255,108,0.3186,15,1,140,289,50,0,110,16,0.127,12,52,74,0,0,0,.,0,0,0,0,109,91,91,0.8349,40,88,21,0,109,91,91,0.8349,40,88,21,0,0,0,0,.,0,0,0,0,37,37,37,1,22,37,0,0,0,0,0,.,0,0,0,0
TX-500,2250,2066,2026,0.9004,1433,795,22,283,1143,1092,15,1319,1319,0.9204,0,20,126,629,789,15,725,685,0.8616,157,514,281,0,22,22,1,0,0,22,0,349,349,345,0.9885,61,212,137,0,349,349,345,0.9885,61,212,137,0,0,0,0,.,0,0,0,0,1410,1410,1410,1,181,584,826,0,1098,1098,1098,1,194,683,415,0
TX-503,1271,1001,969,0.7624,849,406,16,194,612,649,10,743,743,0.8751,0,38,82,274,565,10,242,210,0.5172,112,338,68,0,16,16,1,0,0,16,0,201,201,201,1,28,94,107,0,153,153,153,1,12,46,107,0,48,48,48,1,16,48,0,0,1248,1232,1066,0.8542,102,345,903,0,102,102,102,1,34,102,0,0
TX-600,3698,3094,934,0.2526,2365,1308,25,473,1798,1870,30,2060,395,0.167,0,154,177,798,1537,30,1009,514,0.393,296,1000,308,0,25,25,1,0,0,25,0,252,251,251,0.996,59,178,72,2,252,251,251,0.996,59,178,72,2,0,0,0,.,0,0,0,0,2138,2138,1323,0.6188,320,675,1463,0,1044,1044,1044,1,270,754,290,0
TX-601,1793,1527,1171,0.6531,1328,445,20,190,719,1058,16,1164,808,0.6084,42,152,101,436,876,16,343,343,0.7708,89,283,162,0,20,20,1,0,0,20,0,789,722,722,0.9151,163,518,271,0,789,722,722,0.9151,163,518,271,0,0,0,0,.,0,0,0,0,1717,1695,1378,0.8026,230,598,1119,0,190,190,187,0.9842,41,96,94,0
TX-603,1291,1190,774,0.5995,749,522,20,159,624,660,7,663,412,0.5501,0,45,41,237,505,7,507,362,0.6935,118,387,135,0,20,0,0,0,0,20,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,76,76,76,1,4,12,64,0,0,0,0,.,0,0,0,0
TX-604,238,165,150,0.6303,123,112,3,38,134,104,0,68,68,0.5528,0,25,17,56,67,0,94,82,0.7321,21,78,34,0,3,0,0,0,0,3,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,103,90,30,0.2913,5,9,94,0,0,0,0,.,0,0,0,0
TX-607,5076,3193,1892,0.3727,3760,1316,0,764,2762,2270,44,2358,1372,0.3649,0,177,445,1711,2011,38,835,520,0.3951,319,1051,259,6,0,0,.,0,0,0,0,554,266,156,0.2816,112,442,112,0,554,266,156,0.2816,112,442,112,0,0,0,0,.,0,0,0,0,1045,1045,288,0.2756,134,369,676,0,0,0,0,.,0,0,0,0
TX-611,612,588,588,0.9608,543,69,0,72,261,351,0,519,519,0.9558,0,21,54,199,344,0,69,69,1,18,62,7,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,150,150,150,1,94,109,41,0,0,0,0,.,0,0,0,0
TX-624,438,349,313,0.7146,402,36,0,10,160,244,34,313,277,0.6891,0,0,9,144,224,34,36,36,1,1,16,20,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,20,20,20,1,0,0,20,0,0,0,0,.,0,0,0,0
TX-700,3401,2906,2884,0.848,1613,1788,0,319,1234,2148,19,1334,1334,0.827,5,83,154,663,931,19,1572,1550,0.8669,165,571,1217,0,0,0,.,0,0,0,0,1270,1025,1025,0.8071,338,1083,187,0,1270,1025,1025,0.8071,338,1083,187,0,0,0,0,.,0,0,0,0,4818,4609,2544,0.528,834,1945,2873,0,0,0,0,.,0,0,0,0
TX-701,229,184,178,0.7773,163,66,0,35,72,157,0,118,118,0.7239,12,0,22,46,117,0,66,60,0.9091,13,26,40,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
UT-500,1517,1198,1078,0.7106,1079,438,0,133,492,1022,3,834,771,0.7146,580,23,89,354,722,3,364,307,0.7009,44,138,300,0,0,0,.,0,0,0,0,655,655,655,1,170,598,57,0,655,655,655,1,170,598,57,0,0,0,0,.,0,0,0,0,1939,1939,1640,0.8458,272,874,1065,0,0,0,0,.,0,0,0,0
UT-503,819,394,338,0.4127,640,179,0,125,435,364,20,361,305,0.4766,0,15,79,290,330,20,33,33,0.1844,46,145,34,0,0,0,.,0,0,0,0,254,254,254,1,71,238,16,0,254,254,254,1,71,238,16,0,0,0,0,.,0,0,0,0,288,288,278,0.9653,41,121,167,0,0,0,0,.,0,0,0,0
UT-504,163,104,104,0.638,91,72,0,30,87,64,12,55,55,0.6044,0,0,14,46,33,12,49,49,0.6806,16,41,31,0,0,0,.,0,0,0,0,103,103,103,1,25,86,17,0,103,103,103,1,25,86,17,0,0,0,0,.,0,0,0,0,166,160,160,0.9639,20,66,100,0,2,2,2,1,0,0,2,0
VA-500,660,615,564,0.8545,348,296,16,44,156,504,0,316,303,0.8707,0,122,37,139,209,0,283,245,0.8277,7,17,279,0,16,16,1,0,0,16,0,454,398,398,0.8767,119,360,94,0,454,398,398,0.8767,119,360,94,0,0,0,0,.,0,0,0,0,1047,1047,518,0.4947,145,491,556,0,0,0,0,.,0,0,0,0
VA-501,577,496,175,0.3033,397,180,0,51,174,403,0,355,79,0.199,218,6,23,85,312,0,141,96,0.5333,28,89,91,0,0,0,.,0,0,0,0,396,307,307,0.7753,99,358,38,0,396,307,307,0.7753,99,358,38,0,0,0,0,.,0,0,0,0,546,546,328,0.6007,74,279,267,0,157,157,110,0.7006,1,3,154,0
VA-502,508,430,420,0.8268,496,12,0,23,161,347,0,418,408,0.8226,0,2,23,161,335,0,12,12,1,0,0,12,0,0,0,.,0,0,0,0,90,90,90,1,17,55,35,0,90,90,90,1,17,55,35,0,0,0,0,.,0,0,0,0,119,119,119,1,20,67,52,0,0,0,0,.,0,0,0,0
VA-503,283,235,231,0.8163,125,158,0,42,163,99,21,77,77,0.616,64,7,6,36,68,21,158,154,0.9747,36,127,31,0,0,0,.,0,0,0,0,103,41,41,0.3981,12,64,39,0,41,41,41,1,2,5,36,0,62,0,0,0,10,59,3,0,454,454,454,1,37,153,301,0,83,83,83,1,5,9,74,0
VA-504,131,104,14,0.1069,87,44,0,21,61,66,4,62,4,0.046,65,0,9,17,66,4,42,10,0.2273,12,44,0,0,0,0,.,0,0,0,0,38,38,38,1,2,4,34,0,38,38,38,1,2,4,34,0,0,0,0,.,0,0,0,0,67,67,67,1,0,0,67,0,0,0,0,.,0,0,0,0
VA-505,387,310,206,0.5323,254,111,22,60,188,199,0,205,125,0.4921,165,0,37,120,134,0,83,59,0.5315,23,68,43,0,22,22,1,0,0,22,0,244,215,215,0.8811,61,194,50,0,244,215,215,0.8811,61,194,50,0,0,0,0,.,0,0,0,0,669,669,157,0.2347,67,237,432,0,138,138,138,1,18,50,88,0
VA-507,89,47,47,0.5281,67,22,0,20,55,34,0,25,25,0.3731,70,0,17,46,21,0,22,22,1,3,9,13,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,105,105,105,1,11,35,70,0,60,60,60,1,0,0,60,0
VA-508,223,173,173,0.7758,152,71,0,36,119,104,0,102,102,0.6711,10,23,26,80,72,0,71,71,1,10,39,32,0,0,0,.,0,0,0,0,44,44,44,1,11,31,13,0,44,44,44,1,11,31,13,0,0,0,0,.,0,0,0,0,42,42,40,0.9524,8,19,23,0,0,0,0,.,0,0,0,0
VA-513,260,183,135,0.5192,260,0,0,35,126,134,0,183,135,0.5192,75,5,35,126,134,0,0,0,.,0,0,0,0,0,0,.,0,0,0,0,102,63,63,0.6176,28,80,22,0,102,63,63,0.6176,28,80,22,0,0,0,0,.,0,0,0,0,70,70,70,1,4,9,61,0,0,0,0,.,0,0,0,0
VA-514,156,126,126,0.8077,118,38,0,30,95,61,0,88,88,0.7458,37,24,17,57,61,0,38,38,1,13,38,0,0,0,0,.,0,0,0,0,153,105,105,0.6863,33,121,32,0,153,105,105,0.6863,33,121,32,0,0,0,0,.,0,0,0,0,124,124,41,0.3306,12,47,77,0,0,0,0,.,0,0,0,0
VA-521,790,524,226,0.2861,608,182,0,125,534,256,0,378,226,0.3717,94,3,88,379,229,0,146,0,0,37,155,27,0,0,0,.,0,0,0,0,351,351,351,1,93,310,41,0,351,351,351,1,93,310,41,0,0,0,0,.,0,0,0,0,30,30,30,1,0,0,30,0,0,0,0,.,0,0,0,0
VA-600,205,190,190,0.9268,179,20,6,22,88,117,0,164,164,0.9162,25,0,21,80,99,0,20,20,1,1,8,12,0,6,6,1,0,0,6,0,161,161,146,0.9068,49,143,18,0,161,161,146,0.9068,49,143,18,0,0,0,0,.,0,0,0,0,193,193,193,1,12,35,158,0,0,0,0,.,0,0,0,0
VA-601,952,694,690,0.7248,473,479,0,215,763,179,10,407,407,0.8605,167,78,77,317,148,8,287,283,0.5908,138,446,31,2,0,0,.,0,0,0,0,195,195,185,0.9487,40,131,64,0,195,195,185,0.9487,40,131,64,0,0,0,0,.,0,0,0,0,641,641,498,0.7769,57,188,453,0,283,283,246,0.8693,73,266,17,0
VA-602,134,122,105,0.7836,79,55,0,37,109,25,0,67,67,0.8481,16,0,26,63,16,0,55,38,0.6909,11,46,9,0,0,0,.,0,0,0,0,38,38,34,0.8947,7,23,15,0,38,38,34,0.8947,7,23,15,0,0,0,0,.,0,0,0,0,21,21,21,1,3,8,13,0,0,0,0,.,0,0,0,0
VA-603,280,259,259,0.925,212,56,12,33,125,155,0,191,191,0.9009,0,4,21,87,125,0,56,56,1,12,38,18,0,12,12,1,0,0,12,0,63,63,58,0.9206,18,55,8,0,63,63,58,0.9206,18,55,8,0,0,0,0,.,0,0,0,0,46,46,46,1,3,8,38,0,4,4,3,0.75,0,0,4,0
VA-604,307,289,289,0.9414,158,149,0,75,261,46,0,140,140,0.8861,48,16,29,118,40,0,149,149,1,46,143,6,0,0,0,.,0,0,0,0,193,193,193,1,39,136,57,0,193,193,193,1,39,136,57,0,0,0,0,.,0,0,0,0,140,140,140,1,21,81,59,0,0,0,0,.,0,0,0,0
VI-500,143,95,82,0.5734,92,51,0,17,59,84,0,56,43,0.4674,0,0,11,47,45,0,39,39,0.7647,6,12,39,0,0,0,.,0,0,0,0,7,7,7,1,0,0,7,0,7,7,7,1,0,0,7,0,0,0,0,.,0,0,0,0,68,68,68,1,3,3,65,0,0,0,0,.,0,0,0,0
VT-500,500,424,303,0.606,253,243,4,79,224,276,0,197,144,0.5692,95,135,41,119,134,0,223,155,0.6379,38,105,138,0,4,4,1,0,0,4,0,341,341,127,0.3724,106,313,28,0,341,341,127,0.3724,106,313,28,0,0,0,0,.,0,0,0,0,434,434,229,0.5276,22,62,372,0,0,0,0,.,0,0,0,0
VT-501,252,210,23,0.0913,171,81,0,48,114,138,0,157,8,0.0468,43,5,35,73,98,0,53,15,0.1852,13,41,40,0,0,0,.,0,0,0,0,124,124,9,0.0726,34,120,4,0,124,124,9,0.0726,34,120,4,0,0,0,0,.,0,0,0,0,141,141,78,0.5532,2,7,134,0,14,14,0,0,0,0,14,0
WA-500,6486,5869,4657,0.718,3083,3358,45,924,3241,3203,42,2912,2240,0.7266,420,188,263,918,2147,18,2912,2372,0.7064,661,2323,1011,24,45,45,1,0,0,45,0,2291,2287,2217,0.9677,631,2070,221,0,2291,2287,2217,0.9677,631,2070,221,0,0,0,0,.,0,0,0,0,4848,4848,3874,0.7991,307,1001,3847,0,1411,1353,1260,0.893,273,1131,280,0
