CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonaloverflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
ID-500,793,689,315,0.457,496,297,0,121,309,484,496,440,169,0.384,0,23,74,177,319,297,297,249,146,0.586,47,132,165,0,0,0,0,0,0,205,205,205,128,0.624,110,29,84,121
ID-501,1102,823,618,0.751,462,640,0,228,715,387,462,227,166,0.731,0,25,94,246,216,640,640,596,452,0.758,134,469,171,0,0,0,0,0,0,334,334,334,309,0.925,108,57,162,172
IL-500,185,157,126,0.803,14,171,0,30,103,82,14,14,14,1.0,40,14,2,6,8,171,171,143,112,0.783,28,97,74,0,0,0,0,0,0,26,26,26,26,1.0,26,0,0,26
IL-501,457,342,305,0.892,231,226,0,85,179,278,231,143,143,1.0,0,26,41,92,139,226,226,199,162,0.814,44,87,139,0,0,0,0,0,0,257,257,257,141,0.549,4,24,76,181
IL-502,368,284,222,0.782,176,177,15,65,230,138,176,141,79,0.56,132,13,29,94,82,177,177,128,128,1,36,136,41,15,15,15,15,1,15,172,172,172,87,0.506,45,10,26,146
IL-503,305,286,166,0.58,16,289,0,40,117,188,16,16,0,0.0,8,0,7,16,0,289,289,270,166,0.615,33,101,188,0,0,0,0,0,0,97,97,97,69,0.711,35,20,51,46
IL-504,244,208,188,0.904,120,124,0,61,198,46,120,84,84,1.0,0,6,28,77,43,124,124,124,104,0.839,33,121,3,0,0,0,0,0,0,117,117,117,117,1.0,37,13,37,80
IL-506,393,349,349,1,142,251,0,76,224,169,142,122,122,1.0,0,275,14,40,102,251,251,227,227,1,62,184,67,0,0,0,0,0,0,290,290,290,290,1.0,155,70,205,85
IL-507,470,393,227,0.578,313,157,0,46,145,325,313,262,96,0.366,0,25,17,47,266,157,157,131,131,1,29,98,59,0,0,0,0,0,0,195,195,195,189,0.969,111,23,49,146
IL-508,246,200,196,0.98,99,147,0,61,179,67,99,53,49,0.925,0,16,30,89,10,147,147,147,147,1,31,90,57,0,0,0,0,0,0,221,221,221,209,0.946,45,41,100,121
IL-509,92,58,34,0.586,24,68,0,25,70,22,24,24,0,0.0,0,7,1,4,20,68,68,34,34,1,24,66,2,0,0,0,0,0,0,119,119,119,54,0.454,0,10,50,69
IL-510,6023,5799,3950,0.681,2506,3476,41,793,2793,3230,2506,2452,1164,0.475,39,500,72,414,2092,3476,3476,3306,2745,0.83,721,2379,1097,41,41,41,41,1,41,7828,7828,7828,6441,0.823,1613,887,2597,5231
IL-511,894,764,739,0.967,188,691,15,177,597,297,188,81,68,0.84,332,37,15,93,95,691,691,668,656,0.982,162,504,187,15,15,15,15,1,15,549,549,549,349,0.636,241,75,242,307
IL-512,535,479,363,0.758,336,175,24,93,271,264,336,280,227,0.811,89,129,38,124,212,175,175,175,112,0.64,55,147,28,24,24,24,24,1,24,99,99,99,99,1.0,13,13,45,54
IL-513,278,246,246,1,186,92,0,34,81,197,186,154,154,1.0,50,0,10,35,151,92,92,92,92,1,24,46,46,0,0,0,0,0,0,138,138,138,119,0.862,42,61,85,53
IL-514,715,649,649,1,206,509,0,141,417,298,206,165,165,1.0,0,29,25,57,149,509,509,484,484,1,116,360,149,0,0,0,0,0,0,258,258,258,258,1.0,92,40,130,128
IL-515,182,154,81,0.526,61,121,0,49,156,26,61,48,0,0.0,0,0,13,38,23,121,121,106,81,0.764,36,118,3,0,0,0,0,0,0,24,24,24,24,1.0,0,7,19,5
IL-516,214,186,140,0.753,98,109,7,54,119,95,98,70,32,0.457,15,0,21,39,59,109,109,109,101,0.927,33,80,29,7,7,7,7,1,7,106,106,106,102,0.962,37,22,58,48
IL-517,459,417,417,1,316,143,0,55,169,290,316,288,288,1.0,0,1,26,84,232,143,143,129,129,1,29,85,58,0,0,0,0,0,0,88,88,88,88,1.0,60,0,0,88
IL-518,326,223,158,0.709,163,163,0,69,163,163,163,100,61,0.61,54,0,26,56,107,163,163,123,97,0.789,43,107,56,0,0,0,0,0,0,18,18,18,18,1.0,0,0,0,18
IL-519,179,150,93,0.62,56,123,0,36,124,55,56,29,14,0.483,0,110,7,21,35,123,123,121,79,0.653,29,103,20,0,0,0,0,0,0,53,53,53,53,1.0,0,11,53,0
IL-520,480,371,218,0.588,344,136,0,83,266,214,344,263,154,0.586,0,4,55,178,166,136,136,108,64,0.593,28,88,48,0,0,0,0,0,0,178,178,178,142,0.798,3,37,113,65
IN-500,584,456,443,0.971,154,430,0,88,287,297,154,82,82,1.0,68,8,24,66,88,430,430,374,361,0.965,64,221,209,0,0,0,0,0,0,121,121,113,113,1.0,22,8,24,97
IN-502,4767,3739,2448,0.655,2768,1999,0,900,2742,2025,2768,2040,1226,0.601,104,300,444,1377,1391,1999,1999,1699,1222,0.719,456,1365,634,0,0,0,0,0,0,993,993,993,892,0.898,175,116,365,628
IN-503,1894,1651,682,0.413,916,953,25,240,854,1040,916,792,396,0.5,174,102,147,528,388,953,953,834,261,0.313,93,326,627,25,25,25,25,1,25,1081,1081,1081,678,0.627,239,156,382,699
KS-501,207,185,122,0.659,33,174,0,34,107,100,33,33,25,0.758,0,0,0,0,33,174,174,152,97,0.638,34,107,67,0,0,0,0,0,0,66,66,66,17,0.258,21,0,0,66
KS-502,550,452,252,0.558,385,145,20,77,245,305,385,318,118,0.371,100,0,40,130,255,145,145,114,114,1,37,115,30,20,20,20,20,1,20,477,477,477,346,0.725,187,58,177,300
KS-503,424,408,385,0.944,325,99,0,44,200,224,325,309,286,0.926,0,89,32,132,193,99,99,99,99,1,12,68,31,0,0,0,0,0,0,377,377,377,282,0.748,124,17,36,341
KS-505,203,114,114,1,104,99,0,57,183,20,104,59,59,1.0,0,0,33,96,8,99,99,55,55,1,24,87,12,0,0,0,0,0,0,39,39,39,17,0.436,7,2,12,27
KS-507,1558,1199,641,0.535,863,695,0,273,860,698,863,532,339,0.637,45,70,133,464,399,695,695,667,302,0.453,140,396,299,0,0,0,0,0,0,188,188,188,64,0.34,91,11,24,164
KY-500,2371,1795,1183,0.659,1356,1015,0,535,1427,944,1356,986,621,0.63,32,33,269,654,702,1015,1015,809,562,0.695,266,773,242,0,0,0,0,0,0,1208,1208,1017,960,0.944,210,291,738,470
KY-501,1390,1262,1115,0.884,685,695,10,174,453,937,685,602,475,0.789,0,223,77,178,507,695,695,650,630,0.969,97,275,420,10,10,10,10,1,10,1396,1396,1396,1151,0.824,127,232,645,751
KY-502,1628,1565,856,0.547,532,1094,2,189,479,1149,532,469,329,0.701,0,0,48,141,391,1094,1094,1094,525,0.48,141,338,756,2,2,2,2,1,2,491,491,401,184,0.459,293,52,160,331
LA-500,697,571,482,0.844,243,454,0,116,331,366,243,143,142,0.993,0,63,31,100,143,454,454,428,340,0.794,85,231,223,0,0,0,0,0,0,115,115,115,115,1.0,42,15,53,62
LA-501,202,137,98,0.715,152,50,0,22,121,81,152,87,48,0.552,0,1,18,113,39,50,50,50,50,1,4,8,42,0,0,0,0,0,0,165,165,165,94,0.57,0,32,66,99
LA-502,993,845,805,0.953,302,681,10,123,486,507,302,154,136,0.883,0,15,37,159,143,681,681,681,659,0.968,86,327,354,10,10,10,10,1,10,299,299,299,204,0.682,89,9,28,271
LA-503,1480,1436,1159,0.807,582,883,15,197,583,897,582,567,398,0.702,59,0,39,116,466,883,883,854,746,0.874,158,467,416,15,15,15,15,1,15,1645,1645,1645,1532,0.931,523,159,520,1125
LA-504,843,783,490,0.626,205,638,0,46,144,699,205,145,124,0.855,0,100,32,109,96,638,638,638,366,0.574,14,35,603,0,0,0,0,0,0,330,330,330,330,1.0,19,47,117,213
LA-505,262,142,55,0.387,130,120,12,54,152,110,130,96,27,0.281,0,16,17,58,72,120,120,34,16,0.471,37,94,26,12,12,12,12,1,12,102,102,102,89,0.873,16,6,18,84
LA-506,228,169,134,0.793,63,165,0,43,121,107,63,45,10,0.222,0,0,11,29,34,165,165,124,124,1,32,92,73,0,0,0,0,0,0,258,258,250,250,1.0,60,51,104,154
LA-507,243,187,96,0.513,114,129,0,7,74,169,114,58,24,0.414,0,32,5,58,56,129,129,129,72,0.558,2,16,113,0,0,0,0,0,0,120,120,120,60,0.5,23,6,23,97
LA-508,125,114,67,0.588,74,51,0,23,52,73,74,63,52,0.825,0,3,16,37,37,51,51,51,15,0.294,7,15,36,0,0,0,0,0,0,140,140,112,52,0.464,2,10,26,114
MA-500,5506,5320,4843,0.91,3937,1563,6,996,3083,2423,3937,3851,3578,0.929,90,80,833,2648,1289,1563,1563,1463,1259,0.861,163,435,1128,6,6,6,6,1,6,4675,4675,4645,3076,0.662,2026,392,1012,3663
MA-501,926,821,718,0.875,473,447,6,151,522,404,473,424,424,1.0,42,612,101,393,80,447,447,391,288,0.737,50,129,318,6,6,6,6,1,6,496,496,496,249,0.502,234,54,145,351
MA-502,487,487,487,1,410,77,0,94,386,101,410,410,410,1.0,7,14,88,368,42,77,77,77,77,1,6,18,59,0,0,0,0,0,0,264,264,254,254,1.0,13,31,69,195
MA-503,369,319,263,0.824,271,98,0,78,188,181,271,221,221,1.0,0,3,73,178,93,98,98,98,42,0.429,5,10,88,0,0,0,0,0,0,261,261,261,248,0.95,138,4,12,249
MA-504,931,837,418,0.499,676,249,6,239,697,234,676,628,360,0.573,35,40,173,538,138,249,249,203,52,0.256,66,159,90,6,6,6,6,1,6,439,439,439,321,0.731,208,43,130,309
MA-505,432,398,337,0.847,149,283,0,39,133,299,149,115,103,0.896,0,0,29,107,42,283,283,283,234,0.827,10,26,257,0,0,0,0,0,0,335,335,316,280,0.886,29,73,230,105
MA-506,1404,1344,1287,0.958,871,520,13,350,1013,391,871,848,800,0.943,0,41,254,737,134,520,520,483,474,0.981,96,276,244,13,13,13,13,1,13,959,959,959,712,0.742,179,149,383,576
MA-507,201,177,98,0.554,64,137,0,20,58,143,64,40,40,1.0,0,0,16,41,23,137,137,137,58,0.423,4,17,120,0,0,0,0,0,0,207,207,207,37,0.179,39,7,18,189
MA-508,585,477,400,0.839,399,186,0,135,455,130,399,380,380,1.0,35,0,92,306,93,186,186,97,20,0.206,43,149,37,0,0,0,0,0,0,134,134,121,24,0.198,36,21,59,75
MA-509,399,366,366,1,242,157,0,47,131,268,242,227,227,1.0,24,9,24,61,181,157,157,139,139,1,23,70,87,0,0,0,0,0,0,264,264,250,207,0.828,115,14,37,227
MA-510,524,473,473,1,413,104,7,131,382,142,413,395,395,1.0,24,273,95,317,96,104,104,71,71,1,36,65,39,7,7,7,7,1,7,344,344,339,210,0.619,95,28,82,262
MA-511,242,226,226,1,202,40,0,46,123,119,202,186,186,1.0,0,44,29,83,119,40,40,40,40,1,17,40,.,0,0,0,0,0,0,315,315,315,277,0.879,84,52,146,169
MA-512,322,322,154,0.478,147,175,0,74,250,72,147,147,80,0.544,0,5,21,90,57,175,175,175,74,0.423,53,160,15,0,0,0,0,0,0,192,192,192,45,0.234,45,5,17,175
MA-513,128,128,128,1,101,27,0,39,117,11,101,101,101,1.0,0,226,31,101,0,27,27,27,27,1,8,16,11,0,0,0,0,0,0,186,186,186,186,1.0,50,49,132,54
MA-515,296,283,198,0.7,181,115,0,60,209,87,181,168,122,0.726,16,6,36,149,32,115,115,115,76,0.661,24,60,55,0,0,0,0,0,0,135,135,135,133,0.985,34,21,63,72
MA-516,683,637,637,1,499,184,0,191,526,157,499,479,479,1.0,0,226,150,414,85,184,184,158,158,1,41,112,72,0,0,0,0,0,0,419,419,369,269,0.729,155,31,70,349
MA-517,146,125,125,1,115,31,0,24,68,78,115,94,94,1.0,0,0,21,62,53,31,31,31,31,1,3,6,25,0,0,0,0,0,0,128,128,128,122,0.953,39,18,43,85
MA-518,215,157,150,0.955,111,104,0,59,151,64,111,102,102,1.0,0,0,19,54,57,104,104,55,48,0.873,40,97,7,0,0,0,0,0,0,168,168,159,97,0.61,59,4,9,159
MA-519,209,181,123,0.68,123,86,0,42,154,55,123,111,53,0.477,0,0,22,90,33,86,86,70,70,1,20,64,22,0,0,0,0,0,0,75,75,75,75,1.0,22,6,23,52
MA-520,562,519,483,0.931,487,75,0,165,450,112,487,477,468,0.981,18,533,140,390,97,75,75,42,15,0.357,25,60,15,0,0,0,0,0,0,165,165,165,111,0.673,58,27,70,95
MD-500,111,91,53,0.582,60,51,0,26,86,25,60,40,2,0.05,15,40,11,37,23,51,51,51,51,1,15,49,2,0,0,0,0,0,0,109,109,109,81,0.743,18,25,68,41
MD-501,2346,2346,1771,0.755,937,1370,39,227,612,1734,937,937,705,0.752,177,57,67,164,773,1370,1370,1370,1027,0.75,160,448,922,39,39,39,39,1,39,2020,2020,2020,1794,0.888,373,299,781,1239
MD-502,153,125,88,0.704,58,95,0,33,86,67,58,30,30,1.0,70,70,7,27,31,95,95,95,58,0.611,26,59,36,0,0,0,0,0,0,105,105,105,105,1.0,2,28,74,31
MD-503,245,224,224,1,157,88,0,62,179,66,157,136,136,1.0,60,53,37,101,56,88,88,88,88,1,25,78,10,0,0,0,0,0,0,148,148,148,148,1.0,53,28,70,78
MD-504,135,110,104,0.945,25,110,0,28,111,24,25,16,15,0.938,25,0,6,20,5,110,110,94,89,0.947,22,91,19,0,0,0,0,0,0,61,61,61,61,1.0,18,11,28,33
MD-505,516,461,451,0.978,379,137,0,55,329,187,379,348,348,1.0,30,0,19,214,165,137,137,113,103,0.912,36,115,22,0,0,0,0,0,0,413,413,413,188,0.455,22,108,283,130
MD-506,131,123,117,0.951,56,50,25,24,76,55,56,48,42,0.875,25,26,10,37,19,50,50,50,50,1,14,39,11,25,25,25,25,1,25,32,32,32,32,1.0,15,2,11,21
MD-507,267,195,69,0.354,128,139,0,33,82,185,128,84,11,0.131,45,2,14,35,93,139,139,111,58,0.523,19,47,92,0,0,0,0,0,0,102,102,102,23,0.225,13,7,17,85
MD-508,334,297,270,0.909,187,147,0,45,210,124,187,160,143,0.894,86,18,15,111,76,147,147,137,127,0.927,30,99,48,0,0,0,0,0,0,217,217,217,217,1.0,48,63,170,47
MD-509,219,153,151,0.987,31,188,0,58,164,55,31,2,0,0.0,80,0,8,23,8,188,188,151,151,1,50,141,47,0,0,0,0,0,0,32,32,32,32,1.0,18,4,9,23
MD-510,37,23,23,1,16,21,0,5,17,20,16,2,2,1.0,0,0,2,5,11,21,21,21,21,1,3,12,9,0,0,0,0,0,0,113,113,113,113,1.0,4,55,101,12
MD-511,52,52,47,0.904,10,42,0,10,31,21,10,10,10,1.0,36,11,0,0,10,42,42,42,37,0.881,10,31,11,0,0,0,0,0,0,105,105,105,105,1.0,4,25,73,32
MD-512,270,220,194,0.882,159,111,0,17,82,188,159,117,117,1.0,56,100,10,60,99,111,111,103,77,0.748,7,22,89,0,0,0,0,0,0,176,176,176,167,0.949,7,11,37,139
MD-513,204,204,185,0.907,150,54,0,27,99,105,150,150,131,0.873,106,7,14,54,96,54,54,54,54,1,13,45,9,0,0,0,0,0,0,149,149,149,149,1.0,21,32,85,64
MD-600,581,528,418,0.792,239,342,0,100,402,179,239,186,186,1.0,130,0,38,195,44,342,342,342,232,0.678,62,207,135,0,0,0,0,0,0,606,606,606,447,0.738,28,181,443,163
MD-601,683,617,617,1,274,369,40,121,385,298,274,220,220,1.0,100,216,45,146,128,369,369,357,357,1,76,239,130,40,40,40,40,1,40,1590,1590,1590,1545,0.972,125,301,1009,581
ME-500,1696,1389,1125,0.81,633,1063,0,388,1076,620,633,488,356,0.73,10,35,133,345,288,1063,1063,901,769,0.853,255,731,332,0,0,0,0,0,0,1207,1207,1201,1103,0.918,69,171,516,691
ME-501,487,423,423,1,139,348,0,107,305,182,139,118,118,1.0,0,15,30,44,95,348,348,305,305,1,77,261,87,0,0,0,0,0,0,318,318,288,277,0.962,23,39,109,209
ME-502,618,604,588,0.974,308,295,15,83,227,391,308,294,294,1.0,0,40,33,99,209,295,295,295,279,0.946,50,128,167,15,15,15,15,1,15,423,423,423,406,0.96,80,45,139,284
MI-500,2468,1651,1488,0.901,1130,1338,0,490,1603,865,1130,598,485,0.811,36,96,180,590,540,1338,1338,1053,1003,0.953,310,1013,325,0,0,0,0,0,0,3331,3331,3203,2925,0.913,162,779,2328,1003
MI-501,2967,2832,2401,0.848,1625,1321,21,273,768,2199,1625,1558,1333,0.856,54,110,130,359,1266,1321,1321,1253,1047,0.836,143,409,912,21,21,21,21,1,21,4473,4473,4473,1521,0.34,134,871,2620,1853
MI-502,472,373,373,1,120,336,16,84,341,131,120,75,75,1.0,80,7,20,100,20,336,336,282,282,1,64,241,95,16,16,16,16,1,16,421,421,421,421,1.0,45,80,278,143
MI-503,279,237,237,1,153,126,0,44,156,123,153,111,111,1.0,80,25,14,82,71,126,126,126,126,1,30,74,52,0,0,0,0,0,0,95,95,95,95,1.0,51,7,16,79
MI-504,409,363,315,0.868,97,312,0,83,210,199,97,51,51,1.0,121,0,30,67,30,312,312,312,264,0.846,53,143,169,0,0,0,0,0,0,688,688,688,688,1.0,112,95,270,418
MI-505,367,335,168,0.501,258,109,0,60,167,200,258,226,69,0.305,0,9,39,102,156,109,109,109,99,0.908,21,65,44,0,0,0,0,0,0,727,727,727,727,1.0,14,149,484,243
MI-506,759,561,561,1,337,422,0,150,483,276,337,275,275,1.0,0,48,41,112,225,422,422,286,286,1,109,371,51,0,0,0,0,0,0,645,645,645,629,0.975,290,90,203,442
MI-507,869,723,723,1,449,420,0,257,540,329,449,397,397,1.0,0,0,82,179,270,420,420,326,326,1,175,361,59,0,0,0,0,0,0,628,628,622,622,1.0,30,129,394,234
MI-508,384,354,282,0.797,276,108,0,28,87,297,276,246,186,0.756,0,40,20,61,215,108,108,108,96,0.889,8,26,82,0,0,0,0,0,0,262,262,262,188,0.718,83,25,61,201
MI-509,428,381,364,0.955,197,231,0,96,251,177,197,150,150,1.0,25,65,43,108,89,231,231,231,214,0.926,53,143,88,0,0,0,0,0,0,704,704,697,583,0.836,82,109,317,387
MI-510,359,251,251,1,147,206,6,40,139,220,147,123,123,1.0,0,13,17,61,86,206,206,122,122,1,23,78,128,6,6,6,6,1,6,668,668,642,642,1.0,117,137,462,206
MI-511,166,99,58,0.586,69,97,0,39,115,51,69,32,16,0.5,15,5,12,43,26,97,97,67,42,0.627,27,72,25,0,0,0,0,0,0,110,110,44,44,1.0,7,31,94,16
MI-512,241,115,111,0.965,97,144,0,72,166,75,97,75,71,0.947,26,10,15,28,69,144,144,40,40,1,57,138,6,0,0,0,0,0,0,506,506,495,129,0.261,21,131,370,136
MI-513,93,77,61,0.792,47,46,0,10,31,62,47,31,15,0.484,15,0,6,15,32,46,46,46,46,1,4,16,30,0,0,0,0,0,0,196,196,196,196,1.0,0,55,144,52
MI-514,207,161,134,0.832,124,83,0,27,104,103,124,78,78,1.0,0,0,21,84,40,83,83,83,56,0.675,6,20,63,0,0,0,0,0,0,342,342,321,171,0.533,44,8,93,249
MI-515,122,104,82,0.788,88,34,0,29,80,42,88,70,48,0.686,20,0,18,53,35,34,34,34,34,1,11,27,7,0,0,0,0,0,0,14,14,14,14,1.0,0,4,10,4
MI-516,487,374,374,1,122,365,0,85,313,174,122,104,104,1.0,135,10,7,84,38,365,365,270,270,1,78,229,136,0,0,0,0,0,0,349,349,349,313,0.897,18,57,169,180
MI-517,381,307,72,0.235,120,261,0,62,208,173,120,90,64,0.711,0,0,15,67,53,261,261,217,8,0.037,47,141,120,0,0,0,0,0,0,34,34,34,34,1.0,0,9,23,11
MI-518,104,55,28,0.509,41,63,0,33,88,16,41,21,11,0.524,11,7,13,34,7,63,63,34,17,0.5,20,54,9,0,0,0,0,0,0,21,21,21,21,1.0,3,2,5,16
MI-519,410,309,309,1,158,252,0,95,273,137,158,138,138,1.0,0,10,35,70,88,252,252,171,171,1,60,203,49,0,0,0,0,0,0,273,273,273,273,1.0,10,53,171,102
MI-523,136,106,106,1,56,80,0,31,131,5,56,45,45,1.0,10,2,17,54,2,80,80,61,61,1,14,77,3,0,0,0,0,0,0,69,69,69,69,1.0,11,17,55,14
MN-500,3188,2999,2051,0.684,2068,1120,0,744,2102,1086,2068,1918,1297,0.676,0,615,451,1279,789,1120,1120,1081,754,0.698,293,823,297,0,0,0,0,0,0,4100,4100,4064,2538,0.625,941,683,2182,1918
MN-501,1401,1247,834,0.669,565,826,10,341,906,495,565,411,141,0.343,0,0,62,242,323,826,826,826,683,0.827,279,664,162,10,10,10,10,1,10,2038,2038,2038,2014,0.988,1098,383,1191,847
MN-502,370,239,194,0.812,197,173,0,75,305,65,197,122,77,0.631,23,31,35,143,54,173,173,117,117,1,40,162,11,0,0,0,0,0,0,413,413,413,413,1.0,256,71,207,206
MN-503,598,499,450,0.902,196,402,0,163,484,114,196,97,68,0.701,0,52,43,141,55,402,402,402,382,0.95,120,343,59,0,0,0,0,0,0,530,530,530,485,0.915,80,138,335,195
MN-504,94,62,59,0.952,31,63,0,22,73,21,31,21,18,0.857,0,0,8,19,12,63,63,41,41,1,14,54,9,0,0,0,0,0,0,134,134,123,115,0.935,19,33,87,47
MN-505,453,368,254,0.69,187,266,0,157,305,148,187,112,107,0.955,50,0,52,142,45,266,266,256,147,0.574,105,163,103,0,0,0,0,0,0,322,322,322,287,0.891,20,89,198,124
MN-506,233,191,169,0.885,81,141,11,59,162,71,81,52,52,1.0,20,7,19,47,34,141,141,128,117,0.914,40,115,26,11,11,11,0,0,11,351,351,351,320,0.912,25,101,293,58
MN-508,149,139,139,1,78,71,0,32,83,66,78,68,68,1.0,0,12,6,18,60,71,71,71,71,1,26,65,6,0,0,0,0,0,0,255,255,255,252,0.988,49,65,162,93
MN-509,380,332,283,0.852,152,228,0,111,270,110,152,104,79,0.76,0,10,33,69,83,228,228,228,204,0.895,78,201,27,0,0,0,0,0,0,478,478,478,453,0.948,141,80,222,256
MN-511,107,90,90,1,43,64,0,26,70,37,43,26,26,1.0,0,24,12,32,11,64,64,64,64,1,14,38,26,0,0,0,0,0,0,77,77,77,77,1.0,33,13,44,33
MO-500,561,428,319,0.745,324,237,0,132,396,165,324,229,157,0.686,0,10,76,214,110,237,237,199,162,0.814,56,182,55,0,0,0,0,0,0,266,266,266,266,1.0,42,72,195,71
MO-501,1287,1160,979,0.844,558,714,15,207,560,727,558,485,361,0.744,16,47,77,210,348,714,714,660,618,0.936,130,350,364,15,15,15,0,0,15,1199,1199,1199,1199,1.0,203,350,829,370
MO-503,455,407,69,0.17,118,337,0,106,274,181,118,70,44,0.629,0,138,32,88,30,337,337,337,25,0.074,74,186,151,0,0,0,0,0,0,40,40,40,40,1.0,2,10,26,14
MO-600,589,436,342,0.784,136,453,0,140,400,189,136,55,51,0.927,80,0,42,91,45,453,453,381,291,0.764,98,309,144,0,0,0,0,0,0,95,95,95,64,0.674,35,28,41,54
MO-602,422,368,323,0.878,142,280,0,44,162,260,142,142,97,0.683,0,8,16,50,92,280,280,226,226,1,28,112,168,0,0,0,0,0,0,131,131,131,94,0.718,6,26,91,40
MO-603,143,98,98,1,95,30,18,27,60,83,95,50,50,1.0,15,10,12,45,50,30,30,30,30,1,15,15,15,18,18,18,18,1,18,198,198,198,198,1.0,27,43,137,61
MO-604,2120,1730,1579,0.913,1052,1058,10,422,1157,963,1052,771,701,0.909,45,110,197,494,558,1058,1058,949,868,0.915,225,663,395,10,10,10,10,1,10,1064,1064,1064,864,0.812,213,578,688,376
MO-606,2559,1380,818,0.593,1715,836,8,393,1163,1396,1715,623,378,0.607,46,27,291,867,848,836,836,749,432,0.577,102,296,540,8,8,8,8,1,8,894,894,894,779,0.871,23,150,427,467
MS-500,545,463,146,0.315,152,393,0,62,187,358,152,95,67,0.705,0,17,19,72,80,393,393,368,79,0.215,43,115,278,0,0,0,0,0,0,124,124,124,31,0.25,104,0,0,124
MS-501,747,631,344,0.545,494,250,3,112,470,277,494,378,131,0.347,0,41,60,304,190,250,250,250,210,0.84,52,166,84,3,3,3,3,1,3,144,144,144,92,0.639,27,17,37,107
MS-503,81,57,43,0.754,43,38,0,16,37,44,43,31,17,0.548,0,0,6,12,31,38,38,26,26,1,10,25,13,0,0,0,0,0,0,42,42,36,36,1.0,27,6,17,25
MT-500,1207,875,440,0.503,699,508,0,219,646,561,699,490,168,0.343,12,119,104,324,375,508,508,385,272,0.706,115,322,186,0,0,0,0,0,0,330,330,330,248,0.752,66,26,61,269
NC-500,521,486,337,0.693,296,225,0,62,207,314,296,277,202,0.729,12,51,18,70,226,225,225,209,135,0.646,44,137,88,0,0,0,0,0,0,376,376,376,279,0.742,106,67,191,185
NC-501,500,443,419,0.946,192,308,0,56,120,380,192,167,161,0.964,15,63,18,53,139,308,308,276,258,0.935,38,67,241,0,0,0,0,0,0,338,338,338,232,0.686,216,19,39,299
NC-502,588,553,314,0.568,234,354,0,51,166,422,234,217,161,0.742,49,17,18,64,170,354,354,336,153,0.455,33,102,252,0,0,0,0,0,0,172,172,172,113,0.657,39,22,65,107
NC-503,3260,2435,1529,0.628,2035,1225,0,348,1337,1923,2035,1279,881,0.689,141,204,189,818,1217,1225,1225,1156,648,0.561,159,519,706,0,0,0,0,0,0,851,851,851,727,0.854,142,159,476,375
NC-504,921,865,835,0.965,411,510,0,119,401,520,411,411,407,0.99,114,137,46,154,257,510,510,454,428,0.943,73,247,263,0,0,0,0,0,0,296,296,296,254,0.858,63,67,176,120
NC-505,2326,2215,1408,0.636,1140,1186,0,256,744,1582,1140,1029,895,0.87,134,90,120,332,808,1186,1186,1186,513,0.433,136,412,774,0,0,0,0,0,0,792,792,792,679,0.857,169,169,492,300
NC-506,475,380,264,0.695,331,144,0,70,221,254,331,278,207,0.745,0,0,50,139,192,144,144,102,57,0.559,20,82,62,0,0,0,0,0,0,168,168,168,88,0.524,0,11,33,135
NC-507,960,921,824,0.895,562,398,0,116,283,677,562,523,517,0.989,0,0,66,201,361,398,398,398,307,0.771,50,82,316,0,0,0,0,0,0,933,933,933,696,0.746,86,131,375,558
NC-509,197,183,145,0.792,130,67,0,33,70,127,130,116,116,1.0,22,9,27,54,76,67,67,67,29,0.433,6,16,51,0,0,0,0,0,0,137,137,137,137,1.0,136,38,56,81
NC-511,302,255,209,0.82,121,181,0,57,180,122,121,107,91,0.85,0,0,9,31,90,181,181,148,118,0.797,48,149,32,0,0,0,0,0,0,69,69,69,24,0.348,0,7,19,50
