CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonaloverflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
CA-503,1551,1503,1263,0.84,627,924,0,188,600,951,627,579,441,0.762,105,23,53,251,376,924,924,924,822,0.89,135,349,575,0,0,0,0,0,0,1950,1950,1950,1687,0.865,343,314,960,990
CA-504,1216,1140,924,0.811,536,680,0,213,627,589,536,514,438,0.852,35,6,64,201,335,680,680,626,486,0.776,149,426,254,0,0,0,0,0,0,533,533,511,410,0.802,151,63,216,317
CA-505,913,854,592,0.693,498,415,0,148,439,474,498,474,276,0.582,57,26,41,152,346,415,415,380,316,0.832,107,287,128,0,0,0,0,0,0,1027,1027,1027,806,0.785,337,179,475,552
CA-506,933,865,667,0.771,229,704,0,124,518,415,229,190,103,0.542,84,0,19,65,164,704,704,675,564,0.836,105,453,251,0,0,0,0,0,0,236,236,236,100,0.424,138,25,79,157
CA-507,512,416,407,0.978,166,346,0,77,261,251,166,166,166,1.0,50,15,14,49,117,346,346,250,241,0.964,63,212,134,0,0,0,0,0,0,490,490,490,487,0.994,209,19,58,432
CA-508,599,581,480,0.826,336,263,0,120,390,209,336,318,276,0.868,129,14,57,177,159,263,263,263,204,0.776,63,213,50,0,0,0,0,0,0,163,163,163,118,0.724,120,9,25,138
CA-509,177,153,143,0.935,102,75,0,13,40,137,102,88,88,1.0,0,30,2,12,90,75,75,65,55,0.846,11,28,47,0,0,0,0,0,0,352,352,352,271,0.77,0,53,182,170
CA-510,741,699,313,0.448,403,338,0,147,471,270,403,377,167,0.443,202,0,82,293,110,338,338,322,146,0.453,65,178,160,0,0,0,0,0,0,312,312,312,312,1.0,156,42,135,177
CA-511,2439,2382,1380,0.579,1740,699,0,333,1135,1304,1740,1683,713,0.424,133,45,165,584,1156,699,699,699,667,0.954,168,551,148,0,0,0,0,0,0,473,473,473,439,0.928,145,50,154,319
CA-512,932,876,817,0.933,160,772,0,131,544,388,160,138,125,0.906,30,0,28,86,74,772,772,738,692,0.938,103,458,314,0,0,0,0,0,0,536,536,536,473,0.882,284,64,171,365
CA-513,531,495,357,0.721,233,298,0,53,209,322,233,197,147,0.746,0,44,21,100,133,298,298,298,210,0.705,32,109,189,0,0,0,0,0,0,40,40,40,5,0.125,5,0,0,40
CA-514,1686,1517,573,0.378,982,680,24,378,1028,658,982,862,20,0.023,20,0,278,691,291,680,680,631,529,0.838,100,337,343,24,24,24,24,1,24,457,457,457,333,0.729,246,87,221,236
CA-515,551,449,262,0.584,156,395,0,101,330,221,156,104,104,1.0,38,18,21,71,85,395,395,345,158,0.458,80,259,136,0,0,0,0,0,0,142,142,142,126,0.887,35,9,31,111
CA-516,450,450,450,1,138,312,0,62,167,283,138,138,138,1.0,0,41,4,46,92,312,312,312,312,1,58,121,191,0,0,0,0,0,0,44,44,44,44,1.0,44,0,0,44
CA-517,182,139,133,0.957,99,83,0,26,89,93,99,85,85,1.0,50,105,11,42,57,83,83,54,48,0.889,15,47,36,0,0,0,0,0,0,29,29,28,11,0.393,13,0,0,29
CA-518,382,335,222,0.663,196,186,0,58,174,208,196,162,97,0.599,0,30,42,128,68,186,186,173,125,0.723,16,46,140,0,0,0,0,0,0,93,93,93,93,1.0,93,8,16,77
CA-519,390,360,210,0.583,203,187,0,36,130,260,203,181,120,0.663,0,0,10,32,171,187,187,179,90,0.503,26,98,89,0,0,0,0,0,0,235,235,235,201,0.855,39,56,163,72
CA-520,227,215,190,0.884,115,112,0,21,55,172,115,103,103,1.0,0,20,4,28,87,112,112,112,87,0.777,17,27,85,0,0,0,0,0,0,10,10,10,10,1.0,10,0,0,10
CA-521,262,237,182,0.768,87,175,0,33,137,125,87,62,52,0.839,35,13,9,36,51,175,175,175,130,0.743,24,101,74,0,0,0,0,0,0,127,127,127,25,0.197,49,6,19,108
CA-522,399,385,297,0.771,238,161,0,100,245,154,238,224,136,0.607,0,78,54,116,122,161,161,161,161,1,46,129,32,0,0,0,0,0,0,41,41,41,36,0.878,41,3,9,32
CA-523,316,185,153,0.827,155,161,0,39,180,136,155,24,18,0.75,28,0,19,88,67,161,161,161,135,0.839,20,92,69,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
CA-524,368,313,0,0,152,216,0,35,162,206,152,109,0,0.0,30,0,10,43,109,216,216,204,0,0,25,119,97,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
CA-525,174,136,0,0,35,139,0,32,102,72,35,9,0,0.0,40,33,10,30,5,139,139,127,0,0,22,72,67,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
CA-526,175,107,85,0.794,107,68,0,35,126,49,107,60,60,1.0,0,20,19,69,38,68,68,47,25,0.532,16,57,11,0,0,0,0,0,0,10,10,10,10,1.0,1,0,0,10
CA-528,46,18,0,0,38,8,0,16,36,10,38,10,0,0.0,0,0,8,28,10,8,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
CA-600,13469,11930,6453,0.541,5071,8353,45,1304,4157,9312,5071,4496,2187,0.486,1356,4676,418,1448,3623,8353,8353,7389,4221,0.571,886,2709,5644,45,45,45,45,1,45,17115,17115,17068,2806,0.164,1611,3125,8883,8232
CA-601,3982,3452,3330,0.965,389,3534,59,513,1947,2035,389,242,225,0.93,613,136,32,193,196,3534,3534,3151,3048,0.967,481,1754,1780,59,59,59,57,0.966,59,1644,1644,1644,1129,0.687,433,181,525,1119
CA-602,2614,2245,1734,0.772,434,2180,0,553,1840,774,434,260,197,0.758,722,0,126,246,188,2180,2180,1985,1537,0.774,427,1594,586,0,0,0,0,0,0,1205,1205,1205,1070,0.888,439,137,425,780
CA-603,1044,924,587,0.635,475,569,0,76,508,536,475,425,316,0.744,156,70,28,242,233,569,569,499,271,0.543,48,266,303,0,0,0,0,0,0,587,587,587,123,0.21,188,62,142,445
CA-604,716,624,483,0.774,456,260,0,44,250,466,456,364,356,0.978,0,98,36,226,230,260,260,260,127,0.488,8,24,236,0,0,0,0,0,0,666,666,666,650,0.976,120,137,368,298
CA-605,292,267,253,0.948,13,269,10,54,209,83,13,0,0,0.0,114,0,4,13,0,269,269,257,243,0.946,50,196,73,10,10,10,10,1,10,324,324,324,305,0.941,69,35,93,231
CA-606,1031,861,569,0.661,347,659,25,119,422,609,347,285,103,0.361,130,0,39,161,186,659,659,551,441,0.8,80,261,398,25,25,25,25,1,25,747,747,747,286,0.383,196,72,222,525
CA-607,270,234,234,1,126,144,0,34,156,114,126,90,90,1.0,213,0,6,74,52,144,144,144,144,1,28,82,62,0,0,0,0,0,0,175,175,175,172,0.983,76,10,32,143
CA-608,1420,1192,1092,0.916,704,716,0,229,794,626,704,584,484,0.829,72,12,103,308,396,716,716,608,608,1,126,486,230,0,0,0,0,0,0,508,508,508,478,0.941,174,70,110,398
CA-609,1128,883,536,0.607,414,714,0,211,896,232,414,325,171,0.526,156,282,79,269,145,714,714,558,365,0.654,132,627,87,0,0,0,0,0,0,323,323,323,171,0.529,81,31,115,208
CA-611,234,234,66,0.282,105,129,0,31,129,105,105,105,0,0.0,100,0,3,42,63,129,129,129,66,0.512,28,87,42,0,0,0,0,0,0,45,45,45,20,0.444,13,0,0,45
CA-612,148,138,138,1,50,98,0,32,136,12,50,40,40,1.0,150,0,2,38,12,98,98,98,98,1,30,98,0,0,0,0,0,0,0,141,141,141,65,0.461,27,33,88,53
CA-613,183,183,163,0.891,107,76,0,81,133,50,107,107,107,1.0,0,0,57,57,50,76,76,76,56,0.737,24,76,.,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
CA-614,204,140,31,0.221,134,70,0,19,87,117,134,101,0,0.0,0,40,9,56,78,70,70,39,31,0.795,10,31,39,0,0,0,0,0,0,70,70,70,20,0.286,17,1,3,67
CO-500,1141,774,632,0.817,662,479,0,202,823,318,662,385,298,0.774,40,65,101,415,247,479,479,389,334,0.859,101,408,71,0,0,0,0,0,0,469,469,469,226,0.482,90,17,55,414
CO-503,4394,4052,3624,0.894,1602,2767,25,977,2362,2032,1602,1287,1094,0.85,270,440,304,727,875,2767,2767,2740,2505,0.914,673,1635,1132,25,25,25,25,1,25,2241,2241,2241,2116,0.944,726,278,709,1532
CO-504,826,794,688,0.866,355,471,0,83,290,536,355,323,313,0.969,0,127,20,88,267,471,471,471,375,0.796,63,202,269,0,0,0,0,0,0,237,237,237,160,0.675,143,24,74,163
CT-501,689,672,589,0.876,429,260,0,97,279,410,429,412,412,1.0,78,13,54,175,254,260,260,260,177,0.681,43,104,156,0,0,0,0,0,0,807,807,807,659,0.817,176,119,377,430
CT-502,710,675,627,0.929,266,444,0,70,203,507,266,245,245,1.0,164,30,20,55,211,444,444,430,382,0.888,50,148,296,0,0,0,0,0,0,714,714,714,559,0.783,480,62,201,513
CT-503,523,499,320,0.641,313,210,0,66,221,302,313,298,184,0.617,0,74,43,140,173,210,210,201,136,0.677,23,81,129,0,0,0,0,0,0,806,806,800,473,0.591,245,125,400,406
CT-505,1426,1226,1086,0.886,885,541,0,205,645,781,885,770,687,0.892,130,47,116,390,495,541,541,456,399,0.875,89,255,286,0,0,0,0,0,0,1735,1735,1693,1351,0.798,603,260,763,972
CT-506,146,134,131,0.978,146,0,0,11,59,87,146,134,131,0.978,3,50,11,59,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,177,177,177,1.0,107,13,37,140
CT-508,246,231,231,1,128,118,0,42,99,147,128,113,113,1.0,16,27,14,36,92,118,118,118,118,1,28,63,55,0,0,0,0,0,0,128,128,128,86,0.672,35,7,23,105
CT-512,166,152,152,1,166,0,0,24,90,76,166,152,152,1.0,0,19,24,90,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,354,354,289,0.816,67,55,175,179
DC-500,6479,6373,5491,0.862,3427,3052,0,1024,3033,3446,3427,3341,3177,0.951,673,0,371,1082,2345,3052,3052,3032,2314,0.763,653,1951,1101,0,0,0,0,0,0,5566,5566,5531,3266,0.59,3882,696,2222,3344
DE-500,1216,1146,682,0.595,515,691,10,169,541,675,515,445,289,0.649,125,101,68,201,314,691,691,691,383,0.554,101,340,351,10,10,10,10,1,10,471,471,471,383,0.813,168,14,37,434
FL-500,1032,947,528,0.558,433,599,0,90,316,716,433,372,334,0.898,0,11,33,129,304,599,599,575,194,0.337,57,187,412,0,0,0,0,0,0,228,228,228,101,0.443,18,3,18,210
FL-501,1234,1084,699,0.645,435,774,25,165,496,738,435,333,174,0.523,0,0,51,114,321,774,774,726,500,0.689,114,382,392,25,25,25,25,1,25,737,737,737,268,0.364,86,93,235,502
FL-502,2117,1960,1749,0.892,1224,848,45,200,559,1558,1224,1165,1116,0.958,0,11,85,246,978,848,848,750,588,0.784,115,313,535,45,45,45,45,1,45,693,693,693,296,0.427,94,20,74,619
FL-503,434,408,340,0.833,200,234,0,37,170,264,200,174,142,0.816,0,94,11,54,146,234,234,234,198,0.846,26,116,118,0,0,0,0,0,0,211,211,211,134,0.635,22,34,90,121
FL-504,611,463,463,1,95,516,0,87,374,237,95,38,38,1.0,33,33,9,31,64,516,516,425,425,1,78,343,173,0,0,0,0,0,0,208,208,208,123,0.591,68,18,54,154
FL-505,357,308,196,0.636,150,207,0,79,163,194,150,122,104,0.852,130,35,45,86,64,207,207,186,92,0.495,34,77,130,0,0,0,0,0,0,75,75,75,75,1.0,75,0,0,75
FL-506,799,670,512,0.764,333,466,0,87,302,497,333,276,197,0.714,100,118,38,123,210,466,466,394,315,0.799,49,179,287,0,0,0,0,0,0,489,489,489,383,0.783,139,80,300,189
FL-507,2837,2574,1879,0.73,1112,1700,25,374,1325,1512,1112,916,797,0.87,0,305,95,365,747,1700,1700,1633,1057,0.647,279,960,740,25,25,25,25,1,25,811,811,811,148,0.182,98,25,56,755
FL-508,491,375,161,0.429,267,224,0,71,222,269,267,185,54,0.292,94,31,33,130,137,224,224,190,107,0.563,38,92,132,0,0,0,0,0,0,299,299,299,299,1.0,118,21,72,227
FL-509,233,185,185,1,109,124,0,59,205,28,109,61,61,1.0,0,0,29,99,10,124,124,124,124,1,30,106,18,0,0,0,0,0,0,221,221,221,210,0.95,143,38,56,165
FL-510,1747,1606,1456,0.907,827,920,0,257,758,989,827,686,672,0.98,110,93,63,267,560,920,920,920,784,0.852,194,491,429,0,0,0,0,0,0,916,916,916,699,0.763,289,60,172,744
FL-511,718,647,491,0.759,200,518,0,62,269,449,200,129,101,0.783,0,22,22,110,90,518,518,518,390,0.753,40,159,359,0,0,0,0,0,0,247,247,247,202,0.818,84,0,0,247
FL-512,232,164,144,0.878,81,151,0,73,177,55,81,37,37,1.0,0,50,18,36,45,151,151,127,107,0.843,55,141,10,0,0,0,0,0,0,40,40,40,4,0.1,0,0,0,40
FL-513,677,657,521,0.793,124,553,0,106,395,282,124,104,54,0.519,132,0,11,50,74,553,553,553,467,0.844,95,345,208,0,0,0,0,0,0,147,147,147,147,1.0,0,18,59,88
FL-514,672,604,361,0.598,219,453,0,21,256,416,219,151,151,1.0,30,3,3,133,86,453,453,453,210,0.464,18,123,330,0,0,0,0,0,0,80,80,80,65,0.813,12,33,52,28
FL-515,271,238,234,0.983,104,167,0,40,113,158,104,71,71,1.0,16,48,9,39,65,167,167,167,163,0.976,31,74,93,0,0,0,0,0,0,35,35,35,0,0.0,0,0,0,35
FL-516,106,106,72,0.679,40,66,0,18,76,30,40,40,40,1.0,0,0,2,30,10,66,66,66,32,0.485,16,46,20,0,0,0,0,0,0,12,12,12,12,1.0,0,4,12,0
FL-517,125,125,16,0.128,64,61,0,17,46,79,64,64,0,0.0,0,0,3,8,56,61,61,61,16,0.262,14,38,23,0,0,0,0,0,0,84,84,84,32,0.381,28,8,38,46
FL-518,105,55,55,1,54,51,0,33,87,18,54,12,12,1.0,0,0,4,52,2,51,51,43,43,1,29,35,16,0,0,0,0,0,0,36,36,36,11,0.306,0,36,36,0
FL-519,221,165,165,1,161,60,0,35,82,139,161,105,105,1.0,60,0,35,82,79,60,60,60,60,1,.,.,60,0,0,0,0,0,0,172,172,172,64,0.372,144,53,138,34
FL-520,435,317,268,0.845,190,245,0,77,237,198,190,78,54,0.692,30,28,42,146,44,245,245,239,214,0.895,35,91,154,0,0,0,0,0,0,75,75,75,67,0.893,15,6,18,57
FL-600,3406,2906,2195,0.755,1429,1949,28,461,1588,1818,1429,1300,1017,0.782,0,156,207,632,797,1949,1949,1578,1150,0.729,254,956,993,28,28,28,28,1,28,2851,2851,2851,2628,0.922,703,366,1224,1627
FL-601,2764,2702,1585,0.587,717,2012,35,226,697,2067,717,655,572,0.873,0,538,53,243,474,2012,2012,2012,978,0.486,173,454,1558,35,35,35,35,1,35,1562,1562,1562,613,0.392,274,290,931,631
FL-602,192,168,143,0.851,76,112,4,51,57,135,76,52,52,1.0,0,5,12,18,58,112,112,112,87,0.777,39,39,73,4,4,4,4,1,4,51,51,51,47,0.922,3,6,12,39
FL-603,520,440,340,0.773,260,260,0,28,117,403,260,180,160,0.889,0,0,24,105,155,260,260,260,180,0.692,4,12,248,0,0,0,0,0,0,315,315,315,99,0.314,59,200,206,109
FL-604,418,360,360,1,228,190,0,34,110,308,228,170,170,1.0,0,60,20,62,166,190,190,190,190,1,14,48,142,0,0,0,0,0,0,174,174,174,160,0.92,56,13,31,143
FL-605,880,680,540,0.794,398,466,16,89,368,512,398,294,280,0.952,0,91,53,240,158,466,466,370,244,0.659,36,128,338,16,16,16,16,1,16,957,957,957,669,0.699,74,150,567,390
FL-606,340,256,216,0.844,244,96,0,34,107,233,244,184,184,1.0,0,15,21,65,179,96,96,72,32,0.444,13,42,54,0,0,0,0,0,0,60,60,60,44,0.733,14,6,12,48
GA-500,5890,5786,3600,0.622,2496,3394,0,453,1973,3917,2496,2441,1421,0.582,50,165,85,484,2012,3394,3394,3345,2179,0.651,368,1489,1905,0,0,0,0,0,0,2587,2587,2587,1558,0.602,2209,589,1363,1224
